Test (F1),Value,Model,Weight,Feature
0.0,3.5,Random,0.2,Number_of_Non-Derived_Basic_Colour_Categories
0.6666666666666666,4.5,Random,0.8,Number_of_Non-Derived_Basic_Colour_Categories
0.0,3.5,WordNet,0.2,Number_of_Non-Derived_Basic_Colour_Categories
0.6666666666666666,4.5,WordNet,0.8,Number_of_Non-Derived_Basic_Colour_Categories
1.0,4.5,WordNet Concept,0.8,Number_of_Non-Derived_Basic_Colour_Categories
1.0,3.5,WordNet Concept,0.2,Number_of_Non-Derived_Basic_Colour_Categories
0.0,6-6.5,Random,0.2,Number_of_Basic_Colour_Categories
0.6666666666666666,11,Random,0.7,Number_of_Basic_Colour_Categories
1.0,11,WordNet,0.7,Number_of_Basic_Colour_Categories
1.0,6-6.5,WordNet,0.2,Number_of_Basic_Colour_Categories
1.0,11,WordNet Concept,0.7,Number_of_Basic_Colour_Categories
1.0,6-6.5,WordNet Concept,0.2,Number_of_Basic_Colour_Categories
0.6666666666666666,No m in second person singular,Random,0.74,M_in_Second_Person_Singular
0.0,m in second person singular,Random,0.26,M_in_Second_Person_Singular
0.7499999999999999,No m in second person singular,WordNet,0.74,M_in_Second_Person_Singular
0.5,m in second person singular,WordNet,0.26,M_in_Second_Person_Singular
0.6666666666666666,No m in second person singular,WordNet Concept,0.74,M_in_Second_Person_Singular
0.0,m in second person singular,WordNet Concept,0.26,M_in_Second_Person_Singular
0.0,Different,Random,0.5573770491803278,Hand_and_Arm
0.7368421052631579,Identical,Random,0.4426229508196721,Hand_and_Arm
0.625,Different,WordNet,0.5573770491803278,Hand_and_Arm
0.25,Identical,WordNet,0.4426229508196721,Hand_and_Arm
0.3076923076923077,Different,WordNet Concept,0.5573770491803278,Hand_and_Arm
0.1818181818181818,Identical,WordNet Concept,0.4426229508196721,Hand_and_Arm
