ISO,Obligatory_Double_Negation
dsh,1.0
sbs,2.0
mkf,11.0
evn,1.0
aoj,0.0
kna,0.0
tcb,1.0
tio,0.0
idu,0.0
lml,0.0
fvr,2.0
itl,1.0
wlg,4.0
enx,2.0
suk,2.0
dow,4.0
mos,0.0
mdq,2.0
nso,1.0
lep,2.0
eve,1.0
mso,1.0
kyh,1.0
kjd,1.0
amo,0.0
xed,7.0
gcd,1.0
kpy,2.0
kwi,9.0
mbq,0.0
erk,0.0
qvh,0.0
nhu,4.0
zun,1.0
mcp,2.0
gae,1.0
nbl,2.0
kio,1.0
omb,0.0
vnm,2.0
bfd,6.0
ary,2.0
kng,4.0
msj,3.0
zro,1.0
kgr,0.0
ewe,0.0
bbo,0.0
izz,1.0
tsi,6.0
amn,1.0
lif,2.0
gug,0.0
pom,1.0
sln,8.0
lmu,0.0
lue,10.0
bci,13.0
imi,1.0
ifm,0.0
hla,0.0
oym,2.0
tdh,1.0
lun,3.0
nmd,3.0
mlv,1.0
asu,2.0
bni,0.0
rtm,0.0
kcr,0.0
mhq,2.0
jaq,2.0
eme,2.0
deg,5.0
zne,7.0
woa,0.0
kab,0.0
tnm,4.0
ssw,2.0
pip,0.0
gbr,0.0
psa,0.0
hae,5.0
cak,0.0
wnw,1.0
kgo,0.0
tnl,3.0
cui,1.0
bwu,0.0
rab,2.0
bid,0.0
kwy,3.0
bzf,1.0
bav,0.0
tir,2.0
ssn,1.0
eko,2.0
pqm,1.0
otr,0.0
bwe,3.0
can,8.0
