ISO,Weight-Sensitive_Stress
dyo,0.0
kva,1.0
khm,0.0
jao,0.0
poh,0.0
heb,0.0
btx,1.0
rro,3.0
eng,4.0
cha,4.0
lnj,0.0
sda,0.0
tds,0.0
teh,0.0
yrk,0.0
auc,0.0
xte,5.0
jua,0.0
ckt,0.0
npy,0.0
tah,2.0
tiy,0.0
oss,3.0
bnq,0.0
mzh,0.0
mpb,3.0
bgz,1.0
mog,0.0
quc,0.0
gwc,0.0
liv,0.0
hix,5.0
lue,0.0
kii,5.0
jmd,0.0
bej,4.0
bak,0.0
pwn,0.0
nmu,3.0
gug,0.0
laj,0.0
yee,0.0
cay,4.0
pav,0.0
com,0.0
kaq,3.0
nys,0.0
plh,0.0
pma,0.0
aii,0.0
spo,5.0
evn,1.0
rma,5.0
yap,1.0
tnl,0.0
rml,0.0
nwi,1.0
yaq,0.0
csb,2.0
haw,0.0
oci,1.0
kat,0.0
ayz,0.0
dif,0.0
huz,1.0
ssd,0.0
cjo,5.0
tzm,0.0
mhs,0.0
kff,0.0
shi,0.0
nen,0.0
irh,0.0
yuc,5.0
yux,2.0
abk,5.0
eno,0.0
cav,0.0
myh,3.0
bgr,0.0
umu,4.0
lvk,0.0
nia,0.0
atq,0.0
wmb,3.0
tvk,1.0
ker,2.0
pmt,0.0
bod,2.0
kky,0.0
hus,2.0
dhu,3.0
sse,0.0
tjm,0.0
aoz,0.0
leu,2.0
aro,0.0
mva,4.0
unm,4.0
mqj,0.0
uzn,0.0
zoc,0.0
xaw,1.0
gow,2.0
mky,0.0
slp,1.0
dbl,0.0
tkr,0.0
aly,0.0
guj,1.0
lew,0.0
slu,1.0
ksd,0.0
mdf,2.0
kut,0.0
kmn,0.0
pmf,0.0
wiy,2.0
pit,0.0
mlt,1.0
kij,1.0
tsi,0.0
aia,0.0
shb,0.0
spp,0.0
mcm,1.0
ppk,0.0
est,0.0
sed,0.0
khk,2.0
cdm,0.0
zmr,0.0
dhv,0.0
jic,1.0
rit,0.0
bbc,0.0
hal,0.0
zmc,0.0
spl,0.0
ems,3.0
see,4.0
cle,5.0
pdo,0.0
nig,0.0
tnt,1.0
mnb,0.0
zmu,2.0
wnu,5.0
shp,3.0
kei,0.0
chv,2.0
ung,3.0
nob,4.0
sdo,0.0
dgl,2.0
ssy,5.0
nuy,0.0
tiw,0.0
gyd,0.0
jqr,0.0
tsz,0.0
uli,5.0
puw,2.0
wrk,0.0
pad,0.0
des,5.0
mqy,1.0
bho,4.0
mme,0.0
szw,1.0
xsi,1.0
isl,0.0
ava,3.0
yum,0.0
urb,0.0
ptu,0.0
xbr,0.0
sly,0.0
lti,1.0
niz,0.0
frd,0.0
gup,0.0
hux,0.0
kjc,0.0
alp,0.0
bzq,1.0
ekg,3.0
ram,0.0
plt,0.0
kuy,2.0
bae,0.0
sro,1.0
car,6.0
jig,0.0
yyr,0.0
win,0.0
xwk,0.0
ynn,2.0
set,1.0
bpp,2.0
alo,0.0
bew,1.0
rth,0.0
cup,0.0
wer,0.0
txn,1.0
cub,2.0
tby,0.0
kng,0.0
nab,0.0
kld,2.0
wms,0.0
typ,0.0
aey,2.0
mkd,0.0
zun,0.0
mbc,0.0
drl,0.0
oac,0.0
ngk,0.0
dih,1.0
glv,0.0
tun,0.0
piu,0.0
tgc,0.0
hdn,2.0
gni,0.0
mtf,2.0
irk,6.0
nhg,0.0
woi,5.0
urf,0.0
hop,3.0
swh,0.0
mpc,0.0
wyb,2.0
cho,2.0
aqc,3.0
hnn,0.0
ons,0.0
moh,0.0
nez,5.0
one,0.0
tdn,4.0
tub,0.0
kju,7.0
apc,4.0
kpw,0.0
dak,0.0
yle,0.0
nyt,3.0
pib,0.0
prs,0.0
lez,3.0
bia,0.0
kyl,0.0
wrr,0.0
kwk,2.0
dhg,0.0
yij,3.0
tna,0.0
ayc,0.0
mwv,0.0
peb,0.0
kfz,0.0
bmi,0.0
amp,6.0
koi,2.0
mhr,2.0
mbt,1.0
vma,0.0
nij,0.0
bvr,0.0
ktd,0.0
tbh,3.0
saj,0.0
gay,1.0
pst,5.0
tpy,0.0
iai,0.0
ace,0.0
pes,0.0
kha,0.0
agu,2.0
zul,0.0
miq,0.0
niv,0.0
tld,0.0
akl,1.0
sel,3.0
vot,0.0
blz,0.0
wgy,3.0
ljp,0.0
mez,2.0
wmt,0.0
lex,0.0
nxg,1.0
kgk,0.0
yll,3.0
nmb,0.0
are,0.0
aij,0.0
sun,1.0
qvi,0.0
avt,2.0
alh,0.0
twu,0.0
stp,3.0
pjt,0.0
grj,5.0
cmn,5.0
cku,1.0
crk,0.0
bhw,0.0
myp,4.0
for,2.0
sza,0.0
kjn,0.0
xsu,0.0
inb,1.0
bug,0.0
ddj,2.0
kal,0.0
quy,0.0
kun,4.0
zrs,1.0
kwd,0.0
nay,0.0
skh,0.0
mrz,0.0
mak,0.0
kzf,0.0
csm,3.0
tnm,4.0
tml,0.0
zsm,1.0
wic,2.0
arw,0.0
sei,2.0
mey,2.0
rtm,1.0
lui,3.0
sja,1.0
mph,0.0
kje,0.0
aca,0.0
tlb,1.0
kgo,2.0
mrj,6.0
gvn,0.0
mhy,0.0
tbo,0.0
lby,0.0
gbi,0.0
kvo,0.0
wlo,1.0
nsq,3.0
mam,6.0
par,3.0
afb,1.0
sto,0.0
skd,3.0
afz,2.0
chl,0.0
ajp,4.0
mej,5.0
esu,3.0
kcl,0.0
bsk,5.0
sme,0.0
yii,2.0
kjg,0.0
bcl,1.0
jaa,1.0
cyb,0.0
