ISO,The_Position_of_Negative_Morphemes_in_SVO_Languages
eng,0.0
psw,2.0
mpk,1.0
kpm,0.0
fuu,1.0
teo,9.0
gmm,1.0
mxe,5.0
amk,1.0
mla,0.0
tiv,1.0
hna,1.0
cja,1.0
mzm,5.0
kas,7.0
lef,2.0
afb,0.0
ker,1.0
bwu,3.0
pad,4.0
xom,0.0
pue,4.0
huc,0.0
nxg,6.0
tpy,4.0
isl,4.0
kgr,3.0
slp,1.0
kna,3.0
sed,0.0
cir,4.0
sln,3.0
kha,0.0
sag,1.0
mlv,3.0
tan,7.0
nhg,6.0
xwg,4.0
nup,1.0
tio,3.0
mpe,9.0
tob,4.0
jbu,1.0
heb,0.0
tqw,4.0
bot,5.0
ige,1.0
myv,6.0
kbc,2.0
tlj,2.0
pss,8.0
swh,2.0
ape,5.0
mbj,4.0
luo,4.0
igb,0.0
suk,3.0
aka,2.0
sku,2.0
ajg,4.0
bae,0.0
zoh,5.0
bin,0.0
poy,8.0
mxu,1.0
msj,3.0
irh,1.0
bim,5.0
ogo,0.0
khl,1.0
bwe,3.0
btx,4.0
cme,0.0
heh,2.0
akc,1.0
wti,2.0
log,10.0
crw,5.0
kah,1.0
bdm,1.0
mph,0.0
pon,0.0
bid,3.0
ayz,1.0
mnw,0.0
ktz,0.0
drl,11.0
lmu,3.0
mnx,1.0
krs,5.0
omb,3.0
eno,6.0
pip,3.0
ogu,2.0
teq,5.0
lnb,0.0
ngo,4.0
sun,0.0
van,0.0
doo,10.0
tvo,5.0
xam,6.0
sme,6.0
pqa,5.0
brb,0.0
tee,4.0
lun,3.0
agh,2.0
llp,0.0
dyo,7.0
acv,6.0
tap,2.0
bex,1.0
aca,0.0
poi,0.0
pau,0.0
kpv,0.0
gdm,1.0
jar,1.0
laj,0.0
bcm,0.0
ank,1.0
tbi,1.0
mos,3.0
gug,3.0
mdi,2.0
bfa,0.0
mqs,1.0
xtc,6.0
sob,0.0
xsi,1.0
lch,2.0
ong,1.0
hak,0.0
bnc,4.0
yia,0.0
kwd,0.0
dma,5.0
sba,1.0
aia,0.0
ncl,0.0
pym,5.0
ttr,5.0
fut,0.0
erg,2.0
lin,1.0
otr,3.0
mor,0.0
fon,0.0
ngi,1.0
ewe,3.0
yue,0.0
nak,0.0
lao,0.0
cko,12.0
cod,11.0
dow,3.0
nxn,11.0
baa,0.0
nyo,2.0
bas,8.0
dua,0.0
gkn,0.0
adz,5.0
puw,0.0
kot,1.0
gcd,3.0
sld,0.0
css,0.0
cla,1.0
snq,2.0
ega,1.0
bdh,1.0
tex,9.0
tpt,6.0
kyq,1.0
kwy,3.0
hoo,2.0
mhi,10.0
eky,1.0
vma,0.0
mna,1.0
mug,1.0
mdj,4.0
liy,3.0
lww,5.0
hay,2.0
msu,8.0
bri,2.0
gde,9.0
aja,1.0
ane,0.0
kde,2.0
buf,2.0
ach,4.0
zga,2.0
erk,3.0
mdd,1.0
nal,0.0
jae,1.0
enn,14.0
mkd,0.0
dga,0.0
bag,2.0
arz,5.0
udl,1.0
rif,0.0
los,1.0
glu,1.0
sjr,0.0
djk,0.0
snf,7.0
shj,1.0
guk,8.0
isi,5.0
gqu,1.0
anc,1.0
shy,4.0
apc,4.0
lic,0.0
sua,2.0
bci,3.0
wol,4.0
kbp,2.0
fub,7.0
lln,1.0
rmw,5.0
urk,0.0
plh,5.0
apu,4.0
kjg,6.0
mky,1.0
chf,0.0
tea,0.0
pbr,2.0
nmd,3.0
emi,0.0
kos,0.0
had,1.0
mfi,7.0
bud,0.0
nso,3.0
iqu,11.0
tsz,6.0
nsn,0.0
hla,3.0
kwn,6.0
mme,0.0
tui,1.0
zul,5.0
agq,4.0
mdt,5.0
myb,1.0
sbc,1.0
nbm,1.0
bkc,1.0
uli,0.0
zne,3.0
jle,3.0
dud,1.0
nob,4.0
lgg,10.0
cgg,2.0
wlg,3.0
mhz,1.0
aun,5.0
khm,0.0
mdm,1.0
kcr,3.0
kin,2.0
ptp,1.0
mgd,10.0
bug,6.0
ann,2.0
bav,3.0
nya,2.0
bca,0.0
yor,0.0
sur,5.0
aoj,3.0
lue,3.0
led,4.0
khq,0.0
bli,5.0
nse,4.0
bzr,4.0
vnm,3.0
mgw,4.0
mfc,8.0
gaa,7.0
nbl,3.0
nzk,1.0
kcg,1.0
hke,2.0
old,2.0
szg,3.0
ilb,2.0
mgl,1.0
szp,5.0
mej,1.0
tzj,4.0
adj,7.0
bdr,4.0
deg,3.0
nyn,2.0
nhu,3.0
iai,0.0
cmn,0.0
axb,6.0
est,0.0
alp,1.0
niy,4.0
tkw,1.0
bom,1.0
bdu,2.0
tgc,0.0
ifm,3.0
ocu,2.0
nko,2.0
mzh,4.0
sps,0.0
tem,7.0
mcn,1.0
avt,4.0
lbu,1.0
eko,3.0
woe,0.0
asa,2.0
yao,2.0
spu,0.0
xbi,0.0
mkf,3.0
buh,6.0
huv,6.0
ndo,6.0
wnd,5.0
bip,2.0
izz,3.0
anz,1.0
gbp,5.0
mrt,1.0
mhk,5.0
plg,2.0
acm,2.0
kfz,0.0
mwe,2.0
yij,0.0
apr,1.0
shk,0.0
lag,2.0
sov,6.0
bni,3.0
lti,2.0
ndt,4.0
bhw,1.0
sna,2.0
ljp,2.0
lml,3.0
arw,8.0
lea,2.0
gbr,3.0
tll,2.0
moc,2.0
twf,4.0
rim,2.0
kij,4.0
sot,6.0
mnb,0.0
ksw,3.0
urt,5.0
kam,2.0
gae,3.0
