ISO,Front_Rounded_Vowels
sja,0.0
kca,0.0
pjt,0.0
byx,0.0
luo,0.0
yad,0.0
ker,0.0
laj,0.0
tig,0.0
tzm,0.0
bcs,0.0
khl,0.0
kwk,0.0
ald,0.0
kha,0.0
myp,0.0
khb,0.0
ram,0.0
dta,2.0
mbl,0.0
woi,0.0
brb,0.0
mnc,3.0
chq,1.0
sel,1.0
sin,0.0
ctp,0.0
ape,0.0
dry,0.0
umb,0.0
wmb,0.0
pad,0.0
tpm,0.0
nmu,0.0
gaj,0.0
mky,0.0
dif,0.0
kru,0.0
yle,0.0
twf,0.0
sht,0.0
tzh,0.0
mhj,0.0
nyi,0.0
wrs,0.0
gld,0.0
yii,0.0
kfz,0.0
bib,0.0
kal,0.0
dru,0.0
kek,0.0
ayz,0.0
ctd,0.0
bvr,0.0
bmi,0.0
acv,0.0
bor,0.0
jic,0.0
kjg,0.0
tli,0.0
quh,0.0
wim,0.0
tiw,0.0
kss,0.0
kpm,0.0
mjg,0.0
tem,0.0
csz,0.0
kut,0.0
nas,0.0
bod,1.0
cja,0.0
set,0.0
kbd,0.0
rgr,0.0
pac,0.0
jqr,0.0
bgr,0.0
teq,0.0
vma,0.0
bej,0.0
sma,0.0
blc,0.0
fvr,0.0
imn,0.0
yap,0.0
hix,0.0
yaq,0.0
chr,0.0
grj,0.0
lbe,0.0
prk,0.0
inh,0.0
tna,0.0
new,0.0
kgo,0.0
hop,3.0
kjd,0.0
fia,0.0
evn,0.0
brh,0.0
gyd,0.0
zul,0.0
ogb,0.0
irn,0.0
kat,0.0
nab,0.0
yva,0.0
wic,0.0
cgg,0.0
kup,0.0
con,0.0
knc,0.0
bao,0.0
cdo,1.0
gug,0.0
abk,0.0
tba,1.0
chl,0.0
amp,0.0
khq,0.0
guq,0.0
pma,0.0
sza,0.0
axb,0.0
xpe,0.0
huv,0.0
bam,0.0
tca,0.0
thv,0.0
nob,1.0
bev,0.0
yrb,0.0
tlo,0.0
sue,0.0
ess,0.0
tml,0.0
ava,0.0
aer,0.0
wuu,2.0
faa,0.0
ynn,0.0
tay,0.0
kun,0.0
sad,0.0
eky,0.0
yrk,0.0
