ISO,Order_of_Adverbial_Subordinator_and_Clause
min,0.0
tob,0.0
cbi,1.0
spp,0.0
mbc,1.0
mph,0.0
apc,0.0
clo,0.0
tex,0.0
lkr,0.0
yaq,2.0
one,0.0
tbo,2.0
zaw,2.0
lez,3.0
kkk,0.0
sku,0.0
ewe,0.0
dta,1.0
nnm,1.0
zgb,2.0
som,0.0
emp,3.0
kup,3.0
rap,0.0
lub,0.0
ctp,0.0
tae,2.0
knc,2.0
pes,0.0
gvn,0.0
xsu,1.0
gup,0.0
kwi,2.0
pon,0.0
sei,1.0
bcl,0.0
hus,0.0
trv,2.0
xmm,0.0
bak,0.0
mec,0.0
khm,0.0
hla,0.0
caq,0.0
cab,0.0
mhk,2.0
gbr,0.0
aka,2.0
mos,4.0
bll,1.0
apt,1.0
lac,0.0
sue,0.0
mhx,1.0
squ,0.0
tvu,0.0
noa,2.0
chv,1.0
nyi,0.0
lmn,1.0
ncl,0.0
ptp,0.0
nmf,2.0
ncg,0.0
bwe,2.0
csy,1.0
lun,0.0
mig,0.0
tgc,0.0
sna,0.0
vnm,0.0
tpy,3.0
yuc,1.0
avt,0.0
hoc,1.0
svs,1.0
nbj,0.0
mxx,0.0
pau,0.0
mil,0.0
apr,0.0
apu,0.0
gkn,0.0
uby,3.0
itl,0.0
hia,0.0
cir,0.0
kwn,0.0
pst,0.0
rif,0.0
mug,0.0
tqw,3.0
cme,0.0
niy,1.0
ijc,2.0
fut,0.0
tzo,0.0
tun,3.0
txu,3.0
snc,2.0
yok,0.0
wol,0.0
kna,0.0
pym,0.0
van,0.0
shi,2.0
cpa,0.0
acm,0.0
nbi,3.0
kqz,1.0
bft,1.0
pss,0.0
lgg,2.0
cam,0.0
new,2.0
ssw,0.0
ksw,2.0
ppl,0.0
xnz,3.0
mhq,3.0
srs,2.0
scl,2.0
mqy,0.0
bdl,0.0
klj,0.0
des,1.0
mhj,0.0
mjd,3.0
tbl,0.0
gil,0.0
pbb,3.0
mau,0.0
mjw,3.0
yuf,3.0
mdd,0.0
nob,0.0
zag,1.0
gde,0.0
mez,0.0
gaa,0.0
tuv,0.0
bfw,3.0
huv,0.0
alc,2.0
rmw,0.0
kpy,0.0
iba,0.0
pom,3.0
haw,0.0
pag,0.0
wrk,0.0
arb,0.0
bho,0.0
xbr,0.0
pan,0.0
adt,0.0
hnh,0.0
mik,3.0
bdh,0.0
pqm,0.0
ocu,0.0
ong,0.0
kln,0.0
gub,1.0
bmi,0.0
ygr,2.0
djk,0.0
raw,1.0
yur,0.0
kac,1.0
sun,0.0
mrh,1.0
jqr,3.0
hae,0.0
mni,2.0
lvk,2.0
mam,0.0
qui,0.0
sip,1.0
nsm,1.0
ogo,0.0
tcb,1.0
cyb,0.0
tml,1.0
niu,0.0
eno,0.0
oym,1.0
kuy,4.0
nas,2.0
mdj,0.0
rma,2.0
gvo,1.0
efi,0.0
apy,3.0
emi,0.0
cco,0.0
mnw,0.0
ywt,1.0
chq,0.0
wlo,0.0
evn,3.0
gvs,0.0
dis,1.0
tli,1.0
kpv,2.0
wme,0.0
bbl,2.0
ura,1.0
lif,3.0
ibo,0.0
slp,0.0
khl,0.0
tzm,0.0
bim,2.0
sag,0.0
mpc,0.0
amo,0.0
woe,0.0
mlq,1.0
bbc,0.0
mas,0.0
yux,1.0
tca,0.0
los,0.0
hto,1.0
mpe,2.0
bhw,0.0
rou,2.0
tel,2.0
css,0.0
kwy,0.0
mar,3.0
kha,0.0
tya,2.0
ace,0.0
dhr,0.0
arz,0.0
chf,0.0
kxa,0.0
nuy,4.0
jup,2.0
zul,0.0
duj,0.0
qvi,3.0
pqa,0.0
njo,3.0
kao,0.0
bfa,0.0
tdn,0.0
omb,0.0
ape,2.0
ifm,0.0
aph,1.0
snf,0.0
ewo,0.0
sis,0.0
ese,1.0
roh,0.0
chp,1.0
nfl,0.0
klq,2.0
mpk,0.0
lam,0.0
bee,2.0
did,0.0
nya,0.0
mio,0.0
tkw,0.0
bom,0.0
ttr,0.0
yad,2.0
ksd,0.0
kxv,1.0
ary,0.0
gah,3.0
mej,0.0
nia,0.0
car,1.0
ktz,0.0
adj,2.0
aey,1.0
wib,0.0
osa,1.0
kio,3.0
mfi,0.0
nhg,0.0
sad,0.0
kut,0.0
tti,0.0
bot,4.0
kfq,1.0
eip,2.0
ung,0.0
bnc,0.0
teo,0.0
kmo,3.0
swh,0.0
urd,0.0
eme,3.0
sin,2.0
nut,2.0
smr,0.0
kpx,3.0
sus,0.0
snp,3.0
gdq,0.0
lln,0.0
brg,0.0
aoi,2.0
kfz,0.0
tlb,0.0
mhi,4.0
kgo,0.0
sba,0.0
hna,0.0
tig,2.0
ndv,0.0
gcd,4.0
dud,0.0
lgu,0.0
rug,0.0
guj,0.0
