ISO,Locus_of_Marking_in_Possessive_Noun_Phrases
zul,0.0
wsk,1.0
zoc,3.0
kio,1.0
mph,2.0
yrk,0.0
xsu,0.0
par,0.0
ijc,2.0
arz,2.0
yaq,3.0
rma,4.0
tpy,0.0
sad,2.0
ayc,3.0
bzd,2.0
duj,0.0
ncg,1.0
ewe,0.0
pad,1.0
kcd,0.0
amp,0.0
kgo,0.0
ace,1.0
yli,1.0
ckt,2.0
laj,1.0
nrb,2.0
bsn,1.0
dbl,0.0
ntj,0.0
evn,3.0
bod,0.0
tsz,0.0
pwn,3.0
nab,1.0
sza,2.0
kig,0.0
yur,1.0
abt,0.0
bej,0.0
yux,2.0
plt,4.0
lkt,1.0
aer,0.0
ain,1.0
xok,1.0
kjq,1.0
wnw,0.0
kpw,2.0
tya,0.0
noo,1.0
mpc,3.0
tqw,0.0
khq,0.0
tiw,2.0
caq,2.0
brh,0.0
zun,1.0
aey,0.0
tzm,0.0
gyd,0.0
nck,4.0
inz,1.0
inh,0.0
ctm,2.0
rap,0.0
chd,1.0
cku,1.0
yor,1.0
mpb,0.0
csz,1.0
wyb,0.0
khk,0.0
pei,1.0
gup,0.0
spp,1.0
gug,1.0
isl,0.0
lez,0.0
vma,0.0
miq,1.0
vam,1.0
fvr,0.0
cnh,2.0
kan,0.0
wic,1.0
yuc,1.0
bor,1.0
anz,1.0
eng,0.0
wrz,0.0
was,1.0
wba,4.0
ekg,2.0
one,1.0
mni,0.0
slp,2.0
naq,0.0
myp,2.0
tli,1.0
wrk,0.0
jiv,3.0
hix,1.0
bsk,3.0
mhs,1.0
saj,1.0
shp,0.0
mrc,1.0
wnd,1.0
ram,0.0
ote,1.0
jig,3.0
kut,1.0
ikx,0.0
kat,0.0
skd,3.0
qvi,0.0
auc,2.0
aqp,2.0
kvd,1.0
ncz,1.0
apu,1.0
nuy,0.0
lvk,1.0
abk,1.0
sue,0.0
dgz,1.0
unr,0.0
ras,0.0
tlf,1.0
crk,1.0
pes,1.0
hae,4.0
imn,3.0
coc,1.0
qui,1.0
heb,0.0
ktz,2.0
siw,0.0
kmn,0.0
pue,1.0
mfr,1.0
sag,0.0
gni,0.0
tun,1.0
niv,1.0
swt,1.0
mdx,3.0
bmi,2.0
kwi,0.0
arh,0.0
cha,1.0
yad,1.0
urf,0.0
cbt,2.0
huv,1.0
pav,1.0
sll,2.0
wac,1.0
cmn,0.0
mzh,1.0
mwf,2.0
had,1.0
tkm,1.0
dgl,0.0
wnu,1.0
esu,3.0
squ,1.0
sja,2.0
lgg,0.0
kiy,2.0
ayz,0.0
nyh,0.0
ape,0.0
cyb,1.0
swh,0.0
kyh,1.0
tmu,1.0
ung,0.0
