ISO,Numeral_Bases
fvr,0.0
niy,4.0
heb,0.0
arh,0.0
laj,0.0
hae,0.0
kan,0.0
lkt,0.0
tmd,5.0
cyb,0.0
ket,0.0
snf,0.0
car,3.0
ddo,1.0
dgz,3.0
huz,0.0
yua,3.0
kat,1.0
saj,0.0
mzh,2.0
kwi,2.0
ses,0.0
brh,0.0
ckt,3.0
klj,0.0
com,0.0
bgr,0.0
bae,2.0
mpc,2.0
zoc,3.0
kgo,3.0
mna,3.0
yii,2.0
qui,0.0
plt,0.0
yee,3.0
nav,0.0
abk,1.0
knc,0.0
crk,0.0
eip,5.0
teu,0.0
gyd,2.0
evn,0.0
peb,0.0
rap,0.0
hup,0.0
gil,0.0
khm,0.0
khk,0.0
amh,0.0
kca,0.0
eng,0.0
tel,0.0
ekg,4.0
irk,0.0
kpw,5.0
chl,0.0
yux,0.0
mig,1.0
mbp,0.0
naq,0.0
hix,2.0
pon,0.0
dhv,3.0
mni,1.0
dgl,0.0
tbo,3.0
hsb,0.0
jup,2.0
gni,2.0
lbe,0.0
kfz,0.0
inh,1.0
pav,2.0
chv,0.0
jqr,0.0
wsk,2.0
ewe,0.0
azz,1.0
lea,0.0
gol,1.0
cku,0.0
spp,4.0
bzd,0.0
kbd,0.0
thv,0.0
lue,0.0
myp,2.0
kyh,0.0
kjq,0.0
amp,3.0
qvi,0.0
pes,0.0
niv,0.0
mky,0.0
kgr,0.0
esu,3.0
grt,0.0
ote,1.0
spu,0.0
ano,3.0
cle,1.0
arz,0.0
huv,1.0
swh,0.0
kij,0.0
tac,0.0
lez,1.0
yaq,1.0
kut,0.0
btx,0.0
aca,2.0
mls,0.0
akz,0.0
tzm,0.0
sag,0.0
eky,0.0
yad,0.0
cmi,4.0
pwn,0.0
rma,2.0
cgg,0.0
bsk,1.0
wba,3.0
chk,0.0
guc,0.0
ain,3.0
bas,0.0
cmn,0.0
imn,2.0
arw,3.0
dyo,1.0
pjt,2.0
aqc,0.0
kun,0.0
bsn,2.0
sah,0.0
ffm,1.0
yor,3.0
yrk,0.0
bam,0.0
kal,1.0
nez,0.0
tli,0.0
