ISO,Adjectives_without_Nouns
yad,2.0
tvu,0.0
eky,5.0
mig,3.0
sza,3.0
lez,2.0
vma,0.0
zul,0.0
nck,0.0
boi,3.0
dbl,0.0
min,0.0
sat,2.0
ayz,1.0
shp,0.0
mph,0.0
khk,0.0
dar,0.0
swh,0.0
bds,1.0
mak,0.0
gni,0.0
kwi,0.0
gbu,0.0
evn,0.0
dgl,0.0
jup,3.0
huz,2.0
cha,0.0
sot,0.0
sja,5.0
abk,0.0
ava,0.0
gyd,6.0
ckt,5.0
wbv,0.0
kut,0.0
had,3.0
heb,0.0
mrc,0.0
kat,0.0
tiw,0.0
yee,0.0
pes,0.0
yia,0.0
spp,0.0
mna,0.0
kfz,0.0
uur,0.0
tvo,1.0
kpr,0.0
ngi,0.0
inh,2.0
ood,0.0
omb,2.0
yue,4.0
aij,1.0
byw,2.0
lbo,1.0
yss,0.0
yii,0.0
ary,0.0
khq,3.0
lch,0.0
cnh,5.0
imn,2.0
mhd,0.0
arw,2.0
tbo,0.0
wgu,0.0
irk,1.0
qvi,0.0
cmn,4.0
kln,1.0
yux,2.0
aey,0.0
pav,0.0
mhy,1.0
vaf,0.0
cam,2.0
pbh,0.0
gvo,3.0
knc,0.0
aly,0.0
kgs,0.0
laj,1.0
wbj,1.0
mrt,0.0
