ISO,Person_Marking_on_Adpositions
tkm,3.0
cir,0.0
qui,2.0
spl,0.0
gyd,2.0
wnu,1.0
wyb,2.0
ain,1.0
tfr,0.0
kng,0.0
cgg,1.0
ktz,0.0
had,0.0
mig,1.0
kjq,0.0
hvn,0.0
yrk,1.0
kos,1.0
lif,0.0
zul,0.0
nhg,3.0
urf,2.0
abk,3.0
rma,1.0
bam,0.0
wsk,3.0
yss,1.0
chh,0.0
acv,2.0
kat,0.0
kfz,1.0
ksd,0.0
mph,0.0
alc,0.0
tpy,0.0
nak,0.0
heb,1.0
kgo,0.0
snf,1.0
srm,0.0
kmc,0.0
tya,2.0
irk,0.0
chl,0.0
fvr,1.0
gae,1.0
bej,0.0
aro,0.0
hmt,2.0
khm,0.0
tsu,0.0
xok,0.0
yux,0.0
erg,1.0
wao,0.0
cav,0.0
arw,1.0
zab,1.0
tsi,0.0
imn,0.0
brh,0.0
kal,1.0
spp,0.0
yle,3.0
unr,0.0
knc,0.0
yor,0.0
jic,0.0
yva,1.0
lue,0.0
gcd,2.0
kan,0.0
nsm,0.0
teu,1.0
kha,0.0
zun,2.0
mrc,2.0
tbo,1.0
kyh,0.0
set,0.0
mra,0.0
mtg,0.0
ung,2.0
jqr,2.0
ket,3.0
miq,0.0
yaq,0.0
wnw,2.0
sis,2.0
myh,2.0
laj,1.0
mde,1.0
mky,0.0
ewe,1.0
tml,0.0
ude,3.0
inh,0.0
bsn,0.0
iqu,1.0
grj,0.0
bsk,1.0
pav,3.0
tay,0.0
xsu,0.0
ktg,2.0
sue,0.0
dgl,1.0
axb,0.0
shp,0.0
boi,2.0
lep,0.0
dga,0.0
eky,0.0
adz,0.0
lbe,0.0
cub,0.0
gil,3.0
ndo,0.0
wrr,2.0
amp,0.0
hto,1.0
avt,1.0
tsz,0.0
kun,0.0
was,1.0
dta,0.0
sza,0.0
ame,0.0
kaq,0.0
tri,1.0
auc,0.0
kky,2.0
yuc,1.0
cop,1.0
aey,0.0
yur,0.0
ppl,3.0
xom,0.0
csz,2.0
wms,0.0
gld,2.0
skd,2.0
sja,0.0
ckt,0.0
yee,1.0
uur,1.0
ote,0.0
ijc,1.0
mfe,0.0
zmr,0.0
pay,2.0
mni,0.0
pam,0.0
kio,2.0
bfa,0.0
nuy,2.0
kmn,2.0
wba,0.0
khq,0.0
plt,1.0
lkt,1.0
naq,0.0
ace,0.0
dyo,0.0
xaw,3.0
cyb,2.0
tvo,0.0
kpw,0.0
btx,0.0
mte,0.0
tgc,1.0
crw,0.0
nez,2.0
mpc,2.0
dni,1.0
lkr,0.0
nab,2.0
kjg,0.0
tiw,0.0
kjc,0.0
tli,3.0
byn,0.0
eng,0.0
tlc,0.0
cdm,0.0
nyv,0.0
crk,2.0
tnc,1.0
ard,2.0
nig,2.0
sun,0.0
dhv,0.0
ekg,0.0
squ,2.0
rap,0.0
noo,2.0
cku,1.0
lbj,0.0
ram,1.0
wti,1.0
anz,1.0
khk,0.0
ktn,1.0
mnb,0.0
crn,3.0
gug,1.0
tea,1.0
zne,0.0
ntp,1.0
lez,0.0
grt,2.0
vma,2.0
gde,0.0
mbc,1.0
gvs,0.0
mbq,0.0
gdo,0.0
ibo,0.0
wic,2.0
bor,3.0
pjt,0.0
amf,2.0
amh,1.0
pes,1.0
one,2.0
swh,0.0
wmb,2.0
myp,0.0
pnw,2.0
bfw,0.0
saj,0.0
nam,2.0
myb,1.0
mpb,2.0
mqs,0.0
cbu,1.0
mls,2.0
alo,1.0
aqp,0.0
nup,0.0
mzm,0.0
pom,0.0
kut,2.0
lln,0.0
sur,1.0
aty,1.0
zoc,2.0
qvi,0.0
cmn,0.0
apu,2.0
tzm,1.0
kgr,0.0
lvk,3.0
hnh,0.0
ses,0.0
mzh,2.0
trc,1.0
sln,1.0
hae,0.0
yii,2.0
hur,2.0
tzj,3.0
crh,0.0
mur,1.0
mdy,2.0
sll,0.0
gni,0.0
niv,1.0
kln,0.0
bav,0.0
tcs,0.0
yap,1.0
nmu,2.0
bmi,1.0
kwi,0.0
oss,0.0
gym,0.0
cha,1.0
lhu,0.0
moh,2.0
fub,0.0
yok,2.0
men,0.0
bdy,2.0
pqm,2.0
bgr,0.0
ker,0.0
arh,0.0
djk,0.0
vam,0.0
pma,1.0
xuo,0.0
ayz,3.0
pau,0.0
ape,2.0
com,0.0
bee,0.0
dgz,0.0
