ISO,Correlative_relative_clauses
ori,0.0
kan,1.0
vai,0.0
xsu,5.0
sat,1.0
wyb,3.0
swv,1.0
kgy,1.0
urd,0.0
yux,2.0
khr,1.0
xns,6.0
qvi,2.0
mxx,0.0
kas,4.0
brx,1.0
drd,1.0
bam,0.0
