ISO,Coding_of_Nominal_Plurality
teu,0.0
niu,1.0
kpo,4.0
ndv,0.0
wti,5.0
cgg,2.0
njb,0.0
hay,2.0
gvs,0.0
wib,0.0
nbc,0.0
rji,3.0
tks,0.0
npa,4.0
qvh,0.0
cku,4.0
mgd,0.0
bxm,0.0
peb,0.0
ksf,2.0
ewo,2.0
zgb,3.0
xsu,1.0
sua,2.0
kxa,1.0
fon,1.0
mvf,0.0
nzk,2.0
tbc,1.0
chh,0.0
kpm,2.0
wol,5.0
kct,0.0
enx,0.0
bej,0.0
mgw,2.0
pbs,5.0
sln,0.0
alh,2.0
sbc,3.0
plh,0.0
raw,1.0
tae,0.0
apt,1.0
tex,0.0
bam,0.0
yrb,0.0
pao,5.0
zag,8.0
muz,0.0
gaa,0.0
ahg,0.0
adi,0.0
slp,6.0
ute,0.0
sll,3.0
tzm,5.0
uwa,3.0
sip,1.0
ale,0.0
oaa,0.0
wlo,1.0
mpt,0.0
aoj,1.0
ket,0.0
ker,2.0
apc,5.0
wms,0.0
kky,0.0
kkk,1.0
dip,7.0
trw,0.0
fub,0.0
css,0.0
dag,0.0
niv,0.0
ssn,3.0
led,0.0
viv,0.0
nju,0.0
tvu,2.0
ctp,3.0
blw,2.0
bzd,0.0
kxv,0.0
wyb,0.0
yux,0.0
bqp,4.0
mug,0.0
ddo,0.0
kcr,2.0
mxu,1.0
yur,5.0
ewe,4.0
iba,3.0
nyi,3.0
pad,3.0
usa,0.0
svs,4.0
ncj,0.0
ksb,2.0
aey,5.0
com,0.0
wgu,3.0
kgy,4.0
hid,0.0
evn,0.0
rma,4.0
snp,3.0
rwa,3.0
xho,2.0
mik,5.0
kjq,0.0
nig,3.0
kwy,2.0
caq,3.0
mme,1.0
crd,1.0
tio,1.0
dmk,0.0
hix,1.0
shp,0.0
kan,0.0
ann,3.0
kay,0.0
mlq,4.0
nnm,3.0
cav,4.0
skd,0.0
sei,0.0
kpy,0.0
ckt,0.0
lue,2.0
klr,0.0
spl,0.0
kfq,0.0
sdg,0.0
aka,5.0
uby,0.0
yee,0.0
byn,0.0
chf,0.0
snn,0.0
new,4.0
zro,0.0
sun,6.0
bbc,1.0
jqr,0.0
tuv,5.0
xtc,2.0
njh,5.0
lcm,1.0
los,1.0
klj,0.0
tdh,3.0
mxx,1.0
kla,5.0
otr,2.0
suq,0.0
opt,2.0
mdi,5.0
lkr,5.0
lea,2.0
mnc,0.0
clo,0.0
mbq,4.0
lao,3.0
abk,0.0
chv,0.0
tlc,5.0
xal,0.0
mua,4.0
mdm,2.0
yuf,0.0
sov,3.0
udl,1.0
buu,2.0
men,0.0
lwo,0.0
plg,0.0
kgs,0.0
nus,7.0
tcb,0.0
miq,1.0
bae,0.0
ycn,0.0
mnb,0.0
kha,1.0
khq,1.0
gae,0.0
pue,3.0
bee,0.0
van,0.0
duu,1.0
yue,3.0
eme,4.0
nuk,0.0
nlg,1.0
eng,0.0
gdm,7.0
hke,2.0
lef,2.0
siw,0.0
urd,0.0
bmr,0.0
kln,0.0
mur,0.0
xas,0.0
lec,0.0
peh,4.0
unr,0.0
wam,0.0
kng,2.0
wiy,3.0
bas,2.0
wba,0.0
ksw,1.0
tli,0.0
gdo,0.0
tir,0.0
som,0.0
tsi,2.0
mrt,4.0
naq,0.0
amk,4.0
luo,0.0
kbc,0.0
rut,0.0
ppl,0.0
min,3.0
lbj,0.0
mas,0.0
spp,0.0
tus,2.0
kao,0.0
kij,5.0
nid,2.0
ssd,1.0
cnh,1.0
yuc,1.0
bin,3.0
gvn,6.0
mam,4.0
bcm,1.0
ctd,3.0
dyo,2.0
mzb,0.0
doo,0.0
auc,0.0
mpc,0.0
uig,0.0
cle,1.0
tlf,0.0
yad,0.0
udm,0.0
pwu,0.0
srs,0.0
kgo,2.0
ocu,2.0
tbl,1.0
thd,3.0
gym,0.0
mzh,0.0
mhx,1.0
kki,2.0
mbb,1.0
tfr,0.0
njz,1.0
gmm,2.0
shk,0.0
bzr,3.0
yaq,0.0
dau,0.0
cko,4.0
lnj,0.0
dnj,1.0
nuy,2.0
wic,3.0
cab,0.0
zne,2.0
khl,2.0
jeb,0.0
vay,0.0
sro,0.0
ntp,2.0
plt,3.0
qui,2.0
mhr,0.0
bex,1.0
xbi,1.0
sed,1.0
nce,0.0
mdj,2.0
lww,1.0
can,0.0
tlb,3.0
nko,2.0
had,4.0
urt,1.0
for,0.0
mnw,1.0
sey,0.0
lgg,0.0
bak,0.0
glu,1.0
imi,0.0
aij,0.0
huz,0.0
pma,1.0
mrg,5.0
ong,0.0
snc,4.0
nav,0.0
grt,4.0
avi,1.0
yij,0.0
btx,6.0
ywt,3.0
mky,4.0
mhi,5.0
gey,2.0
avu,0.0
cld,0.0
amo,2.0
cbc,0.0
jao,2.0
bsn,0.0
khk,5.0
xom,2.0
gah,0.0
kut,2.0
ain,0.0
shi,5.0
pan,0.0
drl,3.0
gnr,0.0
myu,0.0
azb,0.0
zoc,0.0
kzw,0.0
tgc,1.0
kto,1.0
dim,4.0
kcg,8.0
duc,4.0
kca,0.0
enn,3.0
brg,0.0
xuu,0.0
wos,0.0
bhw,4.0
tah,1.0
kaa,0.0
bca,1.0
kig,1.0
kal,0.0
kat,0.0
rao,3.0
pym,2.0
kwo,0.0
nmd,2.0
ank,1.0
mzn,0.0
tee,5.0
crw,3.0
iai,1.0
tcf,3.0
mmn,1.0
kmo,1.0
mev,0.0
arz,5.0
eve,0.0
yor,1.0
mil,1.0
lif,3.0
mkz,4.0
lmu,1.0
moj,4.0
tro,0.0
krc,0.0
bcq,0.0
mie,1.0
nzm,1.0
arr,4.0
ngi,0.0
acm,5.0
bnc,2.0
rgr,0.0
inh,0.0
emi,1.0
kbh,0.0
ncl,5.0
mjd,0.0
myb,4.0
wao,0.0
khg,4.0
wwr,4.0
ndo,2.0
fun,0.0
tsz,0.0
kfz,0.0
teo,5.0
sen,0.0
drd,1.0
arw,0.0
tml,0.0
cod,0.0
ksi,3.0
cup,0.0
gbp,1.0
mor,2.0
nnb,2.0
baa,1.0
nrb,0.0
ogu,2.0
ses,4.0
ulk,0.0
ayc,0.0
srb,0.0
moc,0.0
adj,2.0
mjw,1.0
kjg,3.0
dgl,0.0
hia,0.0
ura,0.0
bmi,4.0
ilb,2.0
msy,0.0
aty,2.0
cho,3.0
ram,3.0
hto,0.0
nob,0.0
sdp,0.0
kpz,0.0
abz,1.0
lui,0.0
aph,0.0
scl,0.0
liy,1.0
chq,3.0
xub,0.0
lhu,0.0
zmr,3.0
jya,0.0
kpw,0.0
cid,3.0
bck,4.0
lep,1.0
myv,0.0
jup,4.0
irn,3.0
twf,0.0
laj,0.0
wme,1.0
fqs,3.0
kyc,1.0
mez,0.0
wbl,0.0
mpk,0.0
amp,4.0
huv,2.0
ary,5.0
kam,2.0
fuu,1.0
toi,2.0
buh,3.0
ood,2.0
bfa,0.0
ngo,2.0
