ISO,Prefixing_vs._Suffixing_in_Inflectional_Morphology
glu,2.0
kup,3.0
bzr,0.0
kxv,0.0
apu,1.0
nez,1.0
guk,3.0
oss,0.0
dyo,1.0
tem,1.0
xub,0.0
mhu,0.0
oaa,0.0
wyb,0.0
yux,0.0
ane,2.0
nzk,4.0
khr,2.0
kfz,3.0
mqs,5.0
pue,3.0
afb,3.0
pwn,1.0
tpy,0.0
bdy,0.0
wgy,0.0
ykg,0.0
cho,1.0
pan,0.0
opt,3.0
nbj,0.0
guc,3.0
woe,2.0
tex,3.0
plu,0.0
arr,2.0
too,1.0
lao,2.0
zne,1.0
mec,4.0
jqr,0.0
evn,0.0
gni,4.0
enn,2.0
sua,5.0
est,0.0
squ,0.0
adj,4.0
bcl,2.0
bcq,0.0
hoc,0.0
cbc,0.0
nuy,1.0
kan,0.0
mpk,0.0
anc,2.0
brx,0.0
pma,4.0
kff,0.0
rgr,1.0
ckt,3.0
sov,2.0
adi,0.0
myb,0.0
vai,2.0
irk,0.0
mme,2.0
nio,0.0
gkn,2.0
naf,0.0
tcb,5.0
krc,0.0
eip,0.0
dyy,0.0
kdj,4.0
kwn,5.0
van,4.0
dta,0.0
mam,4.0
sll,0.0
duj,0.0
ary,3.0
abk,1.0
lui,0.0
dbl,0.0
xac,0.0
dgz,0.0
ulk,1.0
hla,0.0
pwa,0.0
mdd,2.0
aey,0.0
qui,3.0
chf,0.0
klj,0.0
plh,1.0
tro,3.0
khe,0.0
aom,0.0
nnm,1.0
los,4.0
osa,2.0
cko,2.0
did,0.0
sel,0.0
kpy,3.0
mfi,0.0
tzm,1.0
som,0.0
cbi,0.0
tel,0.0
djr,0.0
sna,5.0
shi,4.0
fun,1.0
nhu,1.0
tun,0.0
zai,1.0
njo,3.0
rif,4.0
rma,1.0
kqz,0.0
apw,1.0
thd,2.0
amn,0.0
bee,0.0
aqc,0.0
mrg,0.0
plg,4.0
bfa,4.0
yrb,0.0
led,1.0
cku,1.0
pst,0.0
sku,4.0
xwg,1.0
spl,0.0
ncg,2.0
kto,1.0
amo,4.0
bdr,2.0
otr,4.0
rut,3.0
nid,1.0
snn,0.0
urf,0.0
kza,0.0
ses,2.0
knm,1.0
mas,4.0
ddo,3.0
mnw,2.0
oon,3.0
mbc,0.0
wba,3.0
aly,0.0
mur,3.0
mni,3.0
taq,1.0
ape,4.0
uby,1.0
lnj,0.0
tea,5.0
tbo,4.0
kpx,0.0
nab,0.0
aro,0.0
yee,1.0
wol,2.0
tzj,5.0
naq,0.0
byn,0.0
ijc,3.0
cco,5.0
bex,2.0
alh,0.0
sue,0.0
dih,4.0
spp,3.0
brg,3.0
sei,5.0
sja,0.0
mjw,0.0
rou,1.0
nrz,1.0
lbj,0.0
sed,2.0
tnl,4.0
mhi,2.0
kay,1.0
kjg,2.0
tee,4.0
zag,3.0
imi,3.0
mpc,1.0
alp,1.0
urb,4.0
nzm,2.0
lue,5.0
hup,4.0
chr,4.0
byr,3.0
kgo,4.0
jya,4.0
aty,1.0
wnd,1.0
kpw,0.0
urt,2.0
agd,3.0
eme,1.0
eve,0.0
pid,3.0
mev,2.0
klq,0.0
kxa,1.0
yaq,0.0
bot,4.0
xav,4.0
pad,1.0
wic,4.0
bom,5.0
kos,2.0
tay,2.0
jup,0.0
bwe,4.0
tya,3.0
teo,5.0
djm,0.0
mnb,1.0
lkr,3.0
nko,5.0
bca,2.0
urk,2.0
shk,1.0
njz,0.0
ppl,1.0
ach,1.0
kyc,0.0
haw,2.0
kna,0.0
kkk,2.0
xas,0.0
kij,4.0
cle,2.0
sgw,1.0
avt,4.0
zoc,1.0
yur,3.0
ifb,1.0
unr,0.0
irn,0.0
khm,2.0
gde,0.0
emp,0.0
thf,0.0
kao,2.0
cbr,0.0
kaa,0.0
btx,0.0
khk,0.0
tae,1.0
kut,3.0
ain,1.0
bae,3.0
aer,0.0
doo,3.0
cup,1.0
duc,2.0
mio,1.0
par,0.0
kgq,3.0
ngo,5.0
axb,0.0
mfc,4.0
gah,0.0
aiw,0.0
lln,0.0
baa,2.0
iba,2.0
kbh,4.0
kal,0.0
kat,3.0
vay,0.0
kbd,1.0
bla,4.0
ahg,0.0
ute,0.0
tuv,5.0
tbh,0.0
snc,4.0
mau,3.0
byw,3.0
xbi,2.0
arz,3.0
nrb,0.0
yor,2.0
mls,0.0
ava,0.0
hch,1.0
udi,0.0
ngk,3.0
mgw,5.0
snf,0.0
zpq,1.0
luo,1.0
hus,2.0
yrk,0.0
bfw,0.0
raw,2.0
kma,0.0
ewo,5.0
huv,1.0
kfk,0.0
aoj,4.0
mtg,0.0
huz,0.0
tbc,1.0
mbq,4.0
teu,3.0
tml,0.0
hoa,2.0
tgc,2.0
bbc,1.0
zay,0.0
meu,0.0
kgr,2.0
dni,0.0
mdi,4.0
csz,3.0
amh,3.0
poi,1.0
mor,4.0
kla,0.0
eng,0.0
sui,0.0
tbi,3.0
faa,0.0
ndv,0.0
cam,2.0
wrr,1.0
sad,0.0
tlc,1.0
brh,0.0
ikx,0.0
ddj,0.0
bio,0.0
fqs,3.0
shs,1.0
new,0.0
mym,0.0
eky,2.0
kig,2.0
nbl,5.0
paw,1.0
ncl,4.0
nia,5.0
itl,0.0
dis,0.0
ksd,2.0
xom,3.0
ksw,2.0
sbc,5.0
gyd,0.0
gdq,1.0
sbe,3.0
mdj,1.0
dip,2.0
auc,0.0
bmu,0.0
buf,5.0
nhg,1.0
mph,4.0
tus,4.0
dhr,0.0
kjq,1.0
sba,3.0
bho,0.0
chb,3.0
sid,0.0
lmn,0.0
kln,1.0
khl,4.0
bnc,1.0
yad,0.0
shh,0.0
yuc,1.0
skd,0.0
shj,3.0
usa,3.0
had,5.0
are,0.0
niv,3.0
pao,0.0
urd,0.0
gbd,0.0
pqa,0.0
jiv,0.0
huu,0.0
nsz,0.0
car,1.0
lun,4.0
irh,5.0
sce,0.0
tsi,3.0
srq,4.0
bak,0.0
wrk,0.0
laj,1.0
nmu,0.0
sip,2.0
jig,0.0
ann,5.0
koi,0.0
plt,2.0
bdm,1.0
trc,1.0
gae,3.0
ctm,0.0
hix,1.0
rmt,0.0
isl,0.0
aca,1.0
amp,0.0
ace,2.0
hop,0.0
bbl,0.0
kyq,0.0
jbu,2.0
drd,3.0
bdh,2.0
khq,2.0
tna,0.0
cpa,1.0
heb,3.0
bgr,2.0
liy,2.0
saj,5.0
wbl,0.0
noa,0.0
mkf,0.0
bej,3.0
mpe,0.0
hmt,1.0
kjd,3.0
bmr,3.0
buo,0.0
acm,1.0
tdn,4.0
wbv,0.0
tbl,4.0
sdg,0.0
mig,5.0
mik,3.0
pom,0.0
mhj,0.0
mrt,3.0
zul,5.0
zmc,0.0
kwi,0.0
dji,0.0
wim,0.0
pko,3.0
nyi,0.0
dag,3.0
yia,0.0
mzm,2.0
tiw,5.0
gmm,3.0
yij,0.0
chq,1.0
caq,0.0
pav,2.0
waq,1.0
svs,0.0
tzo,1.0
wwr,4.0
ndt,1.0
dds,0.0
wao,0.0
muz,3.0
bft,0.0
myv,0.0
zgb,2.0
nyv,4.0
kkl,0.0
chv,0.0
rmw,0.0
gil,1.0
nbc,1.0
uig,0.0
eno,4.0
kun,3.0
tvo,5.0
nsm,3.0
kyh,1.0
mxx,2.0
ese,2.0
grt,0.0
qvi,0.0
wmb,0.0
puw,2.0
ksb,5.0
sur,2.0
arb,0.0
mmn,2.0
pes,3.0
blb,3.0
rap,2.0
xal,0.0
bor,3.0
was,3.0
bcm,4.0
anu,1.0
gww,4.0
zaw,1.0
cub,0.0
sis,0.0
tuo,0.0
set,0.0
gvf,0.0
nym,5.0
mie,2.0
mhq,3.0
lep,2.0
ker,0.0
ksi,2.0
ppo,0.0
nyn,5.0
kac,2.0
uli,2.0
blc,0.0
kca,0.0
ayc,0.0
aoi,1.0
djj,1.0
bam,0.0
wed,3.0
cir,2.0
yok,0.0
dru,1.0
xaw,0.0
nak,3.0
dgl,0.0
dif,0.0
pau,4.0
mej,4.0
gvn,0.0
slp,4.0
hmr,2.0
niy,1.0
aij,0.0
csy,2.0
lec,3.0
buh,2.0
sah,0.0
sro,0.0
for,0.0
clo,3.0
ale,0.0
hke,5.0
abz,1.0
prx,0.0
men,0.0
pwu,0.0
bvr,4.0
alc,0.0
mhk,5.0
mgd,3.0
tob,1.0
cgg,5.0
lif,0.0
loj,2.0
chh,4.0
wms,0.0
crw,2.0
mch,1.0
qvh,0.0
mnr,0.0
bhw,4.0
mus,3.0
chp,5.0
nig,3.0
mbb,5.0
erk,4.0
tfr,0.0
cid,3.0
jeb,0.0
nut,2.0
der,0.0
tta,1.0
iqu,1.0
kmo,0.0
hia,0.0
mhx,2.0
pbs,4.0
wib,4.0
acu,0.0
apt,0.0
cap,0.0
ocu,5.0
kqi,0.0
css,0.0
mjd,3.0
udl,5.0
shp,0.0
pbb,0.0
esu,0.0
ign,1.0
lkt,4.0
kms,4.0
lgg,4.0
asm,0.0
azb,0.0
asa,5.0
rwa,2.0
inh,0.0
srs,4.0
miq,0.0
kcr,1.0
ank,2.0
moh,4.0
tpt,1.0
nju,0.0
aka,5.0
mhr,0.0
bds,0.0
pib,3.0
ttr,0.0
lez,0.0
agg,0.0
kue,0.0
klb,1.0
dud,2.0
tri,1.0
arh,3.0
ard,0.0
aia,2.0
boi,1.0
ram,2.0
vma,0.0
kmn,3.0
myh,2.0
gug,5.0
lrg,4.0
ygr,1.0
izz,1.0
udm,0.0
tkm,3.0
des,0.0
npa,3.0
kld,0.0
qum,5.0
klr,0.0
yue,2.0
sag,5.0
ctd,5.0
skf,2.0
cyb,4.0
gbu,1.0
tsj,0.0
kio,1.0
swh,4.0
lhu,2.0
myp,0.0
amc,0.0
mil,4.0
mar,0.0
tig,3.0
mzh,1.0
rtm,2.0
snp,0.0
ori,0.0
cme,2.0
arw,1.0
njh,3.0
cnh,2.0
zmu,0.0
min,2.0
xsi,1.0
apb,2.0
wsk,0.0
yap,2.0
ood,1.0
wal,0.0
toi,5.0
omb,2.0
lac,0.0
aph,0.0
rit,0.0
com,0.0
agt,0.0
yul,1.0
cmn,0.0
dmk,0.0
amk,4.0
kha,2.0
nob,0.0
lvk,3.0
kam,5.0
krs,1.0
nup,2.0
nus,0.0
gvs,1.0
mky,2.0
sme,0.0
ywt,2.0
fut,2.0
ynd,0.0
nas,0.0
hae,0.0
sln,1.0
trp,0.0
jae,1.0
pym,3.0
tqw,3.0
kjj,0.0
siw,0.0
mug,0.0
buu,5.0
teq,4.0
kky,0.0
yuf,3.0
ahk,2.0
tlb,1.0
iai,2.0
kee,4.0
tpj,1.0
lww,4.0
tca,1.0
uwa,0.0
bmi,3.0
tac,0.0
mpt,0.0
mpq,0.0
sun,2.0
cha,2.0
ogo,4.0
pit,0.0
tsz,0.0
mjg,0.0
kng,5.0
ssd,0.0
gnr,0.0
ljp,2.0
kir,0.0
twf,1.0
nxn,0.0
tcf,1.0
fuu,4.0
zmr,2.0
kfq,0.0
crk,1.0
hto,0.0
yii,0.0
kzw,1.0
wti,3.0
ngi,0.0
ndo,1.0
ung,2.0
fla,4.0
ayz,5.0
kot,1.0
ktz,2.0
ote,4.0
cop,4.0
mez,1.0
dhv,2.0
