ISO,Overlap_between_Situational_and_Epistemic_Modal_Marking
mkj,0.0
wmb,0.0
rth,0.0
mky,0.0
ace,1.0
yaq,0.0
plt,0.0
arz,2.0
ain,1.0
yur,0.0
kij,0.0
aka,0.0
xbr,1.0
aro,0.0
nbi,0.0
dhv,0.0
afb,1.0
ewe,1.0
mrz,0.0
brh,0.0
lep,0.0
cku,1.0
yrk,1.0
bav,0.0
wyb,1.0
mns,0.0
nhg,0.0
tio,1.0
kwi,1.0
zoc,0.0
naq,0.0
tel,2.0
sme,0.0
khk,0.0
nav,1.0
btx,0.0
mua,0.0
lvk,0.0
grt,0.0
pan,0.0
imn,0.0
lez,0.0
kut,0.0
nuy,0.0
bam,1.0
unr,0.0
zul,1.0
kca,0.0
kan,2.0
skd,1.0
mlt,2.0
eng,2.0
kas,2.0
ses,1.0
one,1.0
sza,0.0
lkt,0.0
qvi,0.0
uma,0.0
yux,0.0
ckt,0.0
pom,0.0
mzh,0.0
csz,1.0
mar,0.0
vot,0.0
ona,0.0
xsu,0.0
haw,1.0
shp,0.0
kjq,0.0
mni,0.0
ker,0.0
dih,0.0
djk,0.0
cyb,0.0
kjg,0.0
kfz,1.0
evn,0.0
mtg,0.0
mkd,2.0
wba,0.0
gyd,1.0
cgg,0.0
ote,0.0
mig,0.0
ket,0.0
abk,1.0
sag,1.0
squ,0.0
wol,1.0
amh,0.0
wnu,0.0
gdq,0.0
lin,1.0
ayc,0.0
pes,1.0
hae,1.0
pad,0.0
mnb,0.0
kat,1.0
heb,2.0
kpw,0.0
crk,0.0
ude,1.0
spp,0.0
nmf,1.0
yue,1.0
aey,0.0
ekg,0.0
dni,1.0
mde,1.0
tpy,0.0
yuc,0.0
pwn,0.0
kxu,1.0
yee,2.0
tml,0.0
ung,0.0
yor,2.0
irk,1.0
zav,0.0
fub,1.0
niv,0.0
pia,0.0
cmn,2.0
huz,0.0
tig,0.0
lbj,0.0
tli,0.0
isl,1.0
nez,0.0
dgz,0.0
hmt,0.0
fud,1.0
cha,1.0
arh,1.0
som,0.0
swh,1.0
bgr,1.0
pqm,0.0
