ISO,Locus_of_Marking:_Whole-language_Typology
zul,0.0
wsk,0.0
zoc,3.0
kio,0.0
mph,0.0
yrk,0.0
xsu,0.0
par,1.0
ijc,4.0
arz,0.0
yaq,3.0
rma,0.0
tpy,1.0
sad,0.0
ayc,3.0
bzd,0.0
duj,1.0
ncg,2.0
ewe,0.0
pad,0.0
kcd,0.0
amp,0.0
kgo,0.0
ace,2.0
yli,2.0
ckt,0.0
laj,2.0
nrb,0.0
bsn,0.0
dbl,1.0
ntj,1.0
evn,0.0
bod,1.0
tsz,1.0
pwn,3.0
nab,2.0
sza,0.0
kig,0.0
yur,2.0
abt,1.0
bej,1.0
yux,0.0
plt,0.0
lkt,2.0
aer,1.0
ain,0.0
xok,0.0
kjq,2.0
wnw,0.0
kpw,0.0
tya,0.0
noo,0.0
mpc,3.0
tqw,0.0
khq,1.0
tiw,0.0
caq,0.0
brh,1.0
zun,0.0
aey,0.0
tzm,1.0
gyd,1.0
nck,0.0
inz,2.0
inh,0.0
ctm,0.0
rap,0.0
chd,2.0
cku,0.0
yor,0.0
mpb,0.0
csz,2.0
wyb,1.0
khk,1.0
pei,2.0
gup,0.0
spp,0.0
gug,2.0
isl,1.0
lez,1.0
vma,1.0
miq,0.0
vam,0.0
fvr,1.0
cnh,0.0
kan,1.0
wic,2.0
yuc,2.0
bor,0.0
anz,2.0
eng,1.0
wrz,0.0
was,2.0
wba,0.0
ekg,0.0
one,2.0
mni,1.0
slp,4.0
naq,1.0
myp,4.0
tli,2.0
wrk,1.0
jiv,3.0
hix,2.0
bsk,3.0
mhs,0.0
saj,2.0
shp,1.0
mrc,0.0
wnd,2.0
ram,0.0
ote,2.0
jig,3.0
kut,0.0
ikx,1.0
kat,0.0
skd,3.0
qvi,1.0
auc,0.0
aqp,0.0
kvd,2.0
ncz,2.0
apu,2.0
nuy,0.0
lvk,2.0
abk,2.0
sue,0.0
dgz,2.0
unr,0.0
ras,0.0
tlf,2.0
crk,2.0
pes,0.0
hae,0.0
imn,3.0
coc,0.0
qui,0.0
heb,0.0
ktz,4.0
siw,0.0
kmn,1.0
pue,0.0
mfr,2.0
sag,0.0
gni,0.0
tun,2.0
niv,2.0
swt,2.0
mdx,0.0
bmi,0.0
kwi,0.0
arh,0.0
cha,0.0
yad,0.0
urf,1.0
cbt,0.0
huv,2.0
pav,2.0
sll,0.0
wac,2.0
cmn,1.0
mzh,0.0
mwf,0.0
had,0.0
tkm,2.0
dgl,1.0
wnu,2.0
esu,3.0
squ,0.0
sja,0.0
lgg,0.0
kiy,0.0
ayz,0.0
nyh,0.0
ape,0.0
cyb,0.0
swh,0.0
kyh,2.0
tmu,0.0
ung,0.0
