ISO,Alignment_of_Case_Marking_of_Pronouns
ape,0.0
gug,1.0
tpy,2.0
car,0.0
irk,0.0
khk,1.0
ibo,6.0
skd,1.0
cyb,0.0
yad,0.0
ram,5.0
arz,0.0
lez,2.0
tiw,0.0
tsi,0.0
yux,1.0
cgg,0.0
pav,5.0
zul,0.0
kan,1.0
com,1.0
wrr,2.0
mni,1.0
tun,0.0
eky,0.0
chl,1.0
ket,0.0
eng,1.0
unr,0.0
naq,1.0
ain,0.0
btx,0.0
kgo,0.0
hix,0.0
bsk,2.0
mur,1.0
huz,0.0
gyd,1.0
kal,0.0
urb,1.0
mpc,1.0
yor,1.0
kfz,0.0
dni,2.0
kng,0.0
apu,0.0
knc,1.0
bgr,2.0
nuy,0.0
hmt,0.0
wyb,1.0
khm,0.0
lbe,0.0
grj,1.0
mrz,0.0
esu,0.0
rma,1.0
evn,1.0
yrk,1.0
ayc,6.0
kpw,1.0
rap,0.0
shp,2.0
lvk,0.0
lep,1.0
abk,0.0
mig,0.0
ewe,0.0
dgz,0.0
mky,0.0
sue,0.0
ker,0.0
pes,1.0
hae,1.0
dgl,1.0
niy,0.0
kat,0.0
heb,1.0
myp,0.0
kha,1.0
aro,2.0
spp,0.0
sza,4.0
aey,0.0
fvr,1.0
lue,0.0
mzh,0.0
pma,0.0
kwi,1.0
grt,1.0
xsu,2.0
bzd,2.0
yii,1.0
axb,0.0
kyh,0.0
kut,0.0
wic,5.0
dhv,3.0
niv,0.0
bsn,1.0
bam,0.0
cha,2.0
mph,0.0
pad,1.0
vma,1.0
mar,1.0
sag,0.0
wba,1.0
lbj,2.0
mrc,6.0
ckt,2.0
ung,0.0
pom,1.0
cmn,0.0
gni,2.0
brh,1.0
cle,0.0
pjt,1.0
inh,2.0
yee,0.0
dyo,0.0
csw,0.0
ayz,0.0
tzm,0.0
nez,4.0
swh,0.0
zoc,2.0
wnu,0.0
