ISO,Distance_Contrasts_in_Demonstratives
mkj,1.0
eve,0.0
huz,1.0
apu,0.0
shi,1.0
ace,1.0
kfz,3.0
dgl,0.0
vma,0.0
eky,0.0
kln,1.0
djk,0.0
tiw,0.0
wal,0.0
tnc,0.0
abt,1.0
cha,1.0
xbr,2.0
pad,1.0
evn,0.0
afb,0.0
qui,2.0
kxa,1.0
urb,1.0
kio,0.0
wrr,1.0
pav,1.0
kdd,0.0
mig,0.0
kij,1.0
som,2.0
hnh,1.0
inh,0.0
yii,1.0
yux,0.0
kla,0.0
wba,1.0
imn,0.0
mlt,0.0
myp,0.0
wyb,0.0
anu,1.0
plt,4.0
haw,1.0
mni,0.0
ygr,1.0
tsi,0.0
naq,0.0
pon,1.0
afr,0.0
tli,2.0
aey,1.0
niv,0.0
ude,0.0
sza,0.0
kwd,0.0
amp,0.0
ssw,1.0
kgo,1.0
luo,1.0
apy,1.0
lkt,1.0
khk,0.0
cir,1.0
byw,0.0
spp,3.0
ckt,1.0
enn,0.0
lez,1.0
lvk,1.0
cub,0.0
njo,0.0
myh,0.0
kky,0.0
kan,0.0
ktz,1.0
ess,0.0
kbd,0.0
eng,0.0
ard,1.0
ewo,1.0
kha,1.0
pan,0.0
sja,0.0
ram,0.0
mal,0.0
knc,0.0
kut,1.0
wbv,1.0
mva,0.0
hbb,1.0
gug,1.0
hix,1.0
teu,0.0
nig,0.0
crk,1.0
kas,0.0
bsn,1.0
com,1.0
ain,0.0
ape,0.0
mar,0.0
nav,4.0
ses,3.0
mlm,0.0
urd,0.0
kpw,0.0
skd,0.0
trp,0.0
gyd,0.0
twf,1.0
kat,1.0
wmb,0.0
cku,4.0
mam,3.0
kab,1.0
qvh,1.0
xed,1.0
rma,0.0
arh,1.0
rap,1.0
abk,0.0
tzj,1.0
csz,0.0
dhv,0.0
wgy,0.0
ddj,0.0
cle,1.0
pes,0.0
hae,0.0
tml,2.0
drl,2.0
nut,0.0
laj,1.0
yee,1.0
bkc,0.0
lif,0.0
bee,0.0
pag,0.0
pwn,0.0
wic,0.0
mbc,0.0
yad,0.0
ksq,0.0
xsu,1.0
gni,0.0
cgg,1.0
bsk,0.0
ket,1.0
kmc,1.0
mah,2.0
ngi,0.0
mrc,4.0
fut,1.0
dar,1.0
cmn,0.0
mph,1.0
kos,1.0
tuv,0.0
gae,0.0
ker,3.0
yue,0.0
ppl,0.0
kun,0.0
nuy,1.0
mkf,0.0
bde,0.0
yor,0.0
mov,0.0
irk,2.0
dbl,0.0
swh,0.0
nez,0.0
tus,0.0
pqm,1.0
