ISO,Presence_of_Uncommon_Consonants
kmo,0.0
bsk,0.0
kyh,0.0
new,0.0
beq,0.0
bao,0.0
bca,0.0
shp,0.0
pym,0.0
kio,0.0
yad,0.0
vam,0.0
laj,0.0
amu,0.0
lbe,3.0
thv,0.0
pad,0.0
myp,0.0
khb,0.0
ram,0.0
lua,0.0
yle,1.0
kbk,0.0
ewe,1.0
tsu,0.0
ote,2.0
jqr,0.0
guh,0.0
fwa,0.0
ape,0.0
pbh,0.0
mor,2.0
akz,0.0
ykg,0.0
gbr,1.0
roo,2.0
cja,0.0
btx,0.0
tli,0.0
bod,0.0
mzp,0.0
pjt,0.0
ntu,0.0
nmn,4.0
kjg,0.0
ncj,0.0
gum,0.0
cjv,0.0
mfc,1.0
yii,0.0
kfz,0.0
bib,0.0
kal,0.0
ctd,0.0
kpz,0.0
ayz,0.0
gaj,0.0
jic,0.0
bmi,0.0
wim,0.0
bev,1.0
tcy,0.0
huv,2.0
nrb,0.0
eya,0.0
dif,0.0
tiw,0.0
mdx,0.0
tem,1.0
bom,1.0
dru,2.0
dal,6.0
csz,0.0
kut,0.0
kup,0.0
hak,0.0
kca,0.0
gil,0.0
twf,0.0
bgr,0.0
fmp,0.0
vma,0.0
bej,0.0
ker,0.0
lut,0.0
cjh,0.0
imn,0.0
aqc,3.0
hix,0.0
yaq,0.0
irh,0.0
grj,1.0
ava,3.0
awn,0.0
inh,3.0
wmb,0.0
sef,1.0
kgo,0.0
mqs,0.0
con,0.0
yey,4.0
evn,0.0
brh,0.0
gyd,0.0
zul,4.0
nyp,0.0
agq,1.0
kat,0.0
noo,3.0
iai,2.0
wic,0.0
cgg,0.0
sel,0.0
nhu,0.0
knc,0.0
kjd,0.0
nie,0.0
gug,0.0
abk,3.0
tba,0.0
chl,0.0
amp,0.0
khq,0.0
yer,1.0
pma,0.0
sza,0.0
axb,0.0
yap,2.0
kpv,0.0
bam,0.0
pww,0.0
ano,0.0
woi,0.0
yrb,0.0
mpb,0.0
kbr,0.0
sue,0.0
ess,0.0
tml,0.0
irn,0.0
aer,0.0
bcs,1.0
faa,0.0
mhj,0.0
luo,0.0
sad,4.0
kun,0.0
sqt,3.0
eky,0.0
yrk,5.0
yuc,0.0
pbb,0.0
yva,0.0
nuy,0.0
mjg,0.0
haw,0.0
kas,0.0
duj,0.0
njo,0.0
huz,3.0
hnh,4.0
trg,0.0
ewo,1.0
grt,0.0
adz,0.0
nio,2.0
swi,0.0
amo,1.0
arl,0.0
rgr,0.0
bbl,3.0
eve,0.0
kek,0.0
cdo,0.0
pav,0.0
aka,0.0
yue,0.0
gqu,0.0
mwf,0.0
huu,2.0
ame,0.0
cku,0.0
cle,0.0
ses,0.0
ksw,2.0
spp,0.0
jru,0.0
apn,0.0
njz,0.0
dbl,0.0
zun,0.0
kln,0.0
apq,0.0
mrz,0.0
tbi,2.0
kan,0.0
ito,0.0
com,0.0
yee,0.0
mrc,2.0
pwa,0.0
tqw,0.0
sma,0.0
svs,0.0
ynn,0.0
wnw,0.0
xpe,1.0
pqm,0.0
mbl,0.0
lbj,0.0
prk,0.0
chp,2.0
skd,0.0
efi,1.0
arh,0.0
car,0.0
dta,0.0
see,0.0
crk,0.0
pay,0.0
ayc,0.0
tgc,0.0
ngi,0.0
shs,0.0
cbi,0.0
agm,0.0
tsg,0.0
yul,1.0
yua,0.0
shi,3.0
wrr,0.0
dnj,1.0
hop,0.0
pac,0.0
nab,0.0
zmr,0.0
etu,1.0
kff,0.0
daa,0.0
kbv,0.0
lbc,2.0
iwm,0.0
kpy,0.0
xtc,0.0
gaa,1.0
yur,0.0
mas,0.0
kru,0.0
kbh,0.0
teq,0.0
wnc,0.0
rut,3.0
dip,0.0
bcj,0.0
chv,0.0
aro,0.0
bzd,0.0
wiy,0.0
kbd,5.0
wnu,0.0
nez,0.0
tma,3.0
gvn,0.0
teh,0.0
dts,2.0
cyb,0.0
alh,0.0
byx,0.0
nav,0.0
bmr,0.0
fun,0.0
tun,0.0
nxq,0.0
mig,2.0
daj,0.0
xsu,0.0
kpm,0.0
djk,0.0
itl,0.0
qui,0.0
srb,0.0
lhu,0.0
plt,0.0
rap,0.0
ckt,0.0
lgg,1.0
tsi,0.0
tiy,0.0
uzn,0.0
nas,0.0
squ,3.0
mzh,0.0
alc,0.0
ycn,0.0
jao,0.0
hmt,0.0
ain,0.0
aal,1.0
slc,0.0
ttr,0.0
kac,0.0
tna,2.0
mto,0.0
lez,0.0
zne,1.0
lme,0.0
