ISO,Presence_of_Uncommon_Consonants
dhv,2.0
kna,0.0
aht,0.0
mzm,1.0
cic,0.0
mrt,0.0
kjq,2.0
chq,2.0
ygr,0.0
sag,1.0
kwi,0.0
wyb,2.0
chr,0.0
nyi,0.0
pon,0.0
oru,0.0
naq,4.0
top,0.0
bor,0.0
guc,0.0
anc,0.0
ood,0.0
mwp,0.0
dyo,0.0
one,0.0
myh,0.0
niy,1.0
tpm,1.0
pes,0.0
kwk,0.0
kss,1.0
ket,0.0
jeb,0.0
swh,2.0
mtg,0.0
mpc,0.0
ncb,0.0
mps,0.0
nir,0.0
sed,0.0
mnc,0.0
cbv,0.0
rro,0.0
mhz,0.0
bak,2.0
tel,0.0
nut,0.0
khr,0.0
iso,1.0
lui,0.0
guq,0.0
cbn,0.0
acv,0.0
gld,0.0
wrk,0.0
dow,1.0
tsz,0.0
mni,0.0
hus,2.0
oca,0.0
gbp,1.0
srq,0.0
xaw,0.0
nhg,0.0
rma,0.0
amf,0.0
cmn,0.0
wap,0.0
ald,1.0
niv,0.0
gwc,0.0
irk,3.0
ona,0.0
lkt,0.0
fia,0.0
khl,0.0
quh,2.0
klu,1.0
unr,0.0
ign,0.0
kpk,1.0
gni,0.0
coc,0.0
tcf,0.0
kwd,0.0
hae,0.0
xom,0.0
khm,0.0
pcc,2.0
blc,0.0
wol,0.0
kir,0.0
wuu,0.0
ibo,1.0
sin,0.0
cad,0.0
lef,1.0
bbc,0.0
lue,0.0
yss,0.0
kpw,0.0
shg,4.0
ekg,0.0
gmo,0.0
auc,0.0
snv,0.0
slz,0.0
ijc,1.0
mde,0.0
mph,0.0
apu,0.0
brb,3.0
cub,2.0
dag,1.0
yor,1.0
kmc,0.0
dry,0.0
pom,0.0
wti,2.0
jeh,0.0
pst,0.0
bbo,1.0
shb,0.0
kfe,0.0
maq,0.0
hup,0.0
ndv,0.0
lep,0.0
mur,2.0
som,3.0
bdl,0.0
dgz,0.0
tca,0.0
dni,0.0
tlo,0.0
amc,2.0
ikx,0.0
ogb,1.0
ung,0.0
cou,0.0
cha,0.0
wao,0.0
pwn,0.0
urb,0.0
ctp,0.0
spl,0.0
wrs,0.0
zoc,0.0
