ISO,Coding_of_Evidentiality
yor,0.0
gcd,0.0
inh,3.0
mky,0.0
aqc,1.0
knc,0.0
pwu,1.0
ito,2.0
ktw,1.0
dif,4.0
rma,0.0
evn,3.0
mig,0.0
kay,2.0
apm,1.0
cab,1.0
hur,2.0
ewe,0.0
wau,1.0
kls,1.0
kat,4.0
chr,1.0
kfz,0.0
iqu,2.0
one,2.0
gyd,1.0
khl,0.0
tpy,2.0
pwn,1.0
shp,1.0
arp,1.0
itl,0.0
tzo,2.0
btx,0.0
zmc,0.0
alc,0.0
ari,1.0
til,0.0
ona,0.0
huz,3.0
aoc,0.0
mde,0.0
zul,0.0
xsu,4.0
woe,0.0
abk,1.0
pon,0.0
wnu,0.0
umu,0.0
crd,2.0
chp,1.0
mbc,0.0
chl,1.0
fla,0.0
cku,1.0
bej,2.0
ncj,2.0
kun,0.0
coe,1.0
dyo,0.0
heb,0.0
lhu,2.0
kgo,0.0
kyh,2.0
kfa,1.0
csz,2.0
mhq,1.0
cjh,1.0
ctm,2.0
xmf,4.0
hup,1.0
cgg,0.0
yuf,1.0
pam,0.0
mtg,0.0
laj,0.0
zun,0.0
kha,0.0
wrr,0.0
yaq,1.0
tun,1.0
ote,2.0
brg,2.0
grt,1.0
yux,1.0
rap,0.0
gil,0.0
qui,1.0
srs,1.0
tac,1.0
moe,1.0
ppl,0.0
mph,0.0
cle,0.0
noo,1.0
spp,0.0
wgy,0.0
bll,2.0
kan,1.0
yaa,1.0
com,1.0
yee,0.0
kgs,0.0
miy,0.0
auc,1.0
duj,0.0
cao,2.0
klj,0.0
yrk,1.0
wba,1.0
ano,1.0
squ,2.0
eky,1.0
gub,2.0
arh,4.0
hop,2.0
tml,1.0
bsk,0.0
pav,0.0
pqm,5.0
ayc,1.0
grj,0.0
xsr,1.0
dih,0.0
bgr,0.0
ker,0.0
apy,2.0
yii,0.0
ths,0.0
mrz,2.0
wac,1.0
akz,1.0
nsz,4.0
lbe,0.0
ame,1.0
tuo,3.0
cod,1.0
mur,0.0
amp,0.0
khk,4.0
srq,1.0
pot,2.0
yur,0.0
wnw,1.0
acv,1.0
kpm,0.0
pma,0.0
bdk,0.0
mxt,2.0
way,0.0
yum,1.0
nmu,1.0
for,0.0
lzz,3.0
dbl,0.0
mlu,0.0
aey,0.0
brh,0.0
shs,1.0
cho,1.0
pit,0.0
ung,0.0
plu,0.0
wiy,0.0
pei,0.0
niy,0.0
kij,0.0
slc,0.0
ckt,0.0
nuy,0.0
lnj,0.0
nav,2.0
gae,0.0
tue,3.0
ibo,0.0
sah,3.0
ncl,2.0
mni,1.0
ser,1.0
ket,0.0
chh,0.0
djk,0.0
mam,1.0
ape,0.0
tsz,1.0
plt,0.0
lkt,2.0
naq,0.0
hmt,2.0
car,3.0
set,0.0
alh,0.0
kjg,0.0
cco,1.0
kpw,0.0
snn,1.0
bsn,3.0
tus,0.0
tnc,1.0
xaw,2.0
skd,1.0
mpc,5.0
ses,0.0
hid,1.0
sis,0.0
tli,0.0
tiw,0.0
tix,0.0
tsi,1.0
mcb,0.0
lez,1.0
eng,0.0
gag,3.0
waw,2.0
sac,1.0
dhv,0.0
hto,0.0
est,1.0
nyt,0.0
pao,1.0
gdo,3.0
tya,0.0
kjq,1.0
kpv,4.0
wic,1.0
ram,0.0
vma,1.0
tna,2.0
kic,2.0
gug,2.0
faa,1.0
tae,3.0
ahk,1.0
tqw,1.0
cbc,3.0
yue,2.0
sag,0.0
aro,2.0
zmr,0.0
pes,3.0
kio,1.0
swh,0.0
pom,1.0
myp,1.0
agr,0.0
paw,1.0
blc,1.0
pib,2.0
dny,1.0
ese,2.0
bbl,4.0
qvh,1.0
boa,1.0
amc,1.0
bef,0.0
nhx,1.0
too,0.0
tkm,1.0
tzj,2.0
kut,0.0
urf,0.0
pbb,1.0
mie,2.0
nhg,2.0
qvi,1.0
cmn,0.0
apu,1.0
irk,0.0
ntp,1.0
lvk,0.0
spl,0.0
unr,0.0
mzh,0.0
dus,2.0
xal,1.0
hae,0.0
khm,0.0
crn,2.0
ekg,3.0
miz,0.0
myh,1.0
afr,2.0
pab,2.0
moh,2.0
gni,5.0
niv,1.0
kng,0.0
afb,1.0
mks,2.0
lif,2.0
par,2.0
imn,0.0
kwi,0.0
bla,0.0
oym,2.0
cha,2.0
pej,1.0
ood,1.0
wbv,0.0
kky,0.0
oma,1.0
ign,0.0
itz,2.0
yuc,0.0
pjt,2.0
wmb,0.0
dgz,0.0
dni,2.0
slr,3.0
ctp,0.0
dgl,0.0
dtd,1.0
ayz,0.0
crw,0.0
ktz,0.0
urb,2.0
rut,1.0
tow,2.0
zoc,1.0
