ISO,Lateral_Consonants
kmo,1.0
bsk,0.0
kyh,1.0
new,0.0
beq,0.0
bao,1.0
bca,0.0
shp,1.0
pym,0.0
kio,4.0
yad,1.0
vam,0.0
laj,0.0
amu,0.0
lbe,0.0
thv,0.0
pad,1.0
myp,1.0
khb,0.0
ram,0.0
lua,0.0
yle,0.0
kbk,0.0
ewe,0.0
tsu,1.0
ote,0.0
jqr,0.0
guh,0.0
fwa,0.0
ape,0.0
pbh,1.0
mor,0.0
akz,2.0
ykg,0.0
gbr,0.0
roo,1.0
cja,0.0
btx,0.0
tli,4.0
bod,0.0
mzp,2.0
pjt,0.0
ntu,0.0
nmn,0.0
kjg,0.0
ncj,0.0
gum,0.0
cjv,1.0
mfc,0.0
yii,0.0
kfz,0.0
bib,0.0
kal,2.0
ctd,0.0
kpz,0.0
ayz,1.0
gaj,1.0
jic,0.0
bmi,0.0
wim,0.0
bev,0.0
tcy,0.0
huv,0.0
nrb,0.0
eya,2.0
dif,0.0
tiw,0.0
mdx,0.0
tem,0.0
bom,0.0
dru,0.0
dal,2.0
csz,2.0
kut,4.0
kup,0.0
hak,0.0
kca,0.0
gil,1.0
twf,2.0
bgr,0.0
fmp,1.0
vma,0.0
bej,0.0
ker,0.0
lut,2.0
cjh,0.0
imn,0.0
aqc,2.0
hix,3.0
yaq,0.0
irh,1.0
grj,0.0
ava,2.0
awn,0.0
inh,0.0
wmb,0.0
sef,0.0
kgo,0.0
mqs,0.0
con,1.0
yey,3.0
evn,0.0
brh,0.0
gyd,0.0
zul,2.0
nyp,0.0
agq,0.0
kat,3.0
noo,4.0
iai,3.0
wic,1.0
cgg,1.0
sel,0.0
nhu,0.0
knc,0.0
kjd,1.0
nie,0.0
gug,0.0
abk,0.0
tba,3.0
chl,0.0
amp,1.0
khq,0.0
yer,0.0
pma,0.0
sza,0.0
axb,0.0
yap,0.0
kpv,0.0
bam,0.0
pww,0.0
ano,1.0
woi,0.0
yrb,1.0
