ISO,Syncretism_in_Verbal_Person/Number_Marking
nav,0.0
kij,0.0
urb,0.0
laj,1.0
zul,1.0
yux,1.0
yaq,2.0
plt,0.0
arz,1.0
irk,1.0
squ,0.0
huz,0.0
rma,2.0
ain,0.0
lue,1.0
lep,2.0
kun,1.0
tml,0.0
aro,2.0
aey,1.0
unr,0.0
tun,0.0
gil,2.0
khm,2.0
yur,0.0
tiw,1.0
eky,2.0
ibo,2.0
bsn,0.0
kio,1.0
rap,2.0
wrr,0.0
yor,2.0
kjq,0.0
hmt,1.0
inh,0.0
khk,2.0
xsu,2.0
pjt,2.0
spp,2.0
gug,0.0
tpy,2.0
pqm,0.0
amp,0.0
mpc,0.0
lez,2.0
tsi,0.0
vma,2.0
ket,1.0
bgr,0.0
btx,0.0
kan,1.0
crk,0.0
bej,1.0
eng,1.0
skd,0.0
brh,0.0
one,0.0
mni,2.0
grt,2.0
naq,1.0
myp,2.0
csz,0.0
hix,1.0
bsk,1.0
dgl,1.0
kha,2.0
ewe,1.0
pad,0.0
mrc,0.0
yrk,1.0
shp,2.0
cgg,1.0
ona,2.0
sue,1.0
ram,1.0
cyb,1.0
cku,0.0
pwn,0.0
wyb,2.0
ekg,1.0
ayc,1.0
mur,1.0
wic,0.0
hto,0.0
kyh,1.0
dyo,1.0
qvi,0.0
evn,0.0
ung,0.0
kat,0.0
esu,0.0
apu,0.0
lkt,0.0
tzm,0.0
kfz,2.0
lvk,1.0
gyd,2.0
abk,0.0
kut,0.0
wba,2.0
ker,2.0
chl,0.0
ses,2.0
yee,1.0
set,1.0
pom,2.0
dni,1.0
pes,0.0
mrz,1.0
cle,1.0
hae,1.0
imn,2.0
bam,2.0
heb,1.0
ktz,2.0
lbj,2.0
fvr,0.0
mtg,0.0
sag,0.0
gni,0.0
nhg,0.0
niv,1.0
alc,2.0
bmi,1.0
kwi,1.0
yii,2.0
cha,0.0
yad,2.0
bzd,2.0
niy,1.0
pav,2.0
axb,1.0
cmn,2.0
mzh,0.0
yuc,0.0
zmr,0.0
wmb,0.0
dhv,2.0
arh,1.0
wnu,1.0
djk,2.0
sja,2.0
nez,0.0
coc,0.0
ayz,0.0
ape,0.0
com,2.0
swh,1.0
mky,0.0
dgz,1.0
