ISO,Position_of_Interrogative_Phrases_in_Content_Questions
anu,0.0
cao,1.0
tig,0.0
hop,0.0
rma,0.0
kld,1.0
pao,1.0
lub,0.0
erg,0.0
pqa,0.0
thd,0.0
yns,0.0
ksd,2.0
mam,1.0
kca,0.0
tkw,0.0
bex,0.0
kpj,0.0
adj,0.0
nez,1.0
duc,0.0
kdj,0.0
cmn,0.0
tpq,0.0
mnr,1.0
yii,0.0
afb,0.0
lvk,0.0
nbc,0.0
tob,1.0
ign,1.0
ese,1.0
nhg,1.0
cbi,1.0
eno,1.0
srq,1.0
mwf,0.0
hae,0.0
chq,1.0
tpj,1.0
kto,0.0
apc,1.0
qui,1.0
ryu,0.0
num,0.0
srs,1.0
kjj,0.0
tir,1.0
sad,0.0
nxg,0.0
drd,0.0
gvo,1.0
tel,0.0
ppo,0.0
mie,1.0
huc,0.0
mjw,0.0
one,1.0
eme,1.0
skf,1.0
mcr,0.0
cho,0.0
cha,2.0
gym,0.0
djm,0.0
had,0.0
pip,0.0
ava,0.0
sba,0.0
bnc,1.0
wbl,0.0
bds,0.0
nga,0.0
mls,0.0
tro,0.0
set,0.0
kue,0.0
sza,1.0
jup,1.0
dgz,0.0
kaa,0.0
brx,0.0
kky,0.0
kms,0.0
sue,0.0
zpq,0.0
ayz,0.0
mgp,0.0
tpy,1.0
ung,0.0
tcf,1.0
lmn,0.0
csz,1.0
