ISO,Position_of_Interrogative_Phrases_in_Content_Questions
swv,0.0
mbc,1.0
ewe,0.0
nuy,1.0
chx,0.0
lin,0.0
mgr,0.0
meu,0.0
nya,0.0
cle,1.0
dnj,0.0
djr,0.0
css,1.0
lam,0.0
kqi,0.0
kfk,0.0
tvt,0.0
ncl,1.0
yad,1.0
ibd,1.0
hmt,0.0
uwa,0.0
yur,0.0
fvr,0.0
pad,1.0
sed,0.0
aia,0.0
acn,0.0
kla,1.0
shh,0.0
oym,1.0
tsj,0.0
unr,0.0
kan,0.0
duo,1.0
amh,0.0
ctp,1.0
emi,0.0
mpb,2.0
wsk,0.0
lis,0.0
nxq,0.0
dyo,0.0
gnr,0.0
miq,0.0
mor,0.0
gde,1.0
ckt,0.0
khl,0.0
ann,0.0
tcb,0.0
dis,0.0
khm,0.0
nrz,0.0
kxa,0.0
azb,0.0
ige,0.0
khe,0.0
okv,0.0
tbl,1.0
nas,0.0
baa,1.0
amk,0.0
kna,0.0
abk,0.0
mcn,0.0
brh,0.0
hto,1.0
mfi,0.0
huu,0.0
woe,0.0
aey,0.0
des,1.0
aph,0.0
dju,0.0
npa,0.0
tcy,0.0
cro,0.0
qum,1.0
mos,0.0
kjd,0.0
zmc,1.0
ute,0.0
diq,0.0
mxx,0.0
djk,1.0
mrt,0.0
nbi,0.0
yij,1.0
khr,0.0
kqq,0.0
nst,0.0
khq,2.0
mez,1.0
tvl,2.0
ahk,0.0
bmi,0.0
shk,0.0
wbv,0.0
lhm,0.0
nid,0.0
pam,1.0
tvo,0.0
snf,0.0
bee,0.0
ket,0.0
ktd,0.0
pwa,0.0
bae,1.0
ptp,0.0
pss,0.0
avt,0.0
tfr,0.0
csy,0.0
sei,0.0
ote,1.0
nsn,1.0
sur,0.0
eip,0.0
bla,1.0
ogo,0.0
dif,1.0
kij,1.0
ddj,1.0
gil,0.0
gyd,0.0
kfz,1.0
skv,0.0
pit,1.0
mhi,0.0
thp,1.0
lhu,0.0
ses,1.0
mkf,2.0
iai,1.0
naq,1.0
hmr,0.0
mnb,0.0
pym,0.0
ngo,0.0
plg,1.0
pom,0.0
ywt,0.0
zoh,1.0
ood,0.0
mbj,0.0
spp,2.0
urd,0.0
bag,0.0
tzm,1.0
apw,0.0
njz,0.0
wol,1.0
iba,2.0
itl,0.0
cnh,0.0
kmo,0.0
shb,1.0
mtg,0.0
chh,1.0
kin,0.0
kqz,1.0
zml,0.0
bdr,2.0
kut,1.0
apn,1.0
ayc,0.0
sif,0.0
mph,1.0
guc,1.0
trw,0.0
lkr,0.0
lln,0.0
ude,0.0
opt,1.0
kgj,0.0
kgo,0.0
nsm,0.0
raw,0.0
ykg,0.0
qvi,1.0
nmd,0.0
rao,0.0
bhw,1.0
jbu,0.0
ssd,0.0
kvn,0.0
yaq,0.0
apr,0.0
nce,0.0
mky,0.0
xsu,0.0
urf,0.0
wim,0.0
fub,1.0
mhz,0.0
hch,0.0
bor,1.0
izz,0.0
wwa,0.0
baw,0.0
mil,1.0
abt,0.0
dmk,0.0
mal,0.0
too,1.0
slp,0.0
tgc,0.0
dag,1.0
taq,1.0
aom,0.0
kha,0.0
lbu,0.0
cja,0.0
grt,0.0
zmr,1.0
niu,0.0
urb,1.0
mnx,0.0
com,0.0
bwe,0.0
coe,1.0
zgb,0.0
agt,1.0
ifb,1.0
hak,0.0
khk,0.0
bdm,0.0
mig,1.0
mni,0.0
ijc,0.0
wib,0.0
ssn,0.0
lww,0.0
aqc,0.0
xbi,0.0
zaw,1.0
luo,0.0
zay,1.0
mec,1.0
wiy,1.0
rab,0.0
aoj,0.0
kal,0.0
kat,0.0
men,1.0
hup,0.0
gbj,0.0
duu,0.0
ksi,0.0
brb,0.0
iwm,0.0
mjd,1.0
tae,1.0
wms,0.0
tvu,0.0
arz,0.0
ewo,0.0
yor,1.0
sun,0.0
erk,0.0
cla,0.0
abb,0.0
rwo,0.0
aty,0.0
isi,0.0
crw,1.0
bbc,0.0
nav,0.0
ulk,0.0
ljp,0.0
zav,1.0
tay,0.0
pon,2.0
clo,1.0
xsi,0.0
par,0.0
irk,0.0
pko,0.0
kxv,0.0
chr,1.0
sja,1.0
tdn,1.0
ttr,0.0
nhu,0.0
cop,0.0
dhv,0.0
dyy,0.0
myh,1.0
ker,0.0
kzj,1.0
vai,0.0
bom,0.0
eng,1.0
owi,0.0
mgd,0.0
snk,0.0
aca,1.0
qvh,0.0
ori,0.0
ibo,0.0
gcd,1.0
ths,0.0
tus,1.0
osa,0.0
jig,1.0
gvs,0.0
sob,0.0
tzj,1.0
fuu,0.0
mrg,0.0
wed,0.0
klq,0.0
enn,0.0
bfa,0.0
kot,0.0
anc,0.0
bca,0.0
ogu,0.0
kwi,0.0
cco,1.0
led,0.0
tnm,0.0
sis,1.0
mzm,0.0
suv,0.0
wme,0.0
dgl,0.0
kio,1.0
tmu,0.0
gdm,0.0
wnu,0.0
bim,0.0
rwa,0.0
hna,0.0
rif,1.0
nob,1.0
gdq,1.0
klr,0.0
sdg,0.0
pbs,1.0
nmu,1.0
lbj,0.0
zmu,1.0
yuj,0.0
dow,0.0
arr,1.0
mzh,1.0
moc,1.0
tso,0.0
djj,0.0
irh,0.0
hnh,0.0
kmh,0.0
chv,0.0
bll,0.0
kas,0.0
chf,1.0
mva,0.0
nia,1.0
laj,0.0
pst,0.0
snp,1.0
sna,0.0
bfw,0.0
kde,0.0
plt,1.0
ctd,0.0
iqu,1.0
shi,0.0
trc,1.0
hix,1.0
ank,0.0
mkj,1.0
myp,0.0
pau,0.0
apy,0.0
fut,0.0
xsr,0.0
guj,0.0
ura,1.0
ksw,0.0
kpx,0.0
kln,0.0
lep,0.0
cup,0.0
prx,0.0
ndv,0.0
ncj,1.0
los,0.0
niy,2.0
kgy,0.0
kmn,0.0
sat,0.0
mpt,0.0
sag,0.0
kah,0.0
vam,0.0
wrk,1.0
heb,1.0
zun,1.0
sbe,0.0
zne,0.0
apt,0.0
nnm,0.0
sip,0.0
wgy,0.0
bem,0.0
tnl,0.0
mur,0.0
nam,0.0
kao,0.0
nnk,0.0
chl,0.0
aka,0.0
kac,0.0
loz,0.0
scl,0.0
adn,0.0
ocu,1.0
dsh,0.0
ghs,0.0
jya,0.0
evn,1.0
foi,0.0
ram,1.0
mpm,1.0
tya,0.0
njh,0.0
gbp,0.0
zul,0.0
niv,0.0
sui,0.0
wrb,1.0
ong,0.0
sll,0.0
log,0.0
saj,0.0
tiw,2.0
asa,0.0
krs,0.0
snc,0.0
dip,0.0
amp,0.0
anh,0.0
ncg,1.0
kwo,0.0
ure,0.0
tbd,0.0
efi,0.0
nut,0.0
prn,0.0
nzm,0.0
bho,0.0
myu,1.0
awi,0.0
ksf,0.0
mar,0.0
mmn,1.0
axb,1.0
bia,1.0
wlg,1.0
sov,0.0
wrr,0.0
kbd,0.0
git,1.0
pma,0.0
mhq,1.0
mug,0.0
yue,0.0
lue,0.0
ace,2.0
ndo,0.0
kwa,1.0
hus,1.0
bri,0.0
pwg,0.0
pes,0.0
xmm,1.0
pav,1.0
cpa,1.0
tna,1.0
adz,0.0
njb,0.0
spu,0.0
mch,1.0
bbl,0.0
lao,0.0
cod,1.0
pan,0.0
toi,0.0
frs,1.0
nyn,0.0
yuf,0.0
lgg,0.0
mde,0.0
mrh,0.0
wdj,0.0
bmr,1.0
puw,0.0
gkn,0.0
svs,0.0
ngi,0.0
eky,0.0
rit,1.0
haw,0.0
kuy,0.0
mns,0.0
new,0.0
rtm,0.0
mlq,0.0
tsi,0.0
tnc,1.0
lif,0.0
cak,1.0
lui,1.0
tex,0.0
aun,0.0
yuc,0.0
suq,0.0
cme,0.0
mqy,0.0
kbc,1.0
rgr,2.0
bcl,0.0
abz,0.0
heh,0.0
buf,0.0
mdd,0.0
xsm,0.0
mev,0.0
gae,1.0
tll,0.0
mzp,1.0
xho,0.0
bgr,0.0
tem,1.0
xac,0.0
mio,1.0
zai,1.0
dta,0.0
ndt,0.0
cas,1.0
tac,0.0
txu,1.0
kmc,0.0
xaw,1.0
liy,0.0
tbi,0.0
nmf,0.0
njo,0.0
kkh,0.0
guh,1.0
dud,2.0
aij,0.0
mfc,0.0
bjy,1.0
kkl,0.0
kyc,0.0
hay,0.0
ifm,0.0
tap,0.0
xed,1.0
kfq,2.0
btx,1.0
teu,1.0
huv,1.0
pag,1.0
lkt,0.0
ntj,0.0
cir,0.0
xwk,1.0
nxn,1.0
clk,0.0
cgg,0.0
tar,1.0
tah,0.0
urt,0.0
mpe,0.0
sku,0.0
kfy,0.0
kgr,0.0
xal,0.0
van,0.0
mau,1.0
mqs,0.0
lez,0.0
amn,0.0
knm,1.0
nzk,0.0
gub,1.0
bej,0.0
kkk,0.0
lun,0.0
mym,0.0
apu,1.0
vma,1.0
ygr,0.0
dbl,0.0
gug,0.0
bsp,1.0
gbr,0.0
sbc,0.0
plh,1.0
yrb,0.0
teo,2.0
tkl,0.0
sel,0.0
tri,1.0
ach,0.0
esu,1.0
grj,1.0
hoa,0.0
jar,0.0
som,0.0
amy,1.0
dus,0.0
wba,1.0
swh,0.0
mas,0.0
ain,0.0
