ISO,Indefinite_Pronouns
dif,0.0
vma,0.0
pst,0.0
nhg,0.0
sis,0.0
kyc,1.0
gag,0.0
abk,3.0
jqr,0.0
com,0.0
dow,1.0
duj,0.0
wyb,0.0
kgr,1.0
kaz,2.0
bsk,0.0
pma,1.0
nid,0.0
bam,1.0
wrz,0.0
som,1.0
drl,0.0
yaq,0.0
bxm,0.0
kjh,0.0
mrj,0.0
pau,1.0
mni,0.0
kir,0.0
guc,0.0
ddj,0.0
niv,0.0
laj,1.0
brh,3.0
ogo,1.0
plt,1.0
gbu,0.0
kyh,0.0
mdf,0.0
peh,0.0
kgs,0.0
sza,2.0
yor,1.0
chv,0.0
nam,0.0
gbp,1.0
mhr,0.0
tun,0.0
irk,1.0
esu,0.0
fon,1.0
kpw,1.0
sme,0.0
niy,1.0
upv,0.0
zun,0.0
too,0.0
hus,0.0
mns,3.0
grt,0.0
mug,1.0
mar,0.0
kmh,1.0
krk,3.0
nhr,2.0
zmu,0.0
yia,0.0
pao,0.0
urb,2.0
aey,1.0
csz,0.0
jig,0.0
erg,1.0
ntp,2.0
mbc,0.0
ace,0.0
tkm,0.0
ktg,3.0
yan,1.0
wnu,1.0
bav,1.0
myp,2.0
lil,0.0
diq,3.0
nto,1.0
sel,0.0
huq,0.0
evn,0.0
nuy,0.0
kdr,0.0
ncg,0.0
udm,0.0
kjq,0.0
ctm,0.0
kjg,3.0
yap,1.0
fud,1.0
bdm,1.0
ain,0.0
swh,1.0
ram,0.0
mrc,0.0
kky,0.0
kfz,1.0
dbl,0.0
men,1.0
mlt,1.0
yad,3.0
kdd,2.0
yij,0.0
bak,0.0
lvk,1.0
cjs,0.0
hup,0.0
krc,0.0
eng,1.0
ywr,3.0
kas,3.0
mah,1.0
trv,1.0
tsz,0.0
kwi,0.0
mky,0.0
aly,0.0
pnw,0.0
kuu,0.0
hae,1.0
oro,1.0
kmg,1.0
lkt,0.0
pit,0.0
lez,0.0
lbe,0.0
kut,0.0
asm,0.0
nia,2.0
nio,0.0
kfq,0.0
dag,1.0
unr,0.0
lln,1.0
miq,1.0
alt,0.0
crh,2.0
nav,0.0
lnj,0.0
squ,0.0
wic,0.0
uwa,0.0
niu,1.0
gni,0.0
tvo,1.0
gup,2.0
yux,0.0
dyy,0.0
ame,0.0
skd,0.0
qvi,0.0
gol,1.0
ket,0.0
wmb,0.0
akz,0.0
gge,0.0
kpy,0.0
cku,0.0
oss,0.0
bkc,1.0
bia,0.0
kat,0.0
lgg,1.0
ewe,1.0
est,0.0
cmn,2.0
djd,0.0
aer,1.0
kij,2.0
vay,0.0
dgl,1.0
chx,0.0
gyd,0.0
mdy,1.0
pes,1.0
omb,1.0
mfi,2.0
kfa,0.0
kca,0.0
pqm,0.0
bgr,0.0
ude,0.0
tpy,1.0
yue,3.0
arz,1.0
kal,0.0
khm,2.0
coz,0.0
pbb,0.0
ayz,1.0
nya,1.0
cgg,1.0
krl,0.0
gvn,1.0
mic,0.0
shh,0.0
sjd,0.0
yrk,0.0
kha,0.0
pan,3.0
huz,0.0
nun,1.0
sat,0.0
itz,0.0
nbl,1.0
heb,0.0
fun,0.0
boz,2.0
bug,0.0
kld,0.0
yii,0.0
mfr,0.0
wba,2.0
aro,0.0
lmc,0.0
gug,2.0
shp,0.0
mec,0.0
cas,2.0
puo,0.0
wim,0.0
moc,4.0
tnk,1.0
qvh,0.0
tvl,1.0
kpv,0.0
ood,3.0
myh,3.0
stp,0.0
sah,0.0
ibb,1.0
tiw,0.0
kaa,3.0
chl,0.0
mrt,1.0
tqw,0.0
