ISO,Politeness_Distinctions_in_Pronouns
bod,1.0
sue,1.0
yur,0.0
grj,0.0
mna,0.0
laj,0.0
hae,0.0
kan,2.0
vma,0.0
ses,0.0
qvi,1.0
pip,0.0
kng,0.0
urd,2.0
yij,0.0
kha,1.0
kos,1.0
yad,0.0
pst,1.0
crk,0.0
sdg,0.0
kut,0.0
wba,0.0
pom,0.0
gug,0.0
bbc,1.0
nuy,0.0
dus,0.0
pav,0.0
irk,0.0
bsk,0.0
lif,0.0
tbo,0.0
plt,0.0
dni,0.0
ape,0.0
had,0.0
naq,1.0
dgz,0.0
mal,2.0
ain,1.0
lez,0.0
wyb,0.0
wic,0.0
bci,0.0
tml,0.0
heb,0.0
mar,2.0
khk,1.0
fvr,0.0
kjg,0.0
eng,0.0
set,0.0
xsu,0.0
mig,1.0
mky,1.0
ckt,0.0
mpc,0.0
snc,0.0
tiw,0.0
kgo,0.0
eky,0.0
myp,0.0
kjq,0.0
niy,0.0
uur,0.0
jqr,0.0
kwi,0.0
wmb,0.0
sag,1.0
ewe,0.0
lvk,0.0
ibo,0.0
ker,0.0
haw,0.0
one,0.0
brh,0.0
dgl,0.0
rma,0.0
evn,0.0
bam,0.0
kas,1.0
kpw,0.0
rap,0.0
khm,3.0
yee,0.0
lkt,0.0
ram,0.0
pes,1.0
mni,0.0
pwn,0.0
xbr,0.0
nhg,2.0
bsn,0.0
mls,0.0
sin,2.0
com,0.0
arz,0.0
som,0.0
swh,0.0
cku,0.0
cop,0.0
kat,1.0
yaq,0.0
mrc,0.0
kfz,1.0
oss,0.0
spp,0.0
pon,2.0
cyb,0.0
aey,0.0
pan,1.0
kio,0.0
lue,1.0
tli,0.0
mzh,0.0
glv,1.0
mph,0.0
apu,0.0
zoc,0.0
yor,1.0
imn,0.0
yua,0.0
bav,0.0
amp,0.0
ncj,1.0
cmn,1.0
gni,0.0
bzd,0.0
pjt,0.0
skd,0.0
dbl,0.0
kyh,0.0
tzm,0.0
ppl,0.0
cks,1.0
cha,0.0
kij,0.0
myh,0.0
kal,0.0
kun,0.0
mur,0.0
