ISO,Optional_Double_Negation
aun,0.0
tti,6.0
moh,7.0
szp,2.0
taq,17.0
cop,20.0
mde,11.0
wiy,4.0
niv,11.0
plh,1.0
brm,8.0
isi,6.0
teq,4.0
hia,10.0
crw,1.0
pqa,0.0
kwo,19.0
tae,5.0
ape,1.0
urt,1.0
bim,1.0
mxx,1.0
klb,0.0
woi,2.0
pym,0.0
bqc,0.0
kmo,2.0
mxp,22.0
ttr,0.0
bot,0.0
zul,3.0
njo,3.0
klr,3.0
zmr,1.0
bli,8.0
one,7.0
lww,10.0
mxe,12.0
zoh,4.0
yuf,0.0
dma,0.0
tvo,0.0
kay,5.0
krs,0.0
adz,8.0
pko,9.0
byw,5.0
tsj,15.0
mhk,0.0
duc,16.0
gbp,0.0
bll,12.0
mdt,0.0
rmt,14.0
aoi,7.0
wnd,3.0
ute,2.0
spp,0.0
rmw,13.0
tna,13.0
arz,9.0
sis,4.0
ewo,18.0
npa,3.0
ghs,6.0
mzm,0.0
rou,2.0
