ISO,Position_of_Polar_Question_Particles
lbj,0.0
ncb,2.0
gde,1.0
shs,4.0
eng,0.0
tso,4.0
mlv,0.0
cla,1.0
rit,1.0
liy,1.0
pbi,1.0
ibo,0.0
gcd,2.0
snp,0.0
mcn,1.0
cup,0.0
qvh,0.0
sbe,1.0
sob,1.0
lgg,1.0
kab,0.0
yia,0.0
kgq,0.0
csy,1.0
zai,1.0
apc,1.0
nxg,0.0
chp,1.0
krc,0.0
krs,1.0
ram,2.0
hnh,1.0
pwa,0.0
tta,0.0
myb,1.0
nut,1.0
suv,1.0
xuu,1.0
nez,2.0
xsu,0.0
gdm,4.0
nmn,2.0
yur,3.0
foi,0.0
mcs,1.0
apr,0.0
mzp,0.0
nob,0.0
anc,1.0
sgw,1.0
gkn,2.0
kuy,0.0
ace,4.0
eky,1.0
bqp,1.0
ifm,1.0
duj,2.0
arr,1.0
zag,0.0
tvu,1.0
skj,0.0
mbq,1.0
sua,0.0
sat,0.0
peh,0.0
aer,3.0
ncg,1.0
tqw,0.0
gaj,0.0
dju,0.0
svs,0.0
laj,0.0
pst,0.0
tue,0.0
shb,1.0
van,1.0
kkl,0.0
plt,4.0
tex,0.0
guj,0.0
mls,0.0
mos,1.0
hix,0.0
xwg,0.0
mkj,2.0
mrc,0.0
pau,0.0
lui,3.0
kmo,3.0
adi,0.0
sot,0.0
erk,0.0
sln,0.0
baw,5.0
hmt,1.0
ker,1.0
wlg,0.0
lin,0.0
hia,1.0
yrb,1.0
mur,0.0
kzj,3.0
kmn,1.0
snc,1.0
gmm,1.0
one,3.0
nyn,0.0
vam,1.0
byw,1.0
heb,2.0
lep,1.0
cid,0.0
xaw,0.0
zoh,0.0
gah,0.0
wam,0.0
tel,0.0
tun,0.0
kfy,4.0
bim,0.0
urb,1.0
bav,1.0
adz,0.0
hna,1.0
nrz,2.0
ocu,2.0
agg,0.0
ulk,0.0
mbj,0.0
evn,1.0
ema,0.0
gyd,0.0
duo,3.0
dif,0.0
tbd,0.0
gbp,1.0
zul,1.0
apu,0.0
bem,4.0
kbp,1.0
kat,0.0
psa,1.0
drd,2.0
nia,2.0
skf,1.0
srs,0.0
rif,2.0
igb,4.0
gup,2.0
chl,0.0
wti,1.0
bot,1.0
kbd,0.0
tiw,1.0
rab,0.0
gae,0.0
cam,2.0
kpw,1.0
enn,1.0
dip,0.0
amp,0.0
mnz,0.0
uby,0.0
adj,1.0
acn,1.0
mus,0.0
mna,1.0
mnb,0.0
chb,0.0
tkl,0.0
qum,2.0
bfu,1.0
guh,0.0
nun,0.0
mrz,1.0
ngk,2.0
bod,1.0
xed,1.0
kah,1.0
kpx,3.0
niy,4.0
lln,1.0
mjd,0.0
wnu,0.0
bdr,3.0
amc,3.0
dyo,0.0
yad,3.0
par,3.0
lww,1.0
mxp,1.0
kla,4.0
tro,1.0
ajg,1.0
pes,2.0
amn,4.0
pav,0.0
djm,1.0
mor,2.0
ctm,1.0
njh,0.0
mcr,1.0
tpq,0.0
was,1.0
niu,5.0
kgs,0.0
ppl,0.0
bud,1.0
ppo,0.0
mnr,3.0
apn,2.0
dih,0.0
nmu,0.0
gvf,0.0
zav,2.0
blb,0.0
bdm,1.0
dud,1.0
ute,3.0
pon,0.0
bam,1.0
isi,1.0
mde,0.0
skv,1.0
tvo,0.0
sll,0.0
pao,3.0
tzo,2.0
car,0.0
fub,1.0
crw,1.0
szp,1.0
tfr,1.0
izz,1.0
mco,4.0
yuc,3.0
lkr,0.0
arb,2.0
bci,0.0
mcd,1.0
rgr,2.0
agd,0.0
kfk,0.0
ghs,1.0
zpq,0.0
xal,0.0
anh,0.0
trp,0.0
ksw,1.0
dim,0.0
tbl,5.0
bho,2.0
zmr,0.0
tem,1.0
mok,1.0
pwg,1.0
mez,0.0
dta,1.0
bia,0.0
irh,0.0
khe,1.0
ndi,1.0
bla,0.0
ntp,3.0
tay,1.0
mej,1.0
kdj,1.0
saj,0.0
old,1.0
clo,2.0
wal,0.0
aia,1.0
nsm,1.0
guw,1.0
coe,0.0
xcw,0.0
kqi,1.0
dsh,0.0
nst,1.0
asm,0.0
fun,0.0
bsn,0.0
teu,1.0
had,1.0
log,1.0
rap,2.0
zay,0.0
cir,5.0
kza,1.0
kue,0.0
ney,1.0
nav,4.0
plu,2.0
mwf,1.0
npa,0.0
wgy,0.0
duc,1.0
nbm,1.0
hus,0.0
chf,0.0
suq,0.0
lbf,0.0
mqs,0.0
lez,0.0
oon,2.0
kao,4.0
cbu,0.0
apw,0.0
cgg,1.0
mrh,1.0
cod,3.0
mjw,0.0
kwi,1.0
wyb,3.0
ygr,1.0
pom,0.0
naq,3.0
ega,1.0
gbr,1.0
ifb,2.0
mgd,1.0
iba,2.0
kir,1.0
bbo,1.0
pit,0.0
kot,1.0
mrg,0.0
chv,0.0
wba,0.0
ahg,0.0
mpq,0.0
som,5.0
wax,0.0
klb,0.0
ktz,3.0
swh,2.0
tya,1.0
mpc,1.0
jbu,1.0
nmf,0.0
dow,1.0
gvn,2.0
qvi,1.0
dnj,1.0
lao,1.0
tna,2.0
nnm,1.0
pqa,0.0
bdg,0.0
jig,2.0
mam,3.0
tgc,1.0
wra,2.0
lun,0.0
mbl,2.0
guk,0.0
pma,0.0
lae,0.0
kvn,0.0
cmn,1.0
div,1.0
mpk,1.0
ses,4.0
kgr,1.0
lkt,1.0
ngo,0.0
mnw,1.0
cof,0.0
led,3.0
com,3.0
tae,0.0
scl,0.0
cco,2.0
mjg,0.0
hae,0.0
khr,1.0
sov,2.0
xsi,1.0
chr,3.0
ijc,0.0
wwa,1.0
jar,1.0
sbc,1.0
xsm,1.0
nam,0.0
dru,0.0
dds,1.0
byn,0.0
sce,0.0
ttr,1.0
frs,0.0
ong,1.0
ige,1.0
amo,1.0
kio,2.0
emi,1.0
urt,1.0
kkh,1.0
tkm,3.0
cha,2.0
cas,3.0
kms,0.0
mar,1.0
wrk,4.0
tnl,1.0
bfw,0.0
mhq,0.0
udl,1.0
omb,0.0
bca,1.0
xsr,1.0
mtg,0.0
nnk,0.0
cle,2.0
bee,2.0
arh,1.0
nbl,1.0
ssd,1.0
est,4.0
eme,3.0
tsi,0.0
ori,1.0
ayz,1.0
ssw,1.0
tzm,2.0
grt,0.0
ogo,0.0
zmc,2.0
sza,0.0
