ISO,Case_Syncretism
nav,0.0
huz,1.0
urb,0.0
laj,0.0
zul,0.0
yux,3.0
yaq,3.0
plt,0.0
arz,0.0
yee,0.0
arh,1.0
kfz,0.0
rma,0.0
ain,0.0
lue,0.0
lep,1.0
kun,0.0
wba,3.0
aro,2.0
aey,0.0
yrk,2.0
tun,0.0
gil,0.0
ses,0.0
yur,3.0
tiw,0.0
eky,0.0
ibo,0.0
squ,0.0
ket,1.0
rap,0.0
wrr,1.0
yor,1.0
dgz,0.0
hmt,0.0
bsn,0.0
khk,1.0
grj,0.0
pjt,3.0
spp,0.0
gug,0.0
ewe,0.0
pqm,0.0
amp,0.0
mpc,3.0
lez,2.0
tsi,0.0
vma,2.0
xsu,0.0
bgr,1.0
inh,2.0
kan,1.0
kjq,0.0
bej,0.0
eng,3.0
skd,1.0
brh,1.0
kio,0.0
mni,1.0
grt,1.0
naq,0.0
myp,0.0
csz,0.0
hix,0.0
bsk,2.0
dgl,1.0
irk,0.0
tzm,0.0
nuy,1.0
mrc,1.0
btx,0.0
djk,0.0
cgg,0.0
ona,0.0
sue,3.0
ram,0.0
cyb,0.0
cku,1.0
sja,1.0
wyb,2.0
ekg,0.0
ayc,0.0
mur,3.0
wic,0.0
hto,1.0
zoc,1.0
dyo,0.0
qvi,1.0
evn,1.0
ung,0.0
kat,2.0
esu,3.0
apu,0.0
lkt,0.0
kha,0.0
tpy,1.0
lvk,0.0
gyd,2.0
abk,0.0
kut,0.0
ape,0.0
ker,0.0
chl,1.0
mky,0.0
pad,3.0
set,0.0
pom,1.0
khm,0.0
pes,0.0
mrz,0.0
cle,0.0
hae,3.0
imn,1.0
bam,0.0
heb,0.0
pwn,1.0
lbj,1.0
fvr,0.0
mtg,1.0
sag,0.0
gni,0.0
nhg,0.0
niv,1.0
alc,0.0
bmi,0.0
kwi,0.0
dni,0.0
cha,0.0
yad,0.0
bzd,0.0
niy,0.0
pav,0.0
axb,0.0
cmn,0.0
mzh,0.0
yuc,0.0
zmr,0.0
wmb,3.0
kyh,0.0
crk,0.0
wnu,0.0
yii,3.0
kij,0.0
nez,1.0
coc,1.0
ayz,0.0
ktz,0.0
ote,0.0
swh,0.0
unr,0.0
dhv,0.0
