ISO,Zero_Copula_for_Predicate_Nominals
mva,1.0
bgp,0.0
guc,1.0
ktz,0.0
mpc,1.0
eve,1.0
cop,1.0
myv,0.0
rma,1.0
kca,1.0
zne,0.0
imn,1.0
pmf,0.0
cgg,0.0
frd,1.0
sja,1.0
zul,0.0
zoc,0.0
grt,0.0
abk,0.0
kyh,0.0
ote,0.0
kru,0.0
cro,0.0
sis,0.0
kat,0.0
crk,0.0
gfk,1.0
mlt,1.0
ewe,0.0
mkj,1.0
bll,0.0
cho,0.0
ctp,0.0
heb,1.0
tiw,1.0
tnc,1.0
mrt,1.0
mgd,1.0
dgz,0.0
xsm,0.0
ava,0.0
lao,0.0
ood,0.0
par,1.0
kmn,1.0
tzj,0.0
hch,0.0
lkt,0.0
mxx,0.0
sed,1.0
bor,1.0
plh,1.0
ojs,1.0
mqy,1.0
huz,0.0
bfw,1.0
spp,0.0
kqi,1.0
wyb,0.0
kgo,0.0
twu,1.0
ceb,0.0
pwn,0.0
quz,1.0
tel,1.0
mhr,1.0
nav,0.0
mnc,0.0
kpw,1.0
cao,1.0
set,1.0
kky,1.0
bxm,0.0
kna,0.0
mez,0.0
ikx,1.0
shp,1.0
woe,1.0
yaq,1.0
dje,0.0
lua,1.0
cha,0.0
tem,0.0
ung,1.0
nhg,0.0
bla,0.0
sun,1.0
squ,0.0
pjt,1.0
kal,0.0
aer,1.0
kan,1.0
liy,0.0
unr,0.0
ibo,0.0
kwd,1.0
khm,1.0
hix,1.0
kwi,0.0
tlc,1.0
yii,1.0
tus,0.0
kfq,0.0
gbp,0.0
gdo,0.0
bej,0.0
hei,0.0
pap,0.0
srb,1.0
ygr,1.0
noa,0.0
crw,1.0
lil,0.0
mdx,1.0
sin,1.0
aqc,0.0
niv,1.0
uby,0.0
kpm,1.0
srn,0.0
isl,0.0
niu,1.0
mas,0.0
mov,0.0
gur,0.0
uma,0.0
sln,1.0
jeb,1.0
hop,1.0
jae,1.0
aey,1.0
ekg,1.0
bbc,0.0
tea,1.0
tgc,1.0
kcr,1.0
tiv,0.0
mal,0.0
kjq,0.0
yux,0.0
kun,1.0
xpe,0.0
mbc,1.0
noo,0.0
kpv,1.0
bzd,0.0
nup,0.0
nam,1.0
fuv,1.0
pad,1.0
nus,0.0
yur,1.0
kab,0.0
kbd,0.0
plt,0.0
mni,0.0
knc,1.0
apy,0.0
mns,1.0
zai,0.0
aka,0.0
shi,1.0
xsu,1.0
mur,0.0
tpi,0.0
bfa,0.0
wao,0.0
qvi,1.0
pma,0.0
dus,1.0
ona,0.0
naq,0.0
ghl,0.0
tuv,1.0
diq,0.0
eng,0.0
ady,0.0
paw,0.0
lzz,0.0
bam,0.0
rtm,1.0
akz,1.0
cco,0.0
som,1.0
dag,0.0
tli,0.0
ram,1.0
css,0.0
tzm,1.0
miq,0.0
wic,0.0
kgs,1.0
pib,0.0
khk,1.0
crs,0.0
mil,0.0
vot,0.0
ckt,0.0
bot,1.0
sel,1.0
mlq,0.0
lez,0.0
iai,0.0
amp,0.0
shk,1.0
dip,0.0
coc,0.0
amf,0.0
sah,0.0
kha,0.0
ktg,1.0
tig,0.0
nmb,0.0
luo,1.0
pci,0.0
pes,0.0
yrk,1.0
kmg,1.0
yee,0.0
bmi,1.0
swh,0.0
nrb,1.0
mzh,0.0
bzq,1.0
mdj,1.0
bhw,0.0
thv,1.0
teo,0.0
acv,0.0
nak,1.0
gbi,1.0
gld,1.0
crc,0.0
ute,1.0
ary,1.0
yad,1.0
mos,0.0
urf,1.0
gub,1.0
dbl,1.0
tml,1.0
cmn,0.0
kio,0.0
urb,1.0
ssd,1.0
ain,0.0
byn,0.0
nez,0.0
grj,0.0
mrh,0.0
lis,0.0
hae,1.0
csz,0.0
dua,1.0
wsk,1.0
ahh,1.0
ngi,0.0
pbe,1.0
tpt,0.0
ape,1.0
ket,0.0
hup,0.0
vai,0.0
bji,1.0
see,0.0
tah,1.0
kij,1.0
one,0.0
kwk,0.0
tdn,0.0
bsk,0.0
nig,1.0
for,1.0
gde,1.0
gol,0.0
mbb,0.0
hat,0.0
mpb,1.0
bav,0.0
nas,1.0
car,1.0
wnu,1.0
aia,1.0
mrz,0.0
knk,0.0
yor,0.0
los,1.0
bsn,0.0
lhu,1.0
pam,0.0
lep,0.0
