ISO,Ditransitive_Constructions:_The_Verb_'Give'
sll,1.0
ake,2.0
qvh,2.0
imn,0.0
lvk,0.0
ibo,1.0
erg,2.0
blc,2.0
kut,2.0
lzz,2.0
baw,0.0
ram,0.0
mxk,0.0
chr,2.0
lmc,2.0
sag,0.0
heb,0.0
ses,3.0
ker,0.0
abk,0.0
khm,3.0
mky,1.0
div,0.0
xam,1.0
kin,1.0
kat,0.0
tzj,0.0
yue,3.0
ahk,0.0
grj,1.0
amh,1.0
nrz,2.0
shp,1.0
wti,0.0
yaq,2.0
hix,0.0
kgr,0.0
pnw,1.0
tgo,0.0
wgy,3.0
ddj,3.0
ahg,0.0
kfc,0.0
dbl,3.0
nhg,1.0
pit,1.0
tkw,0.0
vma,2.0
lis,0.0
kay,0.0
kfa,0.0
bkc,0.0
xnz,1.0
tuv,1.0
xsu,0.0
kuu,0.0
spp,0.0
lin,1.0
yux,0.0
bsk,0.0
tti,2.0
siw,2.0
cku,0.0
myb,1.0
tae,1.0
bia,0.0
crk,2.0
nab,2.0
myp,1.0
moc,3.0
ury,0.0
kac,0.0
cnh,2.0
gil,1.0
lep,0.0
huz,0.0
naf,2.0
laj,3.0
wrz,1.0
kas,0.0
ayz,3.0
tik,1.0
grt,0.0
bsn,2.0
tir,0.0
lln,1.0
yee,0.0
bgr,3.0
zul,1.0
som,2.0
kan,0.0
niu,0.0
tzm,0.0
zmr,1.0
dag,1.0
tpy,0.0
kgo,0.0
amp,2.0
yia,2.0
kfz,2.0
hmr,3.0
lbe,0.0
tya,2.0
arw,0.0
kun,0.0
gmv,0.0
kla,0.0
dua,1.0
mam,0.0
lgu,0.0
sed,3.0
mlt,0.0
gvn,0.0
sel,0.0
mkf,1.0
mrc,2.0
hoa,3.0
kgj,2.0
cop,0.0
wmb,1.0
udm,0.0
ood,1.0
trw,0.0
rth,0.0
wmt,1.0
ann,1.0
ykg,0.0
sun,3.0
bla,2.0
aey,0.0
mbc,0.0
shh,1.0
ktg,3.0
wol,1.0
zay,0.0
dyy,0.0
kca,3.0
yii,0.0
knc,0.0
com,1.0
stp,2.0
eky,1.0
byw,2.0
sme,0.0
mal,0.0
tvu,1.0
chx,0.0
nun,0.0
kij,2.0
emi,0.0
urb,0.0
xed,1.0
pym,1.0
hae,0.0
rap,0.0
ckt,0.0
ogo,1.0
ikx,0.0
nbl,1.0
cir,0.0
men,3.0
qvi,0.0
wrr,2.0
djj,2.0
bxm,0.0
efi,1.0
ain,2.0
wnu,2.0
wgu,0.0
sur,0.0
gug,0.0
duf,0.0
tvo,3.0
diq,0.0
eng,3.0
tzn,0.0
nce,0.0
mcf,1.0
kjg,0.0
vay,2.0
nse,1.0
kxa,2.0
aro,1.0
pip,0.0
mur,1.0
pav,2.0
djd,2.0
wba,0.0
pbb,0.0
apu,3.0
hch,2.0
mpq,1.0
khk,0.0
gwd,0.0
omb,0.0
gbu,2.0
naq,1.0
apr,0.0
mua,0.0
lez,0.0
ace,3.0
wyb,2.0
bvz,0.0
tfr,0.0
fon,1.0
bkk,0.0
dow,1.0
ktz,2.0
kgs,1.0
aka,1.0
itz,0.0
mar,0.0
boz,0.0
pes,0.0
kha,0.0
mra,1.0
sja,0.0
mig,0.0
kal,2.0
nig,2.0
mpc,1.0
pwg,2.0
par,1.0
mdy,0.0
ale,0.0
dga,1.0
cla,0.0
bho,0.0
bee,0.0
lun,1.0
mwp,0.0
kfq,1.0
zpi,0.0
raw,0.0
teu,0.0
mni,0.0
uwa,0.0
nia,0.0
bcm,2.0
sue,0.0
yad,2.0
cmn,3.0
kpw,1.0
arh,3.0
snc,2.0
lkt,1.0
dar,0.0
pma,0.0
gni,2.0
nso,1.0
zoh,2.0
swh,1.0
sza,0.0
snq,1.0
cho,0.0
plo,3.0
bav,3.0
bjy,1.0
bdl,1.0
bmi,0.0
mzh,2.0
aly,3.0
cas,2.0
gdf,0.0
mhi,0.0
jig,3.0
ket,1.0
niv,2.0
plg,1.0
lae,0.0
yor,2.0
mjg,0.0
jao,3.0
sbe,3.0
dal,1.0
wsa,0.0
yyr,1.0
ude,0.0
kng,3.0
kky,0.0
pjt,1.0
cgg,2.0
mug,0.0
aer,3.0
huq,0.0
cha,2.0
noo,1.0
irk,0.0
tsi,0.0
aar,0.0
myh,1.0
