ISO,Alignment_of_Case_Marking_of_Full_Noun_Phrases
zmr,0.0
gil,0.0
kjq,0.0
zul,0.0
kfz,0.0
yaq,1.0
plt,1.0
arz,0.0
yux,1.0
ekg,0.0
arh,2.0
lue,0.0
kjg,0.0
ote,0.0
fvr,1.0
tzm,3.0
mph,0.0
brh,1.0
aey,0.0
skd,1.0
mig,0.0
ain,0.0
wba,0.0
mky,0.0
tiw,0.0
tsi,2.0
pad,2.0
squ,0.0
wmb,2.0
rap,0.0
yee,0.0
yor,0.0
lbj,2.0
grj,0.0
wnu,0.0
khk,1.0
ket,0.0
djk,0.0
spp,0.0
gug,1.0
tpy,2.0
car,0.0
cyb,0.0
mpc,1.0
lez,2.0
dyo,0.0
vma,1.0
niy,0.0
tun,0.0
tml,0.0
kan,1.0
bsn,1.0
kun,1.0
eng,0.0
nez,5.0
cle,0.0
kio,0.0
mni,1.0
yii,2.0
naq,1.0
myp,0.0
yur,0.0
hix,0.0
bsk,2.0
pma,0.0
kha,1.0
mrc,3.0
btx,0.0
kng,0.0
mrz,0.0
aro,2.0
ram,0.0
axb,0.0
cku,1.0
kij,0.0
wyb,2.0
ung,0.0
grt,1.0
bgr,2.0
wic,0.0
lbe,2.0
mtg,2.0
hmt,0.0
qvi,1.0
evn,1.0
pom,1.0
wrr,2.0
apu,0.0
lkt,0.0
irk,1.0
ewe,0.0
lvk,0.0
gyd,1.0
abk,0.0
kut,0.0
ape,0.0
ayc,3.0
cgg,0.0
unr,0.0
nuy,0.0
ker,0.0
lep,1.0
ses,0.0
pes,1.0
sza,5.0
hae,3.0
imn,4.0
sue,2.0
kat,4.0
heb,1.0
amp,0.0
sja,2.0
bam,0.0
ibo,3.0
sag,0.0
gni,2.0
nav,0.0
niv,0.0
bzd,2.0
bmi,0.0
kwi,1.0
khm,0.0
cha,0.0
yad,0.0
mar,5.0
mur,3.0
pav,0.0
esu,2.0
cmn,0.0
mzh,0.0
pjt,2.0
com,1.0
dgz,0.0
csz,2.0
dni,2.0
huz,2.0
dgl,1.0
csw,0.0
ayz,0.0
ktz,0.0
urb,1.0
swh,0.0
yrk,1.0
zoc,2.0
