ISO,Occurrence_of_Nominal_Plurality
kto,0.0
snq,0.0
khk,1.0
rap,1.0
mal,0.0
gbu,2.0
sjd,0.0
sad,2.0
gug,4.0
koe,0.0
ayz,3.0
bxm,5.0
lil,0.0
yee,0.0
imn,3.0
tik,0.0
sun,1.0
bsn,0.0
kfq,2.0
yaq,0.0
dag,0.0
dgl,0.0
ahg,0.0
apu,0.0
kfc,0.0
bla,0.0
mei,1.0
tfr,1.0
stp,0.0
zpi,3.0
dbl,5.0
udm,0.0
nbl,0.0
bav,0.0
ktg,2.0
zun,0.0
chv,5.0
tvo,3.0
hmr,1.0
ogo,3.0
wrr,1.0
jao,4.0
pip,2.0
cop,0.0
sjr,0.0
gvn,1.0
kwd,1.0
sue,4.0
gdq,5.0
lvk,0.0
mva,3.0
pym,0.0
aer,1.0
evn,0.0
shp,1.0
cas,5.0
yey,0.0
bdm,0.0
brh,0.0
tvk,1.0
sme,0.0
shh,0.0
cid,3.0
amp,0.0
swh,0.0
kut,2.0
wyb,1.0
rma,2.0
hoa,0.0
kgo,0.0
mkj,0.0
dar,0.0
bkk,1.0
huz,0.0
pau,2.0
kay,2.0
aar,0.0
som,0.0
qvi,0.0
nig,4.0
nya,0.0
khq,0.0
mpe,0.0
ckt,0.0
boz,1.0
did,0.0
npa,1.0
ctm,2.0
eng,0.0
aey,2.0
wmb,1.0
cku,4.0
lbe,0.0
jig,1.0
ute,2.0
tir,0.0
tya,1.0
isl,0.0
coc,2.0
zoh,0.0
tnc,2.0
mig,1.0
nia,3.0
crk,0.0
uli,1.0
pao,5.0
hae,4.0
plo,1.0
knc,0.0
gol,0.0
lez,0.0
arw,5.0
mrc,4.0
mhi,2.0
plg,0.0
niu,0.0
kjq,1.0
rtm,2.0
new,2.0
sqt,0.0
tlb,3.0
bgr,1.0
kfa,2.0
wnu,3.0
bmi,0.0
mlt,0.0
kpw,2.0
ntp,0.0
hix,4.0
lae,0.0
mhj,1.0
esu,0.0
niv,1.0
djd,2.0
ket,0.0
cir,2.0
peh,0.0
khe,2.0
lue,0.0
sbe,2.0
bzr,3.0
kat,0.0
kgr,3.0
tpy,2.0
gup,4.0
nun,4.0
deg,0.0
lzz,5.0
ktz,0.0
hia,1.0
mbc,5.0
ain,1.0
poo,4.0
abk,0.0
mua,0.0
lln,2.0
had,4.0
tzj,0.0
knn,0.0
trw,0.0
bod,1.0
arz,0.0
kal,0.0
mky,2.0
kmg,4.0
byw,5.0
laj,2.0
bkc,1.0
zmr,3.0
lmc,3.0
bae,1.0
dsh,0.0
itz,0.0
com,2.0
irk,0.0
tvl,0.0
sja,2.0
dyy,1.0
yia,3.0
mla,2.0
ori,1.0
gwd,0.0
dal,0.0
naf,1.0
khm,1.0
grj,0.0
ace,3.0
bsk,0.0
yii,3.0
tgo,2.0
guj,0.0
nhx,0.0
sov,3.0
sps,0.0
aly,1.0
gyd,3.0
sel,0.0
wgu,3.0
cmn,4.0
kfz,0.0
kgj,0.0
sll,3.0
omb,4.0
mam,1.0
dow,5.0
mjg,1.0
pan,0.0
nse,0.0
lep,0.0
tzn,0.0
div,5.0
tkm,1.0
guz,0.0
yor,1.0
pwg,2.0
niy,2.0
ude,4.0
zul,0.0
mkf,0.0
zay,0.0
ikx,0.0
