ISO,Productivity_of_the_Antipassive_Construction
imn,0.0
nez,1.0
pwn,1.0
bmi,0.0
lin,0.0
ckt,1.0
cho,3.0
tiw,0.0
jig,0.0
nya,0.0
poo,0.0
myh,0.0
kjh,0.0
kwi,0.0
knc,0.0
yor,0.0
kal,1.0
tml,0.0
khk,0.0
mni,0.0
yah,0.0
gni,2.0
gug,0.0
lez,0.0
wyb,0.0
aar,0.0
ses,1.0
mky,0.0
zul,0.0
kan,0.0
shp,0.0
kmc,0.0
xbr,0.0
tzm,0.0
sue,0.0
ote,0.0
wrr,1.0
wba,0.0
eng,0.0
aqc,1.0
ape,0.0
naq,0.0
ain,0.0
gyd,0.0
sag,0.0
lbe,1.0
kgo,1.0
hix,0.0
bsk,0.0
zoc,2.0
myp,0.0
com,1.0
tzj,1.0
niv,0.0
chl,1.0
dbl,1.0
lvk,3.0
kir,0.0
wnu,0.0
kio,2.0
dni,0.0
wrg,2.0
lue,0.0
evn,0.0
kyh,0.0
wmb,0.0
mzh,0.0
rap,0.0
nuy,0.0
irk,0.0
lkt,0.0
mbc,0.0
abk,0.0
mig,0.0
sja,0.0
cgg,0.0
tya,0.0
yii,1.0
hur,1.0
ddo,2.0
bsn,0.0
pes,0.0
hae,0.0
pan,0.0
tvl,0.0
kat,0.0
heb,0.0
mrc,0.0
huz,2.0
sgw,0.0
spp,0.0
mtg,0.0
bej,0.0
aey,0.0
ket,0.0
yad,0.0
kbd,1.0
qvi,0.0
esu,1.0
apu,0.0
thp,2.0
one,0.0
kap,2.0
pad,0.0
wic,0.0
crk,1.0
kut,0.0
cku,0.0
arh,0.0
kpw,0.0
inh,0.0
ibo,0.0
mam,1.0
cha,2.0
mph,0.0
gpn,0.0
gdo,2.0
amp,0.0
ddj,2.0
cmn,0.0
rma,0.0
see,0.0
pma,0.0
yur,0.0
kas,0.0
btx,0.0
ewe,0.0
dif,2.0
emb,1.0
ayz,0.0
kij,0.0
mur,0.0
swh,0.0
dgz,0.0
brh,0.0
