ISO,Suppletion_According_to_Tense_and_Aspect
ket,0.0
knc,1.0
pst,2.0
fvr,1.0
dyo,0.0
yux,0.0
yad,0.0
grj,0.0
cku,0.0
kto,1.0
rap,0.0
unr,1.0
aro,0.0
ain,0.0
mky,0.0
ckt,0.0
yor,0.0
mzh,0.0
tzm,0.0
khk,0.0
sur,0.0
yue,0.0
lue,0.0
gug,0.0
aeb,0.0
mkj,0.0
lez,2.0
vma,0.0
mig,3.0
mlq,0.0
ibo,0.0
zul,0.0
kan,1.0
mbc,1.0
com,0.0
kha,0.0
ary,0.0
xsu,0.0
myh,0.0
mur,0.0
kgo,0.0
eng,1.0
yee,1.0
kjq,0.0
naq,1.0
myp,0.0
mni,0.0
kio,0.0
dgz,0.0
hix,1.0
bsk,2.0
chl,0.0
mrc,0.0
wal,0.0
ard,0.0
ram,0.0
sza,0.0
car,1.0
tpy,0.0
wyb,0.0
gax,0.0
ayc,0.0
sag,0.0
djk,0.0
ses,0.0
gni,0.0
evn,0.0
nav,0.0
grt,0.0
apu,0.0
lkt,0.0
shp,0.0
irk,0.0
lvk,0.0
pqm,0.0
abk,1.0
kut,0.0
ape,0.0
mec,3.0
ppl,1.0
khm,0.0
cab,0.0
peb,0.0
bsn,0.0
pes,2.0
hae,1.0
esu,0.0
hup,0.0
kat,2.0
heb,1.0
amp,1.0
huz,1.0
alc,0.0
spp,2.0
sot,0.0
cle,3.0
aey,0.0
one,3.0
rma,0.0
cyb,0.0
niv,0.0
lbj,0.0
gyd,0.0
zun,0.0
wic,3.0
hsb,2.0
nuy,3.0
mph,1.0
arh,3.0
mpc,0.0
imn,0.0
squ,0.0
kwi,1.0
inh,2.0
cha,1.0
bmi,0.0
otz,3.0
tuv,1.0
pav,0.0
mkd,1.0
cmn,0.0
qvi,0.0
hop,0.0
brh,1.0
kun,0.0
sue,1.0
yrk,0.0
ewe,1.0
set,0.0
knw,0.0
ayz,0.0
kij,0.0
skd,0.0
swh,0.0
crk,0.0
wnu,1.0
