ISO,Other_Roles_of_Applied_Objects
yad,4.0
lkr,1.0
wba,0.0
lue,4.0
noo,1.0
ckt,0.0
dif,2.0
tiw,3.0
cnh,3.0
jig,0.0
kjh,0.0
ibo,1.0
chl,2.0
gyd,0.0
knc,2.0
yor,0.0
kal,3.0
ket,0.0
khk,0.0
kut,3.0
brh,0.0
mzh,0.0
gug,0.0
lez,0.0
wyb,0.0
wol,4.0
djk,0.0
yii,1.0
zul,3.0
kan,1.0
yee,1.0
nya,4.0
aar,1.0
huz,0.0
wrr,0.0
dgz,0.0
wnu,1.0
xsu,0.0
eng,0.0
tpt,3.0
grj,3.0
naq,1.0
mpc,0.0
mig,0.0
cku,0.0
pan,0.0
kgo,2.0
hix,0.0
bsk,1.0
crk,1.0
myp,0.0
kjq,1.0
xbr,2.0
kwi,0.0
kyh,3.0
sue,0.0
lvk,0.0
com,3.0
gpn,1.0
sag,0.0
shp,1.0
kas,0.0
gni,0.0
evn,0.0
abq,4.0
sgw,1.0
niv,0.0
rap,0.0
irk,0.0
ewe,0.0
lkt,1.0
pqm,1.0
abk,3.0
mni,1.0
ape,2.0
zoc,1.0
nuy,1.0
lin,2.0
hur,1.0
mky,1.0
pes,0.0
hae,0.0
esu,0.0
tvl,0.0
kat,2.0
heb,0.0
mrc,2.0
pwn,4.0
ddo,0.0
spp,0.0
myh,0.0
urb,3.0
aey,1.0
one,4.0
rma,0.0
lbe,0.0
kpw,0.0
wmb,2.0
ram,0.0
mtg,1.0
wic,3.0
poo,0.0
kha,0.0
mph,0.0
bsn,0.0
ain,4.0
imn,1.0
inh,0.0
apu,0.0
ses,3.0
nez,2.0
aqc,0.0
cha,1.0
bmi,0.0
nid,1.0
gdo,0.0
amp,1.0
kir,0.0
cmn,0.0
qvi,0.0
see,4.0
yur,0.0
ote,0.0
dbl,3.0
dni,2.0
kij,0.0
isl,0.0
yah,0.0
ayz,3.0
ktz,2.0
pma,0.0
swh,2.0
arh,1.0
cgg,3.0
