ISO,Consonant-Vowel_Ratio
kca,0.0
pjt,2.0
byx,0.0
aqc,3.0
yad,4.0
ker,0.0
laj,4.0
fia,0.0
tzm,3.0
bcs,0.0
kfe,2.0
kwk,3.0
ald,0.0
kha,0.0
myp,1.0
khb,1.0
ram,4.0
chr,4.0
mbl,4.0
woi,4.0
sah,1.0
mnc,0.0
chq,0.0
sel,4.0
sin,0.0
mor,0.0
ape,1.0
dry,2.0
ewo,0.0
wmb,2.0
pad,3.0
acv,0.0
nmu,0.0
gaj,0.0
mky,0.0
dif,3.0
kru,0.0
yer,0.0
yua,0.0
kpz,1.0
tzh,2.0
bao,4.0
nyi,1.0
wrs,4.0
snv,1.0
yii,0.0
kfz,4.0
bib,0.0
kal,2.0
dru,2.0
cic,2.0
ayz,1.0
ctd,0.0
bvr,0.0
bmi,0.0
gbr,0.0
xom,0.0
jic,0.0
kjg,1.0
tli,3.0
quh,2.0
wim,1.0
tiw,2.0
oca,2.0
kpk,2.0
mjg,2.0
tem,1.0
csz,3.0
kut,3.0
eve,0.0
bod,0.0
cja,1.0
set,4.0
umb,0.0
rgr,2.0
mwp,0.0
tig,2.0
bgr,2.0
efi,4.0
vma,3.0
bej,0.0
iba,0.0
jqr,3.0
fvr,1.0
imn,4.0
yap,0.0
hix,0.0
yaq,0.0
brb,0.0
grj,1.0
lbe,3.0
prk,0.0
inh,3.0
tma,1.0
lua,0.0
kgo,1.0
ktg,3.0
kjd,1.0
con,2.0
evn,0.0
brh,2.0
gyd,2.0
zul,3.0
ogb,1.0
irn,0.0
kat,2.0
trg,2.0
kpv,0.0
wic,0.0
cgg,0.0
ivv,2.0
sef,0.0
knc,0.0
fmp,1.0
tlo,4.0
gug,0.0
abk,3.0
tba,0.0
chl,2.0
amp,1.0
khq,0.0
brv,4.0
pma,0.0
sza,0.0
axb,0.0
bbl,3.0
huv,0.0
bam,0.0
bmr,0.0
ito,0.0
kac,2.0
klu,4.0
kla,3.0
kbr,0.0
sue,1.0
xtc,0.0
tml,4.0
ava,3.0
aer,3.0
wuu,0.0
ncb,1.0
rut,3.0
luo,0.0
mwf,2.0
kun,0.0
sad,3.0
eky,4.0
yrk,2.0
yuc,2.0
mpb,0.0
njo,1.0
nuy,2.0
yey,3.0
haw,4.0
kas,0.0
duj,3.0
vam,4.0
huz,0.0
gwc,2.0
bev,4.0
ame,3.0
grt,0.0
kvn,1.0
slc,0.0
amo,1.0
iwm,4.0
dal,3.0
bdl,0.0
tpm,1.0
guq,1.0
srb,0.0
wti,2.0
pav,1.0
aka,1.0
yue,1.0
cjh,3.0
pym,3.0
huu,1.0
anc,2.0
cku,2.0
cle,0.0
ses,0.0
ksw,0.0
spp,0.0
nmn,3.0
spl,1.0
dts,1.0
dbl,0.0
zun,0.0
kln,4.0
tsu,0.0
mrz,0.0
alh,2.0
kan,1.0
sht,0.0
com,4.0
yee,2.0
mrc,2.0
jeh,0.0
tqw,0.0
roo,4.0
svs,0.0
khr,2.0
wnw,2.0
brx,1.0
knn,1.0
pqm,0.0
apq,0.0
lbj,3.0
ndv,0.0
faa,1.0
skd,1.0
tca,0.0
arh,1.0
car,1.0
dta,0.0
see,4.0
crk,1.0
tsg,2.0
ayc,3.0
tgc,1.0
ngi,3.0
shs,2.0
ake,4.0
jeb,2.0
kbk,1.0
yul,2.0
nxq,0.0
tbi,0.0
wrr,0.0
amu,0.0
hop,0.0
agm,4.0
nab,2.0
zmr,1.0
uzn,0.0
kff,0.0
ncj,0.0
guh,0.0
jru,4.0
snn,0.0
teh,3.0
fun,0.0
maq,0.0
yur,2.0
mas,1.0
swi,3.0
gaa,0.0
tcy,0.0
cad,3.0
yss,0.0
dip,0.0
kmc,0.0
chv,1.0
aro,2.0
bzd,0.0
wiy,2.0
kbd,3.0
wnu,1.0
nez,2.0
gum,0.0
gvn,0.0
nir,4.0
njz,1.0
cyb,1.0
shi,3.0
lbc,2.0
nav,3.0
fwa,4.0
wap,0.0
tun,1.0
gqu,0.0
mig,0.0
mps,1.0
xsu,4.0
adz,2.0
djk,0.0
itl,2.0
qui,3.0
ntu,0.0
lhu,0.0
plt,3.0
rap,1.0
ckt,1.0
lgg,0.0
tsi,3.0
arl,1.0
bbo,0.0
nas,4.0
squ,3.0
mzh,0.0
alc,3.0
xpe,0.0
ano,4.0
hmt,4.0
ain,1.0
aal,0.0
etu,0.0
ttr,3.0
kpm,0.0
tna,2.0
tiy,1.0
lez,3.0
zne,0.0
lme,2.0
dhv,0.0
kna,0.0
aht,2.0
mzm,0.0
eya,3.0
mrt,3.0
kjq,3.0
shb,1.0
ygr,0.0
sag,0.0
kwi,0.0
wyb,2.0
new,2.0
mdx,0.0
pon,4.0
oru,0.0
naq,2.0
kbv,1.0
bor,4.0
guc,0.0
chp,3.0
ood,0.0
sqt,2.0
dyo,4.0
one,1.0
myh,3.0
niy,2.0
bkq,1.0
pes,0.0
kir,0.0
nyp,4.0
ket,1.0
nio,1.0
swh,2.0
mtg,1.0
mpc,0.0
jao,3.0
slz,0.0
pbh,4.0
sed,2.0
twf,0.0
cbv,1.0
rro,4.0
ign,2.0
bak,0.0
tel,2.0
nut,0.0
kpy,0.0
bcj,0.0
lui,0.0
daa,0.0
cbn,0.0
dnj,4.0
pay,0.0
ctp,0.0
dow,0.0
tsz,2.0
mni,0.0
hus,0.0
awn,0.0
gbp,0.0
hnh,3.0
xaw,0.0
nhg,0.0
rma,2.0
akz,2.0
cmn,0.0
cdo,1.0
wnc,1.0
niv,2.0
pac,4.0
irk,3.0
ona,3.0
lkt,2.0
khl,0.0
lut,3.0
ess,3.0
unr,2.0
kbh,0.0
nie,0.0
gni,2.0
apn,4.0
nhu,1.0
kwd,0.0
hae,2.0
pwa,1.0
khm,1.0
amf,2.0
tay,0.0
wol,0.0
amc,0.0
kkw,0.0
ibo,0.0
cbi,2.0
beq,0.0
kup,0.0
bbc,0.0
lue,0.0
mhj,2.0
kpw,1.0
ksx,1.0
ekg,4.0
cag,2.0
auc,1.0
bba,1.0
ijc,1.0
mde,0.0
mph,0.0
apu,0.0
hak,0.0
cub,4.0
dag,2.0
yor,1.0
yle,2.0
iso,0.0
pom,2.0
yrb,1.0
gmo,2.0
pst,2.0
pcc,0.0
noo,3.0
mto,4.0
coc,2.0
hup,3.0
srq,1.0
lep,0.0
mur,1.0
som,1.0
agq,1.0
dgz,1.0
wrz,0.0
dni,4.0
shg,3.0
teq,1.0
ikx,0.0
kss,1.0
ung,0.0
cjv,1.0
cha,0.0
wao,2.0
pwn,2.0
urb,1.0
jiv,0.0
gld,0.0
kek,0.0
zoc,1.0
