ISO,Finger_and_Hand
mez,0.0
wiy,0.0
not,0.0
pue,0.0
zmr,1.0
mnc,0.0
wyb,1.0
tfn,0.0
axb,0.0
itv,0.0
ono,1.0
inz,0.0
sri,0.0
par,0.0
dhv,0.0
zos,0.0
chl,1.0
nid,0.0
esi,1.0
nsq,1.0
wim,0.0
nsz,0.0
nju,1.0
nyt,0.0
sus,0.0
pib,0.0
kas,0.0
brn,0.0
zpq,0.0
fut,0.0
mar,0.0
poe,0.0
puw,0.0
kek,0.0
nob,0.0
jup,0.0
azz,0.0
mbr,0.0
pos,0.0
oka,0.0
gob,0.0
ttm,0.0
cbt,1.0
tos,0.0
nhb,0.0
mkj,0.0
pan,0.0
gwi,0.0
gug,0.0
tpj,0.0
sjw,0.0
rap,0.0
cbv,0.0
kaq,0.0
pjt,1.0
nmn,0.0
lut,0.0
bem,0.0
xaw,0.0
jig,1.0
kne,0.0
uma,0.0
rma,0.0
aoc,0.0
cto,0.0
ane,0.0
apw,1.0
gcd,1.0
com,0.0
mhj,0.0
bla,0.0
afr,0.0
lao,0.0
abe,0.0
mbb,0.0
bue,1.0
jic,0.0
tfr,0.0
nys,0.0
ktz,0.0
kky,0.0
ulk,0.0
osa,0.0
chr,0.0
tun,1.0
drl,1.0
mzh,0.0
vma,0.0
chc,0.0
esu,0.0
kbh,0.0
otq,0.0
wnw,1.0
mov,0.0
atj,1.0
kwi,0.0
yag,0.0
nym,0.0
trs,0.0
abk,0.0
ary,0.0
nav,1.0
knc,0.0
zaa,0.0
coz,0.0
lez,0.0
qvc,0.0
pid,0.0
tsi,0.0
nas,0.0
pim,0.0
tbu,0.0
kio,0.0
qxa,0.0
myy,0.0
cku,0.0
khk,0.0
mbn,0.0
kla,0.0
arh,0.0
chp,0.0
ing,0.0
cub,0.0
hop,0.0
tuo,0.0
guh,0.0
zai,0.0
see,1.0
csm,0.0
crc,0.0
mco,0.0
tnd,0.0
ifb,0.0
xpq,0.0
aly,1.0
quc,0.0
tsz,0.0
aca,0.0
acv,0.0
ngu,0.0
ems,0.0
mic,0.0
tzo,0.0
bqc,0.0
miq,0.0
bmr,0.0
bae,0.0
sur,0.0
twf,0.0
tsg,0.0
ceb,0.0
kng,0.0
ved,0.0
ute,0.0
hto,0.0
shk,0.0
glu,0.0
dih,1.0
yan,0.0
mfy,0.0
dak,0.0
alc,0.0
wam,0.0
gaz,0.0
moe,0.0
atw,0.0
bkd,0.0
mww,0.0
cob,0.0
gva,0.0
knj,0.0
kee,1.0
squ,0.0
kir,0.0
sln,0.0
apm,0.0
awb,0.0
git,0.0
cjh,0.0
yue,0.0
ude,0.0
mal,0.0
kzj,0.0
kan,0.0
kic,0.0
hux,0.0
tav,0.0
sna,0.0
pao,0.0
des,0.0
ged,0.0
mhu,0.0
mcb,0.0
zul,0.0
agr,0.0
ikx,0.0
huv,0.0
crk,0.0
ktu,0.0
kgj,0.0
cbg,0.0
cbc,0.0
shh,0.0
oym,0.0
cro,0.0
nrl,0.0
yrb,0.0
sva,0.0
urf,0.0
bck,1.0
spo,0.0
mwf,1.0
sey,0.0
pon,0.0
bxm,0.0
tar,0.0
slc,0.0
ngi,1.0
kaz,0.0
tah,1.0
peb,0.0
thp,1.0
cbr,0.0
lmw,0.0
kmg,0.0
win,1.0
xok,1.0
enq,0.0
aht,0.0
lui,0.0
str,0.0
klb,0.0
yuk,0.0
hch,0.0
tna,0.0
bvv,0.0
tuk,0.0
gmo,0.0
cjo,0.0
dgc,0.0
toj,0.0
kog,0.0
chy,0.0
cbs,0.0
pbb,0.0
bll,0.0
yui,0.0
wgu,0.0
itz,0.0
csk,0.0
pmt,1.0
cav,0.0
eya,0.0
cid,0.0
tcf,0.0
amc,1.0
ame,0.0
gub,0.0
rgr,0.0
kwd,0.0
nhr,0.0
fla,1.0
nkr,0.0
yyr,1.0
kos,0.0
bcl,0.0
nsk,0.0
hus,0.0
kjb,0.0
llu,0.0
guc,0.0
mei,0.0
urb,1.0
csi,0.0
wmb,1.0
yua,0.0
wao,0.0
efi,0.0
kvn,0.0
zor,0.0
gym,0.0
cha,0.0
bsn,0.0
one,1.0
cbi,0.0
jiv,1.0
clm,0.0
cbd,1.0
pag,0.0
duj,0.0
ayc,0.0
fuu,0.0
hrc,0.0
yup,1.0
ese,0.0
zoc,0.0
alu,0.0
apj,0.0
uwa,0.0
kpj,1.0
hid,0.0
xcm,1.0
evn,0.0
aqp,1.0
pir,0.0
tuv,0.0
zaw,0.0
taa,0.0
maq,0.0
poc,0.0
tae,0.0
ona,0.0
coe,0.0
css,0.0
car,0.0
cgg,0.0
kfz,0.0
poi,0.0
jeh,0.0
tob,0.0
pbf,0.0
wic,0.0
gux,0.0
too,0.0
bdy,1.0
oca,0.0
cas,0.0
guo,0.0
pip,0.0
bam,0.0
myb,0.0
cho,0.0
myw,0.0
plt,0.0
bao,0.0
mcg,0.0
zun,0.0
kjh,0.0
kgo,0.0
huu,0.0
kyh,1.0
pio,0.0
rad,0.0
pmw,1.0
coc,1.0
nen,0.0
hub,0.0
kpg,0.0
gta,0.0
crn,0.0
mzp,0.0
moc,0.0
ynn,1.0
mot,0.0
sov,0.0
kpc,0.0
rog,0.0
gum,0.0
chk,0.0
cui,0.0
klr,0.0
noo,0.0
nhg,0.0
apn,0.0
crx,0.0
suq,0.0
pac,1.0
tue,0.0
crw,0.0
amh,0.0
ciw,1.0
cmn,0.0
nhp,0.0
cuc,0.0
nez,1.0
ore,0.0
bod,0.0
cak,0.0
shp,0.0
xuu,1.0
kck,0.0
gui,0.0
bav,0.0
ixl,0.0
cjp,0.0
skd,0.0
amr,0.0
tlf,0.0
ess,0.0
bsk,0.0
tpi,0.0
pau,0.0
plo,0.0
ale,0.0
woe,0.0
tqo,0.0
mih,0.0
arw,0.0
mto,0.0
bdq,0.0
con,0.0
opt,1.0
wrr,0.0
piu,1.0
dgl,0.0
yaf,0.0
sat,0.0
mjc,0.0
bex,0.0
xsl,0.0
moh,1.0
sin,0.0
ibo,0.0
cle,0.0
mah,0.0
tus,0.0
ycn,0.0
kut,0.0
mbp,0.0
ren,0.0
krc,0.0
akz,0.0
ixc,0.0
cja,0.0
mop,0.0
tvk,0.0
koe,0.0
xer,0.0
hil,0.0
mcf,0.0
sme,0.0
hup,1.0
sei,1.0
umu,0.0
tnl,0.0
sac,0.0
yap,0.0
mnv,0.0
cag,0.0
emp,0.0
ort,0.0
shs,0.0
pui,0.0
mpc,0.0
chf,0.0
aer,1.0
sed,0.0
dyy,1.0
mxj,0.0
ikt,0.0
mzm,0.0
