ISO,Third_Person_Pronouns_and_Demonstratives
lkt,0.0
ckt,0.0
tpy,2.0
cyb,1.0
kha,1.0
lhu,0.0
wrr,1.0
yor,0.0
kpw,0.0
dni,3.0
mie,0.0
tzm,0.0
evn,0.0
mal,1.0
wnu,0.0
mlt,2.0
yuc,2.0
mpm,0.0
mic,0.0
myp,3.0
pjt,5.0
wic,0.0
tnc,1.0
mky,1.0
skd,1.0
lvk,1.0
tvl,3.0
bmi,0.0
bfw,0.0
cld,1.0
rap,3.0
sna,2.0
kal,5.0
ram,0.0
ppl,3.0
sag,0.0
tzj,1.0
chv,5.0
yux,0.0
mni,1.0
haw,3.0
ddj,0.0
yue,0.0
arh,0.0
tya,0.0
aey,0.0
qvi,4.0
bgr,0.0
set,1.0
pan,1.0
mpc,1.0
gil,0.0
gug,0.0
qvn,4.0
lif,3.0
mrt,0.0
hae,0.0
pom,1.0
ilb,2.0
spp,1.0
vma,0.0
kjg,0.0
lez,5.0
pav,0.0
urb,0.0
pon,0.0
tvo,1.0
wnw,5.0
khk,1.0
bod,0.0
grt,4.0
jqr,4.0
eng,1.0
dus,4.0
cub,1.0
irk,0.0
fut,0.0
kij,5.0
niv,4.0
mbc,1.0
wyb,1.0
gyd,4.0
erg,5.0
xaw,1.0
knc,0.0
naq,0.0
kky,4.0
bsn,3.0
unr,0.0
nhg,1.0
mig,0.0
tqw,0.0
cgg,2.0
ses,0.0
mnf,0.0
aph,3.0
gni,0.0
nez,0.0
kos,0.0
lil,0.0
ape,5.0
nuy,0.0
amp,2.0
apu,2.0
gcd,1.0
pip,2.0
ktz,2.0
rej,0.0
bav,2.0
kat,3.0
eky,0.0
mph,2.0
yok,0.0
tlc,0.0
xnz,0.0
lue,2.0
inh,0.0
mrc,1.0
pes,4.0
wmb,1.0
brh,5.0
crk,0.0
abt,1.0
nbi,0.0
sza,0.0
arz,2.0
zul,2.0
tml,5.0
pit,1.0
pau,1.0
ayz,2.0
pad,1.0
xbr,1.0
sur,4.0
ljp,4.0
tta,0.0
sja,0.0
cku,0.0
lep,0.0
yad,4.0
mlu,0.0
grj,2.0
rma,1.0
yur,1.0
hix,1.0
one,0.0
peb,0.0
mah,5.0
mkf,0.0
ain,0.0
sin,1.0
hvn,0.0
cmn,4.0
imn,0.0
myb,0.0
mkj,0.0
gdo,2.0
dyo,2.0
niy,0.0
esu,0.0
cle,5.0
djk,0.0
aer,0.0
jun,0.0
bsk,3.0
yee,1.0
pqm,0.0
heb,1.0
pma,1.0
ale,1.0
tun,0.0
