ISO,Plurality_in_Independent_Personal_Pronouns
tli,0.0
car,0.0
yue,5.0
kwd,0.0
xsu,2.0
mph,1.0
kjq,7.0
zmc,0.0
tml,2.0
zul,0.0
dta,2.0
set,0.0
cle,3.0
mtg,0.0
chl,4.0
kij,0.0
bzd,0.0
aro,2.0
lin,1.0
sah,1.0
csz,3.0
wol,0.0
skd,0.0
ket,4.0
pwn,0.0
inh,0.0
brh,0.0
shp,0.0
haw,1.0
btx,0.0
kun,1.0
amp,4.0
kgo,0.0
crk,3.0
tel,0.0
itl,4.0
kan,2.0
ckt,2.0
laj,3.0
ona,1.0
ard,0.0
yur,0.0
pit,0.0
evn,2.0
lue,0.0
urb,0.0
kjg,0.0
nhg,4.0
kio,6.0
wnu,0.0
kky,0.0
yuc,3.0
yux,2.0
plt,0.0
lkt,3.0
naq,3.0
ain,3.0
cir,1.0
dyo,0.0
ker,0.0
kpw,0.0
mrz,5.0
piv,1.0
huz,0.0
mpc,4.0
tun,3.0
tpy,5.0
niy,2.0
tiw,0.0
bam,0.0
dih,2.0
myh,0.0
eng,0.0
aey,1.0
kfz,3.0
gyd,1.0
stp,3.0
pjt,3.0
dgl,0.0
khm,0.0
nuy,1.0
gil,0.0
gym,1.0
squ,0.0
rap,1.0
fut,1.0
cku,3.0
yor,0.0
tsi,3.0
ung,1.0
wyb,0.0
khk,5.0
dar,2.0
kng,0.0
spp,0.0
gug,0.0
ibo,0.0
ddj,1.0
lep,1.0
lez,0.0
grt,0.0
vma,1.0
ayc,4.0
pom,4.0
mbc,0.0
kos,1.0
wic,3.0
amh,0.0
gdq,0.0
pnw,4.0
wba,0.0
par,5.0
one,6.0
mni,5.0
pqm,3.0
myp,6.0
nez,0.0
bsk,0.0
mde,1.0
chv,2.0
kha,2.0
mrc,6.0
mns,1.0
ram,6.0
yrk,5.0
ppl,4.0
kut,0.0
sue,2.0
zun,2.0
kat,1.0
zoc,0.0
qvi,0.0
zmr,1.0
jic,0.0
bod,5.0
yle,0.0
apu,3.0
tzm,1.0
lvk,0.0
abk,0.0
nav,4.0
ses,0.0
yee,0.0
urf,1.0
chp,1.0
dni,1.0
pes,0.0
hae,0.0
imn,6.0
bxm,5.0
cyb,3.0
heb,0.0
tqw,4.0
ktz,1.0
erg,0.0
mur,2.0
lbe,0.0
hto,1.0
sag,0.0
gni,4.0
ote,3.0
niv,5.0
hmt,0.0
oaa,2.0
qvh,5.0
ekg,2.0
bmi,4.0
kwi,0.0
yii,0.0
cha,0.0
yad,0.0
lhu,5.0
wbv,0.0
lif,1.0
alc,6.0
wrr,4.0
pav,7.0
wmb,1.0
coc,6.0
cmn,5.0
mzh,5.0
eky,0.0
bgr,1.0
lbj,5.0
dhv,1.0
arh,1.0
bej,0.0
djk,0.0
ctm,0.0
sja,0.0
xbr,3.0
pma,1.0
ynk,0.0
ayz,0.0
tvl,1.0
ape,1.0
com,2.0
swh,0.0
mky,0.0
tnc,2.0
dgz,0.0
