ISO,Distributive_Numerals
gvo,1.0
luo,0.0
isk,2.0
mah,4.0
hix,1.0
cyb,2.0
bar,1.0
evn,2.0
isd,3.0
pav,1.0
ncg,3.0
lbt,1.0
arz,1.0
lbo,1.0
erg,2.0
wls,3.0
asm,0.0
mar,0.0
kbr,0.0
kij,1.0
min,0.0
gaa,0.0
tvl,5.0
omb,0.0
mal,0.0
gyd,4.0
kjh,2.0
yly,1.0
khq,0.0
gni,1.0
plt,6.0
yrk,2.0
bnc,4.0
mhy,0.0
sel,6.0
kmh,1.0
ain,6.0
yee,1.0
sjd,0.0
slr,1.0
zmi,0.0
tay,1.0
nia,0.0
aey,1.0
mdh,2.0
sza,1.0
jup,1.0
ksd,0.0
ksh,1.0
huz,0.0
pag,4.0
yux,1.0
dar,0.0
waw,6.0
bug,3.0
khk,2.0
kfq,0.0
tcz,0.0
spp,0.0
kut,1.0
xnz,0.0
lez,0.0
imn,1.0
kny,0.0
fuc,1.0
tsu,3.0
ivv,3.0
kan,0.0
nyo,0.0
kfa,0.0
tkr,4.0
eng,1.0
ani,0.0
nee,1.0
aka,0.0
kir,2.0
kca,2.0
com,0.0
bqc,0.0
mni,0.0
unr,0.0
gag,2.0
mdf,4.0
mrc,2.0
vma,1.0
nau,3.0
was,0.0
ntp,0.0
bxm,2.0
shp,1.0
oaa,4.0
rtm,1.0
bak,2.0
wep,1.0
pms,1.0
brh,0.0
sat,4.0
quz,2.0
btz,0.0
nmu,0.0
caq,3.0
ket,2.0
inh,0.0
fud,3.0
agx,4.0
ppl,0.0
tbw,3.0
rel,0.0
kat,0.0
wal,0.0
yue,1.0
ibg,3.0
yai,2.0
dgl,0.0
oss,2.0
wba,1.0
abk,4.0
yss,4.0
men,0.0
qvh,6.0
zmq,0.0
nkf,0.0
khr,0.0
pes,1.0
swh,0.0
haw,3.0
tao,3.0
afr,1.0
yor,0.0
lbe,0.0
jnj,0.0
kva,0.0
dbj,1.0
ydd,5.0
bod,0.0
tsi,3.0
kbk,0.0
amh,0.0
vkt,0.0
chv,2.0
grt,0.0
tbo,4.0
ckt,4.0
kas,0.0
bkd,3.0
zea,1.0
ami,1.0
irk,0.0
ayn,1.0
pck,0.0
cmn,1.0
kjg,1.0
kap,0.0
kru,0.0
hnn,3.0
myv,4.0
kwk,0.0
clo,1.0
mnc,2.0
ude,4.0
ale,2.0
bpr,3.0
tiw,2.0
sah,2.0
tsg,0.0
heb,1.0
nio,2.0
bwr,0.0
ncj,0.0
