ISO,Imperative-Hortative_Systems
jqr,1.0
ceb,2.0
vag,3.0
nuy,1.0
mam,0.0
erg,0.0
mbc,0.0
tig,0.0
abk,0.0
mrt,1.0
ppk,0.0
kcv,1.0
kwi,0.0
kat,0.0
chv,0.0
mlv,2.0
tzo,1.0
yrk,1.0
cku,1.0
cak,1.0
tnc,1.0
ram,0.0
heb,1.0
bak,1.0
sza,0.0
kio,0.0
hix,1.0
kup,0.0
vay,0.0
nez,1.0
zoc,0.0
fvr,0.0
jeb,1.0
pad,0.0
com,0.0
pit,0.0
kcn,1.0
ann,0.0
dyu,3.0
shp,0.0
rmn,1.0
cko,3.0
vma,0.0
wlo,0.0
gya,1.0
isl,0.0
cof,0.0
dgz,1.0
iai,0.0
one,1.0
amh,0.0
spp,3.0
mor,0.0
yux,1.0
bsk,0.0
waw,1.0
imn,0.0
kjg,0.0
sme,1.0
tri,0.0
mde,0.0
mpc,0.0
too,1.0
lgg,1.0
bor,0.0
kpt,0.0
ths,0.0
kng,1.0
ktz,1.0
oss,1.0
yaq,0.0
gbr,3.0
gui,0.0
laj,0.0
ijc,3.0
kyh,1.0
yii,1.0
log,1.0
hmt,1.0
ewe,0.0
nhg,1.0
kal,0.0
ayc,1.0
kan,1.0
est,1.0
kij,1.0
urb,0.0
nig,0.0
sja,0.0
crn,1.0
mrc,0.0
zul,1.0
aph,1.0
bmi,0.0
bem,0.0
tkr,0.0
pwn,0.0
oon,0.0
mnw,0.0
sue,0.0
nob,0.0
squ,0.0
nir,0.0
wol,1.0
tlj,3.0
tsz,0.0
kqz,1.0
tcb,1.0
mls,0.0
dih,0.0
snf,1.0
pqm,1.0
myp,1.0
hur,0.0
duf,0.0
kxu,1.0
skd,1.0
her,1.0
mur,0.0
krk,1.0
dav,1.0
cbs,0.0
sus,2.0
kjd,0.0
mrz,0.0
xal,1.0
aey,1.0
niy,1.0
kgs,0.0
gae,0.0
ibo,0.0
kdh,1.0
cld,0.0
bam,2.0
irk,1.0
knc,0.0
btx,1.0
lub,1.0
pma,0.0
nut,0.0
apy,0.0
zun,1.0
sin,0.0
yag,0.0
mlm,0.0
ape,0.0
mlt,0.0
bsn,1.0
kxv,0.0
mkj,1.0
plt,1.0
rap,1.0
ckt,1.0
ava,0.0
tzj,1.0
gmv,1.0
ker,2.0
mop,0.0
qvi,0.0
ote,0.0
mkd,1.0
ude,1.0
kig,1.0
kut,0.0
kjq,0.0
mjw,0.0
pom,0.0
gug,1.0
bxk,2.0
haw,1.0
iqu,3.0
eng,0.0
sjg,0.0
xsm,0.0
kun,1.0
sad,0.0
lol,1.0
yur,0.0
mnb,0.0
nav,0.0
amp,1.0
ket,0.0
ppl,0.0
apu,0.0
urk,0.0
snk,3.0
khk,1.0
ysr,1.0
liy,0.0
lzz,0.0
naq,1.0
trp,0.0
lez,0.0
aro,0.0
wyb,1.0
shk,0.0
luo,0.0
emp,0.0
nyj,2.0
esu,1.0
xsu,0.0
lin,2.0
gil,0.0
eky,1.0
caa,0.0
pes,3.0
huz,1.0
mdy,0.0
tml,0.0
gyd,0.0
swh,1.0
mkf,0.0
ain,0.0
xpe,2.0
dyo,1.0
ayo,0.0
mos,2.0
mar,1.0
kgo,1.0
knn,0.0
dgl,0.0
ses,2.0
guk,1.0
sna,1.0
mhr,0.0
otz,0.0
trv,0.0
akr,1.0
wti,0.0
mal,0.0
mig,0.0
mhu,0.0
shs,0.0
tll,2.0
brh,0.0
rma,3.0
cmn,0.0
kpw,1.0
dni,1.0
huu,0.0
lkt,0.0
awn,1.0
dhv,0.0
gni,1.0
noa,0.0
mev,3.0
hae,0.0
crk,0.0
idu,3.0
wnw,1.0
yky,2.0
set,1.0
lad,0.0
pay,0.0
lue,1.0
mzh,0.0
caq,1.0
pym,0.0
kdm,0.0
cop,0.0
lbe,1.0
sag,2.0
niv,1.0
mua,0.0
tlc,1.0
cha,0.0
pau,1.0
vot,1.0
teu,0.0
mww,0.0
nso,0.0
ekg,0.0
lbj,0.0
kln,1.0
chl,0.0
arh,0.0
cbi,0.0
myh,0.0
knf,0.0
ayz,0.0
bom,2.0
kfz,2.0
csz,3.0
acu,1.0
cle,3.0
