ISO,Voicing_and_Gaps_in_Plosive_Systems
kmo,1.0
bsk,0.0
kyh,1.0
new,0.0
beq,1.0
bao,0.0
bca,1.0
shp,1.0
pym,1.0
kio,0.0
yad,1.0
vam,1.0
laj,0.0
amu,1.0
lbe,0.0
thv,3.0
pad,0.0
myp,1.0
khb,2.0
ram,1.0
lua,2.0
yle,1.0
kbk,3.0
ewe,0.0
tsu,1.0
ote,0.0
jqr,1.0
guh,2.0
fwa,1.0
ape,0.0
pbh,1.0
mor,0.0
akz,1.0
ykg,0.0
gbr,0.0
roo,1.0
cja,1.0
btx,0.0
tli,1.0
bod,0.0
mzp,1.0
pjt,1.0
ntu,1.0
nmn,0.0
kjg,1.0
ncj,1.0
gum,1.0
cjv,3.0
mfc,0.0
yii,1.0
kfz,0.0
bib,0.0
kal,1.0
ctd,0.0
kpz,1.0
ayz,1.0
gaj,1.0
jic,1.0
bmi,0.0
wim,1.0
bev,0.0
tcy,0.0
huv,2.0
nrb,3.0
eya,1.0
dif,1.0
tiw,1.0
mdx,3.0
tem,2.0
bom,0.0
dru,0.0
dal,0.0
csz,0.0
kut,1.0
kup,0.0
hak,1.0
kca,1.0
gil,1.0
twf,0.0
bgr,2.0
fmp,3.0
vma,1.0
bej,3.0
ker,0.0
lut,0.0
cjh,1.0
imn,1.0
aqc,1.0
hix,2.0
yaq,1.0
irh,1.0
grj,0.0
ava,1.0
awn,0.0
inh,0.0
wmb,1.0
sef,0.0
kgo,1.0
mqs,0.0
con,0.0
yey,0.0
evn,0.0
brh,0.0
gyd,1.0
zul,1.0
nyp,1.0
agq,3.0
kat,1.0
noo,1.0
iai,0.0
wic,1.0
cgg,0.0
sel,1.0
nhu,3.0
knc,3.0
kjd,0.0
nie,0.0
gug,1.0
abk,0.0
tba,0.0
chl,1.0
amp,0.0
khq,3.0
yer,0.0
pma,1.0
sza,0.0
axb,1.0
yap,0.0
kpv,0.0
bam,0.0
pww,1.0
ano,2.0
woi,0.0
