ISO,Voicing_and_Gaps_in_Plosive_Systems
yrb,3.0
mpb,1.0
kbr,0.0
sue,0.0
ess,1.0
tml,1.0
irn,2.0
aer,1.0
bcs,0.0
faa,1.0
mhj,0.0
luo,0.0
sad,0.0
kun,3.0
sqt,3.0
eky,2.0
yrk,1.0
yuc,0.0
pbb,1.0
yva,2.0
nuy,1.0
mjg,0.0
haw,1.0
kas,0.0
duj,1.0
njo,1.0
huz,0.0
hnh,0.0
trg,0.0
ewo,3.0
grt,0.0
adz,0.0
nio,0.0
swi,2.0
amo,0.0
arl,1.0
rgr,0.0
bbl,1.0
eve,0.0
kek,1.0
cdo,1.0
pav,1.0
aka,0.0
yue,1.0
gqu,1.0
mwf,0.0
huu,3.0
ame,1.0
cku,1.0
cle,0.0
ses,3.0
ksw,1.0
spp,2.0
jru,1.0
apn,1.0
njz,0.0
dbl,1.0
zun,1.0
kln,1.0
apq,0.0
mrz,0.0
tbi,0.0
kan,0.0
ito,2.0
com,1.0
yee,1.0
mrc,1.0
pwa,0.0
tqw,1.0
sma,0.0
svs,1.0
ynn,0.0
wnw,2.0
xpe,0.0
pqm,1.0
mbl,1.0
lbj,0.0
prk,0.0
chp,1.0
skd,1.0
efi,4.0
arh,0.0
car,0.0
dta,0.0
see,1.0
crk,1.0
pay,1.0
ayc,1.0
tgc,1.0
ngi,0.0
shs,1.0
cbi,0.0
agm,1.0
tsg,0.0
yul,0.0
yua,1.0
shi,3.0
wrr,1.0
dnj,0.0
hop,1.0
pac,1.0
nab,1.0
zmr,1.0
etu,0.0
kff,0.0
daa,0.0
kbv,0.0
lbc,1.0
iwm,1.0
kpy,1.0
xtc,0.0
gaa,0.0
yur,1.0
mas,1.0
kru,0.0
kbh,0.0
teq,0.0
wnc,1.0
rut,0.0
dip,0.0
bcj,1.0
chv,0.0
aro,2.0
bzd,0.0
wiy,1.0
kbd,0.0
wnu,1.0
nez,1.0
tma,3.0
gvn,1.0
teh,2.0
dts,0.0
cyb,2.0
alh,1.0
byx,1.0
nav,1.0
bmr,0.0
fun,1.0
tun,0.0
nxq,0.0
mig,1.0
daj,0.0
xsu,1.0
kpm,0.0
djk,0.0
itl,1.0
qui,0.0
srb,0.0
lhu,0.0
plt,0.0
rap,1.0
ckt,1.0
lgg,0.0
tsi,0.0
tiy,3.0
uzn,0.0
nas,1.0
squ,1.0
mzh,1.0
alc,1.0
ycn,1.0
jao,1.0
hmt,1.0
ain,1.0
aal,0.0
slc,0.0
ttr,0.0
kac,0.0
tna,2.0
mto,1.0
lez,0.0
zne,0.0
lme,0.0
dhv,0.0
kna,0.0
aht,1.0
mzm,0.0
cic,1.0
mrt,0.0
kjq,1.0
chq,1.0
ygr,0.0
sag,0.0
kwi,1.0
wyb,1.0
chr,1.0
nyi,3.0
pon,1.0
oru,0.0
naq,1.0
top,1.0
bor,0.0
guc,1.0
anc,0.0
ood,0.0
mwp,0.0
dyo,0.0
one,1.0
myh,2.0
niy,0.0
tpm,0.0
pes,0.0
kwk,0.0
kss,1.0
ket,4.0
jeb,1.0
swh,0.0
mtg,4.0
mpc,1.0
ncb,1.0
mps,1.0
nir,0.0
sed,1.0
mnc,0.0
cbv,1.0
rro,1.0
mhz,1.0
bak,0.0
tel,0.0
nut,1.0
khr,0.0
iso,0.0
lui,1.0
guq,1.0
cbn,2.0
acv,1.0
gld,0.0
wrk,1.0
dow,0.0
tsz,0.0
mni,0.0
hus,1.0
oca,1.0
gbp,0.0
srq,0.0
xaw,2.0
nhg,1.0
rma,0.0
amf,0.0
cmn,1.0
wap,1.0
ald,0.0
niv,1.0
gwc,0.0
irk,0.0
ona,1.0
lkt,1.0
fia,3.0
khl,1.0
quh,1.0
klu,2.0
unr,0.0
ign,2.0
kpk,0.0
gni,1.0
coc,1.0
tcf,0.0
kwd,1.0
hae,3.0
xom,0.0
khm,1.0
pcc,2.0
blc,1.0
wol,0.0
kir,0.0
wuu,1.0
ibo,0.0
sin,0.0
cad,2.0
lef,0.0
bbc,0.0
lue,1.0
yss,1.0
kpw,1.0
shg,0.0
ekg,2.0
gmo,3.0
auc,0.0
snv,0.0
slz,0.0
ijc,0.0
mde,3.0
mph,1.0
apu,1.0
brb,1.0
cub,2.0
dag,0.0
yor,3.0
kmc,1.0
dry,0.0
pom,2.0
wti,1.0
jeh,0.0
pst,0.0
bbo,0.0
shb,1.0
kfe,0.0
maq,1.0
hup,1.0
ndv,0.0
lep,0.0
mur,0.0
som,3.0
bdl,0.0
dgz,0.0
tca,0.0
dni,1.0
tlo,1.0
amc,1.0
ikx,0.0
ogb,0.0
ung,1.0
cou,0.0
cha,0.0
wao,0.0
pwn,0.0
urb,1.0
ctp,0.0
spl,1.0
wrs,1.0
zoc,1.0
