ISO,N-M_Pronouns
aer,0.0
wnu,0.0
vam,1.0
gyd,0.0
crk,0.0
grj,2.0
kmn,0.0
ras,0.0
yux,0.0
tml,2.0
inh,0.0
mas,0.0
tjm,0.0
hix,0.0
nrb,0.0
ung,0.0
yad,0.0
ayz,0.0
huv,0.0
pad,0.0
spp,1.0
ket,0.0
miq,1.0
amh,0.0
wnd,0.0
had,0.0
kzw,0.0
hae,0.0
rap,0.0
cid,1.0
kut,0.0
xsu,0.0
mpb,0.0
dni,0.0
bod,0.0
qui,0.0
knc,2.0
jqr,2.0
gld,0.0
mzh,1.0
anz,0.0
mrc,0.0
vma,0.0
skd,2.0
ctm,0.0
ain,0.0
nfl,0.0
tli,0.0
gug,0.0
tkm,0.0
oss,0.0
ncz,0.0
aey,0.0
ram,0.0
yuc,0.0
wsk,0.0
gym,0.0
pav,1.0
xok,1.0
bsk,0.0
gbp,0.0
ote,0.0
lvk,0.0
plt,0.0
wao,0.0
byw,0.0
abk,0.0
naq,0.0
chv,0.0
lez,0.0
wyb,0.0
bkl,0.0
nig,0.0
wrr,0.0
saj,0.0
khk,0.0
sag,0.0
tun,2.0
gcd,0.0
eng,0.0
aqp,0.0
sht,0.0
ape,0.0
tqw,0.0
kio,1.0
mig,0.0
auc,0.0
ckt,0.0
mpc,0.0
ppl,1.0
mco,1.0
sln,0.0
tiw,0.0
kgo,0.0
wiy,0.0
itl,0.0
yrk,0.0
ood,1.0
ses,0.0
squ,0.0
myp,0.0
wic,0.0
tya,0.0
kjq,0.0
nuy,0.0
pei,0.0
peb,0.0
kwi,0.0
csz,0.0
was,0.0
mni,0.0
tmu,0.0
kat,0.0
set,0.0
gni,0.0
caq,0.0
tlf,0.0
jiv,0.0
git,2.0
niv,0.0
unr,0.0
lkt,0.0
pes,0.0
tzj,0.0
yur,2.0
bsn,0.0
siw,0.0
nll,0.0
zoc,0.0
arz,0.0
swh,0.0
mph,0.0
pue,2.0
duj,0.0
yaq,1.0
pwn,0.0
ntj,0.0
nab,0.0
tea,0.0
ynk,0.0
one,0.0
rma,1.0
tsz,0.0
kpw,0.0
cbs,1.0
imn,0.0
apu,0.0
kyh,1.0
yor,0.0
bmi,0.0
noo,0.0
inz,0.0
fub,0.0
amp,0.0
urf,0.0
wac,1.0
cmn,0.0
qvi,0.0
kjd,0.0
wnw,1.0
jig,0.0
zun,0.0
cyb,0.0
ace,0.0
dgz,0.0
tzm,2.0
dif,0.0
wbk,0.0
cha,0.0
chd,1.0
ktz,0.0
dbl,0.0
kal,0.0
bej,0.0
top,0.0
fvr,0.0
