ISO,Voicing_in_Plosives_and_Fricatives
snv,0.0
slz,0.0
ijc,2.0
mde,2.0
mph,1.0
apu,1.0
brb,1.0
cub,0.0
dag,2.0
yor,0.0
kmc,1.0
dry,0.0
pom,0.0
wti,1.0
jeh,0.0
pst,2.0
bbo,2.0
shb,1.0
kfe,0.0
maq,3.0
hup,1.0
ndv,0.0
lep,2.0
mur,0.0
som,0.0
bdl,0.0
dgz,0.0
tca,0.0
dni,1.0
tlo,1.0
amc,1.0
ikx,2.0
ogb,2.0
ung,1.0
cou,2.0
cha,0.0
wao,0.0
pwn,2.0
urb,1.0
ctp,0.0
spl,1.0
wrs,1.0
zoc,1.0
