ISO,Asymmetrical_Case-Marking
ewe,1.0
hix,1.0
kyh,4.0
bam,1.0
esu,3.0
zul,1.0
mig,1.0
kmc,1.0
urb,1.0
rma,3.0
cgg,1.0
alc,0.0
dgl,0.0
wrr,2.0
kij,1.0
kjg,1.0
brh,0.0
squ,3.0
inh,3.0
ona,0.0
wnu,2.0
unr,0.0
pad,4.0
btx,1.0
ibo,1.0
mad,1.0
shp,2.0
chv,0.0
som,0.0
amp,0.0
kgo,3.0
huv,2.0
pma,1.0
ckt,4.0
laj,1.0
tml,1.0
bsn,0.0
mph,2.0
grj,1.0
evn,0.0
tun,0.0
lue,1.0
crk,0.0
zun,2.0
irk,0.0
kio,0.0
nav,1.0
wnw,2.0
yux,2.0
plt,2.0
lkt,1.0
naq,0.0
ain,0.0
mwp,5.0
kjq,1.0
eky,1.0
kpw,2.0
ame,0.0
mal,0.0
huz,3.0
mpc,5.0
zmr,2.0
tpy,0.0
amh,0.0
tiw,1.0
sue,2.0
cle,1.0
ayc,0.0
aey,1.0
kfz,1.0
gyd,0.0
kng,1.0
bej,3.0
khm,1.0
nuy,2.0
tsi,2.0
rap,1.0
nez,0.0
cku,0.0
yor,1.0
dyo,1.0
csz,0.0
wyb,5.0
khk,0.0
tks,2.0
kca,2.0
spp,0.0
gug,1.0
ker,0.0
ale,4.0
pqm,4.0
lez,3.0
vma,3.0
fla,0.0
wmb,5.0
mrz,1.0
set,1.0
yur,2.0
kan,0.0
wic,0.0
skd,0.0
kos,1.0
pst,2.0
eng,2.0
was,2.0
mde,0.0
wba,2.0
ekg,2.0
one,1.0
mni,0.0
tli,2.0
myp,0.0
ung,4.0
bsk,2.0
kas,4.0
mtg,2.0
kha,1.0
mrc,0.0
fub,1.0
ram,1.0
yrk,4.0
isl,3.0
kut,1.0
car,1.0
udm,0.0
kat,4.0
zoc,0.0
qvi,0.0
mur,4.0
sme,2.0
axb,1.0
urd,2.0
apu,0.0
tzm,4.0
lvk,1.0
abk,0.0
chl,0.0
ses,2.0
yee,4.0
est,0.0
hto,0.0
dni,0.0
pes,0.0
hae,4.0
imn,0.0
lbe,0.0
niy,2.0
heb,1.0
pan,3.0
ktz,1.0
tvl,1.0
pjt,5.0
ctg,4.0
sin,0.0
sag,1.0
gni,2.0
nhg,1.0
niv,0.0
iai,1.0
otm,1.0
hmt,3.0
bmi,1.0
kwi,4.0
yii,5.0
cha,1.0
yad,0.0
pom,0.0
arl,0.0
mpb,2.0
bgr,0.0
pav,1.0
gil,1.0
myv,0.0
cmn,1.0
mzh,1.0
lbj,0.0
cyb,0.0
lep,2.0
dhv,1.0
arh,0.0
sza,2.0
djk,1.0
boi,1.0
sja,0.0
grt,0.0
tcx,0.0
ayz,0.0
ude,0.0
ape,1.0
com,4.0
swh,1.0
mky,1.0
pau,1.0
dgz,2.0
