ISO,Inclusive/Exclusive_Distinction_in_Verbal_Inflection
nav,0.0
kij,2.0
urb,0.0
laj,0.0
zul,0.0
yux,0.0
yaq,1.0
plt,1.0
arz,0.0
irk,0.0
squ,0.0
huz,1.0
rma,0.0
ain,2.0
lue,0.0
lep,1.0
kun,2.0
tml,0.0
aro,1.0
aey,0.0
unr,2.0
ibo,1.0
pom,1.0
khm,1.0
yur,0.0
tiw,2.0
eky,1.0
myh,0.0
bsn,1.0
kio,2.0
rap,1.0
skd,2.0
yor,1.0
kjq,3.0
hmt,0.0
inh,1.0
khk,1.0
xsu,1.0
pjt,1.0
spp,1.0
gug,2.0
tpy,1.0
pqm,4.0
amp,0.0
mpc,2.0
lez,1.0
tsi,0.0
vma,1.0
ket,0.0
wrr,2.0
btx,1.0
kan,0.0
crk,4.0
bej,0.0
eng,3.0
ayc,4.0
wnu,0.0
one,2.0
mni,1.0
pma,2.0
naq,1.0
myp,1.0
brh,0.0
hix,2.0
bsk,0.0
ung,2.0
kha,1.0
ewe,1.0
pad,0.0
mrc,3.0
yrk,0.0
shp,1.0
cgg,0.0
ona,1.0
sue,2.0
ram,4.0
bgr,1.0
cku,0.0
pwn,1.0
wyb,1.0
ekg,0.0
dgl,0.0
mur,3.0
wic,4.0
huu,0.0
kyh,0.0
dyo,2.0
qvi,0.0
evn,2.0
nez,3.0
kat,3.0
esu,0.0
apu,0.0
lkt,0.0
tzm,0.0
kfz,1.0
lvk,2.0
gyd,1.0
abk,0.0
kut,3.0
wba,1.0
gil,1.0
chl,0.0
ses,1.0
yee,0.0
set,0.0
wmb,1.0
dni,0.0
pes,0.0
mrz,0.0
cle,0.0
hae,0.0
imn,1.0
bam,1.0
zmr,2.0
heb,0.0
ktz,1.0
lbj,1.0
kjg,1.0
fvr,0.0
mtg,0.0
sag,1.0
gni,2.0
nhg,0.0
niv,1.0
alc,1.0
bmi,1.0
kwi,3.0
yii,1.0
cha,1.0
yad,2.0
bzd,1.0
cyb,2.0
pav,2.0
axb,3.0
cmn,1.0
mzh,3.0
ker,1.0
niy,4.0
yuc,2.0
dhv,1.0
arh,0.0
sza,4.0
djk,1.0
sja,1.0
grt,1.0
otz,3.0
ayz,0.0
ape,0.0
com,1.0
swh,0.0
mky,2.0
dgz,3.0
