ISO,Comparative_Constructions
lez,0.0
dga,2.0
ahg,0.0
unr,0.0
bae,0.0
nus,0.0
nya,2.0
ckt,0.0
zul,2.0
mxk,1.0
heb,0.0
quz,0.0
car,0.0
apy,1.0
sln,0.0
ood,3.0
eng,3.0
yor,2.0
skd,0.0
ski,1.0
mpc,1.0
ary,0.0
ano,0.0
uby,0.0
hix,1.0
ogo,2.0
pav,1.0
ibo,2.0
miq,1.0
kgs,1.0
kfz,2.0
mnb,1.0
srn,3.0
kal,0.0
nuy,1.0
tvl,0.0
kpw,1.0
llp,2.0
ape,1.0
ogu,2.0
gfk,1.0
axb,1.0
evn,0.0
eve,0.0
sis,0.0
urb,1.0
wol,2.0
khm,2.0
gug,0.0
run,2.0
shp,1.0
jae,1.0
plt,3.0
amh,0.0
bfa,2.0
ceb,0.0
spu,2.0
swh,2.0
bsk,0.0
mlt,0.0
kat,0.0
naq,0.0
com,3.0
guc,3.0
kab,0.0
khk,0.0
udm,0.0
dua,2.0
ale,0.0
par,3.0
aer,0.0
yag,2.0
tsz,0.0
pib,0.0
tel,0.0
mib,1.0
liy,2.0
lzz,0.0
nmf,0.0
ayc,0.0
gbp,2.0
yij,1.0
kas,0.0
mez,1.0
xas,0.0
mar,0.0
gae,1.0
pad,1.0
crd,0.0
yap,0.0
lif,0.0
nso,2.0
yrk,0.0
huz,0.0
txu,1.0
cmn,2.0
ekg,1.0
rap,0.0
aey,2.0
myp,1.0
klb,1.0
meu,1.0
sat,0.0
kjh,0.0
myb,2.0
lin,2.0
sna,2.0
bgq,0.0
lkt,1.0
pau,0.0
dag,2.0
arb,0.0
kgo,0.0
bfw,0.0
mrt,2.0
kbk,1.0
