ISO,Order_of_Adposition_and_Noun_Phrase
buh,3.0
rmt,1.0
csz,0.0
gni,4.0
zun,0.0
aia,1.0
skj,0.0
sur,1.0
mmn,1.0
kbx,0.0
gvo,0.0
pes,1.0
pwu,0.0
pav,1.0
ddo,0.0
drd,0.0
saj,1.0
myb,2.0
zen,1.0
ifb,1.0
ntj,0.0
ncb,1.0
amr,0.0
eve,0.0
klb,3.0
ntp,0.0
tuo,0.0
lep,0.0
aom,0.0
kin,1.0
tvt,0.0
naf,0.0
dis,0.0
kir,0.0
njh,0.0
pqm,1.0
eky,2.0
bin,1.0
aie,1.0
wme,0.0
yag,0.0
kah,1.0
adz,1.0
suq,0.0
sll,0.0
had,1.0
dgl,0.0
mau,1.0
kig,0.0
tsi,1.0
bdh,1.0
siz,1.0
gbp,1.0
xbi,1.0
dru,1.0
wiy,2.0
tui,1.0
puw,1.0
ung,0.0
mas,1.0
luo,1.0
mhu,0.0
mqs,1.0
slp,2.0
coe,0.0
sce,0.0
nfl,1.0
nal,1.0
jei,0.0
niy,0.0
lti,1.0
raw,0.0
lub,1.0
mhs,1.0
mqy,1.0
myu,0.0
lbe,0.0
crn,0.0
khw,0.0
dhi,0.0
kyc,0.0
ury,0.0
mbj,0.0
wwr,4.0
bvx,1.0
acv,1.0
tcz,0.0
srb,0.0
uwa,0.0
itl,3.0
heh,1.0
mdd,1.0
thp,1.0
cgg,1.0
opt,0.0
crw,1.0
ami,1.0
djj,0.0
dds,0.0
cid,0.0
sbf,0.0
fuu,2.0
adx,0.0
sed,1.0
kny,1.0
msu,1.0
apr,1.0
chr,0.0
ocu,1.0
yle,0.0
acn,0.0
kot,1.0
mhi,0.0
dip,2.0
aqp,0.0
mbb,1.0
erk,1.0
tfr,0.0
mil,1.0
yul,1.0
nut,1.0
mqf,0.0
kwa,0.0
lww,1.0
kpm,1.0
kqz,0.0
nyn,1.0
diz,1.0
hei,1.0
chc,0.0
moj,1.0
apt,0.0
gbu,0.0
are,0.0
xed,1.0
lhm,0.0
mua,1.0
bvz,0.0
kab,1.0
kwy,1.0
shp,0.0
pbb,0.0
blb,0.0
nga,1.0
lhu,0.0
rif,1.0
rap,1.0
aca,0.0
aer,0.0
duc,0.0
sdg,0.0
clk,0.0
ywr,4.0
hem,1.0
ilb,1.0
inh,0.0
ywt,0.0
ude,0.0
bqp,0.0
gru,2.0
udl,1.0
mna,1.0
uli,1.0
brb,1.0
knm,0.0
buu,1.0
aka,2.0
ndv,1.0
khg,0.0
szg,1.0
nak,1.0
dim,0.0
kki,1.0
tel,0.0
lez,0.0
mdm,1.0
sku,1.0
wos,0.0
sid,0.0
arb,1.0
dud,1.0
ajg,0.0
gqa,1.0
npa,0.0
arh,0.0
bdu,1.0
bcm,1.0
kxv,0.0
ykg,0.0
dga,0.0
kwi,0.0
wyb,3.0
lil,1.0
kfy,0.0
yap,1.0
tun,0.0
naq,0.0
ady,0.0
ygr,0.0
amc,0.0
stp,0.0
woe,1.0
tna,0.0
des,0.0
hna,1.0
aty,1.0
taq,1.0
osa,0.0
tli,0.0
sag,1.0
tac,2.0
mec,1.0
cyb,1.0
ngc,1.0
ogu,1.0
wib,0.0
bsp,0.0
kio,3.0
mfr,0.0
swh,1.0
mtg,0.0
mpc,1.0
bdr,1.0
kgj,0.0
kca,0.0
sjr,1.0
ttr,1.0
dhr,3.0
kue,0.0
qvi,0.0
duu,0.0
mnc,0.0
nmd,1.0
kyq,2.0
ycn,0.0
guc,1.0
bqc,0.0
sun,1.0
buf,1.0
bcq,0.0
kzw,1.0
bbc,1.0
huc,2.0
rwa,2.0
cop,1.0
owi,0.0
pau,1.0
mbc,0.0
emi,1.0
hid,0.0
cco,1.0
tmu,0.0
nyi,0.0
for,0.0
lrg,0.0
com,0.0
agt,1.0
mhr,0.0
cmn,2.0
rng,1.0
tft,1.0
ahk,0.0
xmu,0.0
kha,1.0
bav,1.0
lkt,0.0
mcf,0.0
guh,0.0
cak,1.0
zai,1.0
van,0.0
mzb,1.0
kpy,0.0
mky,1.0
snf,1.0
psa,0.0
diq,0.0
kmo,0.0
aar,0.0
tvl,1.0
hae,0.0
pip,1.0
rou,0.0
kld,3.0
shs,1.0
haw,1.0
mco,1.0
ayz,1.0
agg,0.0
ynd,0.0
urk,1.0
moz,1.0
lmn,0.0
yuj,0.0
est,0.0
yuf,0.0
kbp,1.0
srs,0.0
hac,1.0
vnm,1.0
khd,0.0
tgc,1.0
ywq,0.0
cbr,0.0
mzp,1.0
bnc,1.0
mbl,0.0
tdh,0.0
njo,0.0
cha,1.0
mlq,0.0
mjg,0.0
kgg,0.0
ann,1.0
bbo,0.0
fut,1.0
num,1.0
zmr,0.0
bli,1.0
yii,3.0
bae,0.0
lun,1.0
grt,0.0
trr,0.0
gww,0.0
