ISO,Numeral_Classifiers
evn,0.0
abt,0.0
lrc,2.0
mas,0.0
sza,1.0
cyb,0.0
kat,0.0
xam,0.0
mra,1.0
gni,0.0
min,2.0
quz,0.0
ami,0.0
kyh,0.0
pav,0.0
wro,0.0
kgj,1.0
xpe,0.0
skd,0.0
yii,0.0
mhq,0.0
irk,0.0
mdr,2.0
mak,2.0
qvi,0.0
bqc,1.0
csh,1.0
tao,0.0
dar,0.0
los,1.0
dhv,0.0
nav,0.0
heb,0.0
yrk,0.0
mkf,0.0
abk,0.0
nas,0.0
gcc,0.0
dbj,2.0
kvo,2.0
brh,0.0
jhi,2.0
pia,0.0
xxk,1.0
nuy,0.0
tsz,1.0
tlf,0.0
zun,0.0
chk,1.0
tfr,1.0
laj,0.0
gug,0.0
tcc,0.0
gcd,0.0
jic,0.0
djd,0.0
sdm,1.0
chb,0.0
tsu,0.0
arw,0.0
tvu,0.0
cha,0.0
cja,1.0
grt,1.0
bfw,1.0
ayz,2.0
cnh,1.0
kfe,0.0
lkt,0.0
paw,0.0
ras,0.0
pao,0.0
gww,0.0
kge,2.0
kjd,0.0
pad,0.0
had,2.0
lif,0.0
zul,0.0
spp,0.0
crx,1.0
nmn,0.0
eky,1.0
wyb,0.0
hix,0.0
mlu,2.0
wau,2.0
kfz,0.0
yss,0.0
kan,0.0
pib,0.0
lbo,1.0
dgl,0.0
new,1.0
amr,0.0
jiv,0.0
byw,1.0
trv,0.0
khr,2.0
tsi,1.0
arh,0.0
lti,0.0
set,0.0
wac,0.0
gil,1.0
sua,0.0
inh,0.0
tiw,0.0
mpc,0.0
teu,1.0
mal,0.0
btx,2.0
mhd,0.0
nll,0.0
wnw,0.0
dru,0.0
sin,0.0
tun,0.0
mww,1.0
nee,1.0
glk,2.0
ksd,0.0
nyo,0.0
lbt,1.0
cnk,1.0
sll,0.0
aqp,0.0
ava,0.0
ain,2.0
kpr,0.0
wib,1.0
fut,0.0
mar,0.0
alo,1.0
asm,1.0
auc,1.0
bvv,1.0
mhe,2.0
pid,2.0
acy,0.0
wrk,0.0
xbr,1.0
chx,2.0
sis,0.0
plu,1.0
aey,0.0
qui,0.0
aph,1.0
arv,0.0
kmn,0.0
pdo,2.0
cul,0.0
ngi,0.0
nhg,0.0
kva,0.0
vma,0.0
amh,0.0
wbj,0.0
mrt,0.0
uli,1.0
mdx,0.0
kgr,1.0
men,0.0
ssw,0.0
kpw,0.0
pab,0.0
mky,1.0
uur,0.0
kjg,1.0
tea,0.0
crk,0.0
jig,0.0
plt,0.0
mrc,0.0
yux,0.0
tay,0.0
ary,0.0
top,1.0
caq,2.0
tks,2.0
xsu,2.0
yuc,0.0
kmg,0.0
ctm,0.0
thp,2.0
luo,0.0
ram,0.0
yue,1.0
vaf,2.0
myv,0.0
miq,0.0
ckt,0.0
mrd,0.0
vam,0.0
kei,1.0
lez,0.0
eng,0.0
kyl,1.0
kys,2.0
yly,1.0
lhu,1.0
kfq,0.0
jup,0.0
mzn,2.0
snn,2.0
cdm,0.0
chv,0.0
see,0.0
khq,0.0
myp,0.0
mym,0.0
shp,0.0
erg,0.0
hvn,1.0
yad,1.0
rap,0.0
nau,1.0
khk,0.0
kzi,0.0
sot,0.0
kyx,0.0
knc,0.0
cjm,1.0
nyv,0.0
qvh,0.0
boa,2.0
tvl,2.0
djk,0.0
mpb,0.0
jqr,0.0
pes,2.0
khm,2.0
swh,0.0
was,0.0
mig,0.0
zmq,0.0
smr,1.0
gld,0.0
wbk,0.0
clo,1.0
dga,0.0
alp,1.0
dny,0.0
yua,1.0
nrm,2.0
ore,2.0
inz,0.0
wnd,0.0
sln,0.0
niv,1.0
kbk,0.0
sat,2.0
arl,0.0
tqw,0.0
sja,0.0
cmn,1.0
mph,0.0
ung,0.0
boi,0.0
amp,0.0
pbh,0.0
sue,0.0
ktz,0.0
gbu,0.0
sht,0.0
hae,0.0
tli,1.0
pei,0.0
kpv,0.0
lnd,2.0
kla,0.0
mel,2.0
gvo,0.0
kij,1.0
kio,0.0
urf,0.0
aia,0.0
bth,2.0
omb,0.0
bxm,0.0
yee,0.0
imn,0.0
tue,1.0
loy,0.0
bsk,0.0
ter,0.0
ogo,1.0
myu,0.0
tuo,2.0
piv,2.0
oca,2.0
npy,2.0
kos,1.0
tvo,2.0
cho,0.0
dbl,0.0
ibo,0.0
mbe,0.0
yia,0.0
yap,2.0
tuh,0.0
yor,0.0
aij,0.0
kjq,0.0
lgg,0.0
cbt,2.0
ood,0.0
