ISO,Alignment_of_Verbal_Person_Marking
iqu,0.0
spl,0.0
ijc,0.0
gym,1.0
gyd,1.0
wnu,0.0
wyb,2.0
ain,2.0
ppl,0.0
qui,0.0
cgg,0.0
ktz,1.0
avt,0.0
mig,0.0
kjq,3.0
tsu,3.0
yrk,0.0
tkm,0.0
cub,0.0
zul,0.0
nhg,0.0
gde,1.0
abk,4.0
rma,0.0
bam,1.0
mrz,0.0
crn,0.0
xok,1.0
mdx,0.0
kat,0.0
kfz,0.0
hvn,1.0
mph,0.0
cop,0.0
tpy,4.0
cav,4.0
heb,0.0
kgo,1.0
adz,1.0
kjc,4.0
khl,0.0
had,0.0
irk,0.0
chl,0.0
fvr,0.0
bfa,1.0
bej,0.0
aro,1.0
tya,0.0
khm,1.0
mra,1.0
acv,0.0
yux,0.0
plu,0.0
cir,0.0
tqw,3.0
sis,0.0
zab,0.0
tsi,2.0
imn,1.0
brh,0.0
kal,0.0
spp,1.0
nas,3.0
unr,0.0
knc,0.0
yor,1.0
mbq,0.0
mbj,4.0
lue,0.0
hmt,0.0
kan,0.0
teu,0.0
kos,0.0
kha,0.0
zun,1.0
mrc,0.0
mte,0.0
kyh,5.0
set,0.0
bzd,1.0
mtg,0.0
ung,2.0
erg,0.0
ket,3.0
ude,0.0
yaq,1.0
jqr,0.0
yle,2.0
myh,0.0
laj,0.0
mfe,1.0
mky,3.0
ewe,0.0
tml,0.0
miq,0.0
inh,1.0
bsn,0.0
lbe,4.0
grj,1.0
bsk,2.0
pav,0.0
wti,0.0
xsu,1.0
kmc,1.0
sue,0.0
dgl,0.0
dta,0.0
shp,1.0
dga,1.0
lep,1.0
jic,0.0
eky,1.0
nsm,0.0
gae,3.0
alc,1.0
gil,0.0
gcd,2.0
wrr,0.0
amp,0.0
was,2.0
lif,5.0
kas,2.0
kun,0.0
tvo,0.0
wnw,0.0
sza,2.0
coo,0.0
gpn,2.0
nyv,0.0
tsz,0.0
wsk,0.0
tfr,2.0
yuc,3.0
xaw,5.0
aey,0.0
yur,0.0
axb,0.0
bfw,0.0
csz,0.0
poe,2.0
gld,0.0
skd,0.0
sja,1.0
ckt,2.0
yee,2.0
ndo,0.0
ote,0.0
wao,1.0
lkr,4.0
zmr,0.0
auc,0.0
arw,3.0
mni,1.0
ame,3.0
kio,5.0
pay,0.0
nuy,5.0
kmn,1.0
wba,0.0
khq,1.0
plt,1.0
lkt,3.0
naq,0.0
ace,3.0
dyo,0.0
sll,0.0
cyb,2.0
xom,0.0
kpw,0.0
btx,0.0
noo,0.0
tgc,0.0
crw,1.0
nez,2.0
mpc,0.0
dni,0.0
bds,0.0
nab,0.0
kjg,1.0
tiw,0.0
hux,0.0
tli,3.0
tay,4.0
eng,0.0
byn,0.0
ard,1.0
cbu,0.0
crk,5.0
tnc,0.0
kcr,0.0
nig,2.0
sun,1.0
dhv,1.0
ekg,0.0
squ,0.0
rap,1.0
gvs,0.0
cku,3.0
lbj,1.0
ram,4.0
urf,1.0
wac,2.0
khk,1.0
ktn,4.0
mnb,0.0
tlc,0.0
gug,3.0
nak,0.0
zne,0.0
ntp,0.0
lez,1.0
grt,1.0
vma,1.0
snf,0.0
mbc,4.0
wms,0.0
cdm,5.0
sln,0.0
ibo,1.0
wic,3.0
bor,0.0
pjt,0.0
amh,0.0
pes,0.0
one,3.0
swh,0.0
wmb,2.0
myp,0.0
pam,4.0
cao,0.0
saj,0.0
nam,0.0
myb,0.0
mpb,0.0
mqs,0.0
aqp,2.0
tbo,0.0
srm,1.0
pnw,0.0
nup,1.0
mzm,1.0
pom,1.0
kut,0.0
lln,0.0
sur,0.0
aty,0.0
zoc,0.0
qvi,0.0
cmn,1.0
apu,3.0
tzm,0.0
kgr,1.0
lvk,0.0
hnh,0.0
ses,1.0
mzh,0.0
trc,0.0
ksd,0.0
hae,0.0
yii,1.0
hur,2.0
tzj,4.0
crh,0.0
mur,0.0
kaq,0.0
gdo,1.0
gni,0.0
niv,1.0
kln,0.0
bav,1.0
tcs,1.0
yap,0.0
nmu,0.0
bmi,0.0
kwi,5.0
oss,0.0
mls,0.0
cha,4.0
uur,0.0
lhu,1.0
moh,3.0
fub,0.0
yok,1.0
men,1.0
bdy,1.0
pqm,5.0
bgr,0.0
ker,0.0
arh,3.0
djk,1.0
vam,0.0
pma,0.0
xuo,1.0
ayz,0.0
pau,0.0
ape,3.0
com,0.0
bee,0.0
dgz,0.0
