ISO,Multiple_Negative_Constructions_in_SVO_Languages
mgw,6.0
cas,2.0
shy,0.0
ach,13.0
dhv,23.0
bdr,11.0
cir,4.0
twf,17.0
wol,9.0
saj,6.0
agq,1.0
apc,0.0
lac,8.0
xwg,10.0
apu,2.0
tob,5.0
btx,0.0
isl,1.0
mzh,9.0
ngo,7.0
led,19.0
kij,8.0
mbj,15.0
ndt,10.0
tpy,25.0
ajg,27.0
suq,12.0
mdj,16.0
tqw,21.0
avt,18.0
gdq,20.0
tee,0.0
niy,22.0
nob,1.0
bzr,14.0
nse,7.0
