ISO,Perfective/Imperfective_Aspect
tml,0.0
bfa,0.0
wal,1.0
knc,1.0
arz,1.0
aly,1.0
awn,0.0
yaq,1.0
cao,1.0
wba,0.0
zun,0.0
lao,0.0
ood,1.0
rel,1.0
wol,0.0
hla,0.0
ckt,1.0
shs,1.0
byx,1.0
yux,0.0
plt,1.0
mzh,0.0
mpc,0.0
bej,1.0
yue,1.0
yad,1.0
amp,1.0
mev,0.0
myh,1.0
cdm,1.0
ceb,1.0
aey,0.0
pan,1.0
nak,1.0
pag,1.0
lue,0.0
alh,1.0
cku,0.0
tiw,0.0
yua,1.0
som,0.0
ygr,1.0
aeb,1.0
rap,0.0
uig,1.0
lhu,0.0
yor,0.0
toj,1.0
yss,0.0
caq,0.0
khk,0.0
spp,1.0
gug,0.0
tpi,0.0
lez,1.0
vma,0.0
dni,1.0
udm,0.0
moe,0.0
kan,0.0
cnh,0.0
raw,0.0
eng,0.0
cod,0.0
ape,0.0
kio,1.0
mni,0.0
isl,0.0
naq,1.0
myp,1.0
did,0.0
cpa,0.0
hix,1.0
bsk,1.0
sba,1.0
kjq,0.0
bsn,0.0
zoc,1.0
mrc,0.0
chy,0.0
sza,0.0
gym,1.0
kdh,1.0
bdy,1.0
ram,0.0
sue,0.0
sot,1.0
chk,1.0
wic,1.0
ewe,0.0
wyb,0.0
kut,0.0
tir,0.0
meu,0.0
sag,0.0
hwc,1.0
dru,1.0
jiv,0.0
axb,0.0
gni,0.0
evn,1.0
afr,0.0
kat,1.0
bzq,0.0
apu,0.0
lkt,0.0
crk,0.0
ses,1.0
lvk,0.0
gyd,0.0
abk,1.0
gvn,0.0
aro,0.0
kyh,0.0
quh,0.0
ons,0.0
kjg,0.0
pes,1.0
hae,1.0
mph,1.0
thv,1.0
enn,1.0
heb,0.0
pwn,0.0
nir,0.0
mlt,1.0
wro,1.0
bpu,0.0
one,1.0
rma,0.0
tig,0.0
niv,0.0
hrc,0.0
imn,1.0
kwi,1.0
amh,0.0
cha,1.0
bmi,1.0
upv,0.0
cab,1.0
pav,0.0
avu,1.0
bgp,0.0
cmn,1.0
qvi,0.0
mwe,1.0
tuo,0.0
ktd,0.0
nmu,0.0
haw,1.0
tah,1.0
brh,1.0
tzm,1.0
bxm,1.0
its,0.0
ayz,0.0
ktz,1.0
aka,1.0
swh,0.0
dyo,0.0
mrt,1.0
