ISO,Locus_of_Marking_in_the_Clause
zul,0.0
wsk,2.0
zoc,2.0
kio,0.0
mph,0.0
yrk,2.0
xsu,0.0
par,1.0
ijc,3.0
arz,3.0
yaq,2.0
rma,2.0
tpy,1.0
sad,3.0
ayc,2.0
bzd,3.0
duj,1.0
ncg,0.0
ewe,3.0
pad,2.0
kcd,2.0
amp,0.0
kgo,3.0
ace,0.0
yli,0.0
ckt,2.0
laj,0.0
nrb,1.0
bsn,2.0
dbl,1.0
ntj,1.0
evn,1.0
bod,1.0
tsz,1.0
pwn,2.0
nab,0.0
sza,1.0
kig,0.0
yur,0.0
abt,1.0
bej,1.0
yux,1.0
plt,1.0
lkt,0.0
aer,1.0
ain,3.0
xok,1.0
kjq,0.0
wnw,2.0
kpw,3.0
tya,2.0
noo,3.0
mpc,2.0
tqw,2.0
khq,1.0
tiw,0.0
caq,3.0
brh,1.0
zun,2.0
aey,0.0
tzm,1.0
gyd,1.0
nck,0.0
inz,0.0
inh,2.0
ctm,0.0
rap,2.0
chd,0.0
cku,2.0
yor,2.0
mpb,4.0
csz,0.0
wyb,1.0
khk,1.0
pei,0.0
gup,0.0
spp,3.0
gug,0.0
isl,1.0
lez,1.0
vma,1.0
miq,3.0
vam,3.0
fvr,1.0
cnh,2.0
kan,1.0
wic,0.0
yuc,0.0
bor,0.0
anz,0.0
eng,1.0
wrz,2.0
was,0.0
wba,1.0
ekg,0.0
one,0.0
mni,1.0
slp,3.0
naq,1.0
myp,3.0
tli,0.0
wrk,1.0
jiv,2.0
hix,0.0
bsk,2.0
mhs,3.0
saj,0.0
shp,1.0
mrc,2.0
wnd,0.0
ram,0.0
ote,0.0
jig,2.0
kut,2.0
ikx,1.0
kat,2.0
skd,2.0
qvi,1.0
auc,3.0
aqp,0.0
kvd,0.0
ncz,0.0
apu,0.0
nuy,2.0
lvk,0.0
abk,0.0
sue,3.0
dgz,0.0
unr,2.0
ras,3.0
tlf,0.0
crk,0.0
pes,2.0
hae,3.0
imn,2.0
coc,2.0
qui,2.0
heb,1.0
ktz,3.0
siw,2.0
kmn,1.0
pue,3.0
mfr,0.0
sag,3.0
gni,2.0
tun,0.0
niv,0.0
swt,0.0
mdx,1.0
bmi,0.0
kwi,2.0
arh,3.0
cha,1.0
yad,4.0
urf,1.0
cbt,2.0
huv,0.0
pav,0.0
sll,3.0
wac,0.0
cmn,1.0
mzh,2.0
mwf,2.0
had,3.0
tkm,0.0
dgl,1.0
wnu,0.0
esu,2.0
squ,2.0
sja,1.0
lgg,3.0
kiy,1.0
ayz,3.0
nyh,2.0
ape,0.0
cyb,3.0
swh,0.0
kyh,0.0
tmu,3.0
ung,0.0
