ISO,Tea
gld,0.0
dga,1.0
tiw,2.0
new,0.0
knc,1.0
cha,0.0
swh,0.0
dgl,0.0
fuh,2.0
myv,0.0
fub,0.0
bgp,0.0
kbk,1.0
chy,2.0
los,2.0
nut,0.0
gsw,1.0
kat,0.0
knn,0.0
haw,2.0
wmb,2.0
ewo,1.0
xal,0.0
ses,2.0
cua,1.0
kpy,0.0
kir,0.0
kaz,0.0
dyo,1.0
chp,1.0
ewe,1.0
kdr,0.0
eve,0.0
aar,0.0
heb,1.0
dip,0.0
nya,1.0
khk,0.0
inh,0.0
bxm,0.0
kjn,2.0
mwv,1.0
som,0.0
pes,0.0
quy,1.0
skd,1.0
mah,1.0
nmn,1.0
tah,1.0
zul,2.0
sot,1.0
hil,0.0
eng,1.0
tuk,0.0
ori,0.0
kbd,0.0
chv,0.0
mhr,0.0
crk,2.0
lbj,0.0
rmo,1.0
khm,1.0
tzm,2.0
snk,2.0
sme,1.0
pqm,2.0
bex,0.0
abq,0.0
cje,1.0
srn,1.0
isl,1.0
kjh,0.0
crw,0.0
ksw,2.0
amh,0.0
chx,0.0
dje,2.0
afr,1.0
est,1.0
ast,1.0
jnj,0.0
bru,1.0
mal,0.0
arz,0.0
akz,2.0
aht,0.0
swb,0.0
ace,1.0
tun,2.0
lao,2.0
tay,2.0
zmr,2.0
wol,2.0
plt,1.0
esu,0.0
kos,1.0
dal,0.0
asm,0.0
mlt,1.0
udm,0.0
bwo,0.0
bji,0.0
ljp,1.0
hae,0.0
wlo,1.0
yor,1.0
sah,0.0
oci,1.0
evn,0.0
gug,1.0
bam,2.0
myb,0.0
gaz,0.0
mak,1.0
yly,1.0
sun,1.0
luo,0.0
ceb,0.0
bod,0.0
bfq,1.0
tel,1.0
pan,0.0
lin,1.0
ktz,1.0
pon,1.0
ltz,1.0
cjm,0.0
yue,0.0
hre,1.0
cmn,0.0
pst,0.0
rel,2.0
kab,2.0
lis,2.0
dua,1.0
sin,1.0
chr,2.0
div,0.0
gor,1.0
ket,2.0
oss,0.0
uig,0.0
bsk,0.0
min,1.0
xho,1.0
