ISO,SOVNeg_Order
kmo,5.0
grj,0.0
apy,1.0
gvf,1.0
chv,1.0
yuf,6.0
mgp,0.0
yux,0.0
men,0.0
mjw,1.0
aey,5.0
mrc,3.0
xra,1.0
duc,10.0
ayc,0.0
nio,0.0
tae,5.0
wao,1.0
tar,0.0
oma,1.0
chb,1.0
ynd,0.0
kpw,1.0
bvz,2.0
kup,0.0
twf,0.0
ses,0.0
thf,0.0
txu,2.0
wrb,0.0
asm,0.0
suq,2.0
agg,1.0
ram,2.0
dgz,0.0
mar,2.0
tpq,0.0
wdj,0.0
khd,0.0
amh,3.0
itl,3.0
niv,9.0
lkt,2.0
bam,0.0
zag,1.0
cof,1.0
ket,0.0
ekg,2.0
mch,1.0
udm,2.0
tta,3.0
duj,0.0
jel,0.0
njh,0.0
kbx,1.0
vai,0.0
abk,1.0
arh,1.0
gvs,0.0
dsh,3.0
snk,0.0
ksi,2.0
lvk,7.0
yon,2.0
nrb,0.0
tpj,1.0
evn,3.0
amp,0.0
nyi,0.0
zmr,4.0
tro,1.0
sif,2.0
fvr,3.0
nas,7.0
zrs,1.0
tbc,0.0
wic,0.0
bfu,0.0
kxa,2.0
eve,3.0
qvi,0.0
kan,1.0
prx,1.0
geb,2.0
nab,1.0
khg,0.0
rwo,0.0
cnh,2.0
hop,0.0
jig,0.0
mva,0.0
cbu,1.0
bia,0.0
kgq,1.0
opm,0.0
loy,0.0
sst,1.0
bvr,0.0
ctm,1.0
mpq,1.0
miq,1.0
dim,1.0
sll,1.0
nce,2.0
guj,0.0
kgj,0.0
pan,0.0
sat,0.0
wim,0.0
lhu,0.0
khe,3.0
bho,0.0
vam,2.0
psa,4.0
mfr,0.0
pwa,7.0
srs,0.0
hto,1.0
uby,1.0
aij,0.0
udi,0.0
aau,2.0
huz,1.0
was,1.0
ajg,2.0
kaa,1.0
nnm,0.0
eme,3.0
niy,0.0
ude,0.0
mhu,1.0
xns,0.0
pes,0.0
kfk,0.0
xas,0.0
mls,1.0
pao,0.0
kld,0.0
kal,1.0
apt,1.0
tel,1.0
nmu,1.0
diq,0.0
gru,0.0
sbe,0.0
dau,0.0
wbl,0.0
zml,0.0
nus,0.0
nmf,0.0
peb,1.0
kca,0.0
thd,0.0
krc,7.0
bcq,1.0
yrb,1.0
lez,1.0
ijc,7.0
zun,3.0
swv,0.0
gbr,4.0
abz,2.0
kmn,0.0
aly,1.0
zmt,0.0
abt,1.0
mal,1.0
kig,2.0
lep,3.0
kwi,8.0
tpy,2.0
jiv,1.0
dip,0.0
skf,2.0
mlq,0.0
raw,0.0
lbj,1.0
awb,0.0
tnm,8.0
uig,1.0
tlb,1.0
nrz,0.0
yaa,1.0
kwo,4.0
dta,0.0
bxm,1.0
okv,1.0
dju,1.0
pia,0.0
