ISO,Conjunctions_and_Universal_Quantifiers
khb,2.0
yee,1.0
jup,2.0
tfr,1.0
heb,2.0
lez,2.0
ckt,2.0
gni,2.0
tsi,2.0
qvh,0.0
hix,1.0
bae,1.0
nyv,2.0
mph,1.0
kfz,2.0
zul,2.0
byw,0.0
tbo,0.0
sja,1.0
kfq,0.0
khk,0.0
cas,0.0
evn,0.0
inh,0.0
dgl,1.0
tiw,1.0
sza,1.0
irk,2.0
pes,2.0
stp,1.0
qvi,1.0
knc,0.0
kbk,2.0
gyd,2.0
mar,0.0
laj,1.0
mni,2.0
kat,1.0
naq,1.0
yii,2.0
kan,0.0
aph,0.0
spp,2.0
dbj,0.0
shp,2.0
djd,1.0
jqr,0.0
has,2.0
mal,0.0
arh,1.0
khq,1.0
brh,1.0
gbu,1.0
bak,2.0
peg,2.0
sot,0.0
btx,2.0
sah,2.0
yue,0.0
hvn,1.0
tel,0.0
huz,1.0
kva,0.0
kgr,2.0
was,1.0
dar,0.0
djk,1.0
imn,2.0
cmn,0.0
pan,0.0
mrc,1.0
aey,2.0
kut,1.0
vaf,1.0
pia,1.0
pbh,1.0
pav,1.0
ary,1.0
min,0.0
ayz,1.0
mrt,0.0
