ISO,Glottalized_Consonants
kmo,0.0
bsk,0.0
kyh,0.0
new,0.0
beq,0.0
bao,0.0
bca,0.0
shp,0.0
pym,2.0
kio,1.0
yad,0.0
vam,0.0
laj,0.0
amu,0.0
lbe,1.0
thv,0.0
pad,2.0
myp,0.0
khb,0.0
ram,0.0
lua,0.0
yle,0.0
kbk,0.0
ewe,0.0
tsu,2.0
ote,0.0
jqr,1.0
guh,0.0
fwa,0.0
ape,0.0
pbh,0.0
mor,0.0
akz,0.0
ykg,0.0
gbr,2.0
roo,0.0
cja,2.0
btx,0.0
tli,1.0
bod,0.0
mzp,2.0
pjt,0.0
ntu,0.0
nmn,3.0
kjg,6.0
ncj,0.0
gum,0.0
cjv,0.0
mfc,2.0
yii,0.0
kfz,0.0
bib,0.0
kal,0.0
ctd,5.0
kpz,0.0
ayz,0.0
gaj,0.0
jic,1.0
bmi,2.0
wim,0.0
bev,2.0
tcy,0.0
huv,0.0
nrb,0.0
eya,1.0
dif,0.0
tiw,0.0
mdx,1.0
tem,0.0
bom,0.0
dru,0.0
dal,4.0
csz,1.0
kut,3.0
kup,0.0
hak,0.0
kca,0.0
gil,0.0
twf,1.0
bgr,0.0
fmp,0.0
vma,0.0
bej,0.0
ker,2.0
lut,7.0
cjh,1.0
imn,0.0
aqc,1.0
hix,0.0
yaq,0.0
irh,0.0
grj,0.0
ava,1.0
awn,0.0
inh,1.0
wmb,0.0
sef,0.0
kgo,2.0
mqs,0.0
con,0.0
yey,1.0
evn,0.0
brh,0.0
gyd,0.0
zul,4.0
nyp,2.0
agq,0.0
kat,1.0
noo,3.0
iai,0.0
wic,3.0
cgg,0.0
sel,0.0
nhu,0.0
knc,0.0
kjd,0.0
nie,2.0
gug,0.0
abk,1.0
tba,0.0
chl,0.0
amp,0.0
khq,0.0
yer,2.0
pma,0.0
sza,5.0
axb,0.0
yap,3.0
kpv,0.0
bam,0.0
pww,2.0
ano,0.0
woi,0.0
yrb,0.0
mpb,0.0
kbr,1.0
sue,0.0
ess,0.0
tml,0.0
irn,0.0
aer,0.0
bcs,2.0
faa,0.0
mhj,0.0
luo,0.0
sad,1.0
kun,0.0
sqt,3.0
eky,0.0
yrk,0.0
yuc,3.0
pbb,0.0
yva,0.0
nuy,0.0
mjg,0.0
haw,0.0
kas,0.0
duj,0.0
njo,0.0
huz,1.0
hnh,1.0
trg,0.0
ewo,0.0
grt,0.0
adz,0.0
nio,0.0
swi,6.0
amo,0.0
arl,0.0
rgr,0.0
bbl,1.0
eve,0.0
kek,4.0
cdo,0.0
pav,5.0
aka,0.0
yue,0.0
gqu,0.0
mwf,0.0
huu,0.0
ame,0.0
cku,0.0
cle,0.0
ses,0.0
ksw,2.0
spp,0.0
jru,0.0
apn,0.0
njz,0.0
dbl,0.0
zun,1.0
kln,0.0
apq,0.0
mrz,0.0
tbi,0.0
kan,0.0
ito,1.0
com,0.0
yee,0.0
mrc,0.0
pwa,0.0
tqw,0.0
sma,0.0
svs,0.0
ynn,1.0
wnw,1.0
xpe,2.0
pqm,0.0
mbl,0.0
lbj,0.0
prk,0.0
chp,1.0
skd,0.0
efi,0.0
arh,0.0
car,0.0
dta,0.0
see,0.0
crk,0.0
pay,0.0
ayc,1.0
tgc,0.0
ngi,2.0
shs,3.0
cbi,0.0
agm,0.0
tsg,0.0
yul,2.0
yua,4.0
shi,0.0
wrr,0.0
dnj,2.0
hop,0.0
pac,2.0
nab,7.0
zmr,0.0
etu,0.0
kff,0.0
daa,2.0
kbv,0.0
lbc,2.0
iwm,0.0
kpy,0.0
xtc,2.0
gaa,0.0
yur,3.0
mas,2.0
kru,0.0
kbh,0.0
teq,0.0
wnc,0.0
rut,1.0
dip,0.0
bcj,0.0
chv,0.0
aro,0.0
bzd,0.0
wiy,0.0
kbd,1.0
wnu,0.0
nez,3.0
tma,2.0
gvn,0.0
teh,1.0
dts,0.0
cyb,0.0
alh,0.0
byx,0.0
nav,1.0
bmr,0.0
fun,0.0
tun,0.0
nxq,0.0
mig,0.0
daj,2.0
xsu,0.0
kpm,2.0
djk,0.0
itl,1.0
qui,1.0
srb,0.0
lhu,0.0
plt,0.0
rap,0.0
ckt,0.0
lgg,6.0
tsi,3.0
tiy,0.0
uzn,0.0
nas,0.0
squ,3.0
mzh,3.0
alc,1.0
ycn,0.0
jao,0.0
hmt,0.0
ain,0.0
aal,4.0
slc,0.0
ttr,2.0
kac,0.0
tna,0.0
mto,0.0
lez,1.0
zne,0.0
lme,2.0
dhv,0.0
