ISO,Syllable_Structure
tsz,0.0
lkt,1.0
aro,2.0
kbh,1.0
kha,1.0
kmo,0.0
bib,0.0
zul,0.0
ijc,2.0
noo,1.0
eng,1.0
cha,0.0
ogb,0.0
ctd,0.0
imn,1.0
auc,2.0
luo,0.0
arh,0.0
gaj,0.0
bao,2.0
amu,1.0
mwp,1.0
gug,2.0
wim,0.0
mzm,0.0
lhu,0.0
mni,0.0
sqt,1.0
tqo,2.0
guq,2.0
nyi,0.0
nab,1.0
lef,2.0
kgo,0.0
kwi,1.0
btx,0.0
tzh,1.0
roo,2.0
cad,0.0
mph,1.0
mur,0.0
tiw,0.0
laj,0.0
wba,2.0
yle,2.0
mor,0.0
wyb,0.0
yii,0.0
mhz,2.0
tgc,0.0
pay,0.0
nhg,0.0
pww,0.0
kbk,2.0
sma,1.0
gil,0.0
evn,0.0
ram,1.0
bod,0.0
lua,0.0
wrs,0.0
ykg,1.0
yaq,0.0
daj,0.0
nez,1.0
tsg,0.0
kat,1.0
ayz,2.0
gvn,0.0
one,1.0
cjh,1.0
dts,2.0
xsu,0.0
sza,0.0
bcj,1.0
gaa,0.0
yux,0.0
wap,0.0
kna,0.0
niy,2.0
naq,0.0
abk,1.0
kir,1.0
tlo,0.0
yur,1.0
bev,0.0
umb,2.0
ayc,0.0
pma,0.0
eky,0.0
tsi,1.0
klu,2.0
faa,2.0
fmp,0.0
eya,1.0
kbr,0.0
trg,1.0
dta,1.0
wol,1.0
slc,2.0
bej,1.0
amf,0.0
zun,0.0
kfe,1.0
mqs,0.0
mrz,0.0
djk,0.0
wnw,0.0
pym,0.0
tpy,0.0
nrb,0.0
anc,1.0
skd,0.0
nyp,0.0
agm,0.0
ttr,0.0
wti,0.0
mas,0.0
tel,0.0
aqc,1.0
jao,0.0
cdo,0.0
amp,1.0
bam,2.0
rut,1.0
dag,0.0
khl,0.0
nhu,1.0
sag,2.0
wnu,0.0
lbe,1.0
hts,2.0
spp,0.0
amo,0.0
apq,0.0
tqw,0.0
khq,0.0
gbp,0.0
kan,1.0
srq,2.0
nav,0.0
nuy,0.0
iba,0.0
gmo,0.0
hmt,1.0
yer,0.0
kac,0.0
nie,0.0
